'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE Western Australia for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE,01/01/2015,4.3,0.4,5.2,21.8,16.0,96,67,5.14,25.14
ESPERANCE,02/01/2015,4.0,0.0,4.6,22.5,15.6,94,61,3.63,20.84
ESPERANCE,03/01/2015,5.7,0.2,8.2,23.1,17.0,78,47,5.41,26.24
ESPERANCE,04/01/2015,6.1,0.0,8.0,25.2,12.1,86,48,5.14,32.25
ESPERANCE,05/01/2015,7.3,0.0,9.2,29.2,13.9,93,36,5.14,32.29
ESPERANCE,06/01/2015,10.4,0.0,9.0,37.2,16.4,85,16,5.52,32.33
ESPERANCE,07/01/2015,2.7,0.0,10.0,20.0,18.6,94,62,6.84,7.17
ESPERANCE,08/01/2015,5.3,0.0,5.8,20.4,16.0,69,43,7.28,18.39
ESPERANCE,09/01/2015,4.1,0.2,6.6,20.4,14.5,90,49,6.48,16.84
ESPERANCE,10/01/2015,5.9,1.0,7.0,22.1,15.2,69,44,6.80,25.48
ESPERANCE,11/01/2015,5.1,0.0,5.8,23.8,11.9,88,42,5.06,22.43
ESPERANCE,12/01/2015,5.3,0.2,8.0,23.1,11.8,96,56,4.87,32.16
ESPERANCE,13/01/2015,6.0,0.0,7.4,25.5,13.2,92,51,5.68,31.76
ESPERANCE,14/01/2015,8.5,0.0,8.2,31.0,14.7,91,28,7.16,30.94
ESPERANCE,15/01/2015,3.9,0.0,11.6,22.5,19.1,87,63,5.88,16.36
ESPERANCE,16/01/2015,5.1,0.0,5.6,22.6,14.6,86,51,3.92,27.14
ESPERANCE,17/01/2015,5.7,0.0,7.6,24.5,18.3,82,53,5.30,27.38
ESPERANCE,18/01/2015,10.5,0.2,7.6,40.4,18.4,91,14,5.18,28.08
ESPERANCE,19/01/2015,5.3,0.0,9.6,25.1,17.8,96,46,4.19,25.70
ESPERANCE,20/01/2015,7.1,0.0,6.8,34.3,16.2,92,50,4.23,30.02
ESPERANCE,21/01/2015,9.1,0.0,6.8,36.1,18.8,89,24,5.25,29.61
ESPERANCE,22/01/2015,5.3,0.0,12.0,22.4,18.4,88,50,5.13,26.89
ESPERANCE,23/01/2015,5.6,0.0,5.2,23.9,18.4,77,43,3.61,26.86
ESPERANCE,24/01/2015,5.3,0.0,9.4,22.9,17.1,72,43,5.33,20.36
ESPERANCE,25/01/2015,6.0,0.0,7.0,22.0,16.1,70,38,5.60,26.81
ESPERANCE,26/01/2015,6.5,0.0,8.4,23.8,12.4,74,37,6.14,30.49
ESPERANCE,27/01/2015,8.6,0.0,10.6,31.6,13.4,84,24,6.04,30.19
ESPERANCE,28/01/2015,9.4,0.0,7.8,33.2,16.9,79,18,6.23,29.62
ESPERANCE,29/01/2015,7.7,0.0,11.4,30.3,15.9,87,27,5.33,29.68
ESPERANCE,30/01/2015,5.3,0.0,7.8,24.0,16.6,91,50,6.28,25.15
ESPERANCE,31/01/2015,5.2,0.0,8.8,23.8,17.2,78,50,6.19,21.12
Totals:,,192.3,2.2,247,,,,,, 
