'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE Western Australia for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE,01/03/2020, , , , , ,100,85,4.25,10.38
ESPERANCE,02/03/2020, , , , , , , , ,14.22
ESPERANCE,03/03/2020, , , , , ,79,46,4.43,14.69
ESPERANCE,04/03/2020, , , , , ,88,40,4.47,22.29
ESPERANCE,05/03/2020, , , , , ,83,37,4.69,16.83
ESPERANCE,06/03/2020, , , , , ,91,59,6.19,2.00
ESPERANCE,07/03/2020, , , ,24.1, ,92,62,5.57,23.81
ESPERANCE,08/03/2020,4.8,0.0, ,24.1,17.6,83,57,6.27,22.09
ESPERANCE,09/03/2020,4.4,0.0, ,22.8,15.8,85,51,5.30,19.93
ESPERANCE,10/03/2020,3.5,0.0, ,22.4,12.2,98,60,3.63,20.22
ESPERANCE,11/03/2020,4.0,0.0, ,23.0,12.1,99,52,3.92,22.50
ESPERANCE,12/03/2020,3.2,0.0, ,22.8,14.5,90,67,4.75,15.69
ESPERANCE,13/03/2020,2.9,0.0, ,23.2,15.6,94,62,4.55,11.28
ESPERANCE,14/03/2020,3.4,0.0, ,24.6,16.6,85,52,4.81,9.01
ESPERANCE,15/03/2020,6.4,0.0, ,33.5,17.3,93,35,5.60,18.10
ESPERANCE,16/03/2020,3.6,0.0, ,26.8,18.9,94,55,3.46,14.60
ESPERANCE,17/03/2020,4.2,0.0, ,29.4,17.1,95,41,3.65,13.10
ESPERANCE,18/03/2020,5.2,0.0, ,24.5,15.1,94,31,5.70,20.22
ESPERANCE,19/03/2020,3.7,0.0, ,23.0,13.4,89,48,4.35,14.97
ESPERANCE,20/03/2020,2.3,0.0, ,22.3,14.3,92,56,2.55,7.56
ESPERANCE,21/03/2020,3.5,0.0, ,23.8,15.9,98,60,4.44,18.03
ESPERANCE,22/03/2020,2.4,0.0, ,21.3,17.1,93,76,6.69,11.22
ESPERANCE,23/03/2020,3.3,0.0, ,22.7,13.7,95,53,4.24,14.62
ESPERANCE,24/03/2020,4.5,0.0, ,26.2,12.1,99,43,4.53,19.99
ESPERANCE,25/03/2020,6.2, , ,29.3,15.2,79,28,5.47,19.89
ESPERANCE,26/03/2020,6.8,0.0, ,31.5,15.9,75,27,5.56,19.63
ESPERANCE,27/03/2020,7.9,0.0, ,34.8,18.6,72,18,6.57,9.18
ESPERANCE,28/03/2020,4.1,0.0, ,22.3,19.5,81,46,5.82,13.99
ESPERANCE,29/03/2020,3.7,0.0, ,21.9,14.7,83,44,3.71,17.25
ESPERANCE,30/03/2020,3.7,0.0, ,23.6,10.0,95,38,3.42,17.03
ESPERANCE,31/03/2020,3.5,0.0, ,22.7,10.7,92,47,3.12,18.87
Totals:,,101.2,0, ,,,,,, 
