'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/06/2012,4.2,0.0, ,23.8,11.5,60,20,4.52,8.77
ESPERANCE AERO,02/06/2012,3.7,0.0, ,21.7,9.4,86,24,5.20,9.28
ESPERANCE AERO,03/06/2012,2.5,0.0, ,20.1,9.5,94,42,4.23,9.76
ESPERANCE AERO,04/06/2012,2.4,0.0, ,19.7,8.5,96,43,4.27,8.86
ESPERANCE AERO,05/06/2012,2.3,0.0, ,18.4,7.1,93,44,4.21,9.77
ESPERANCE AERO,06/06/2012,2.6,0.0, ,18.4,7.8,93,41,5.37,7.41
ESPERANCE AERO,07/06/2012,1.6,1.4, ,12.3,9.5,91,58,5.33,2.40
ESPERANCE AERO,08/06/2012,1.2,7.6, ,17.9,9.9,98,69,2.50,7.11
ESPERANCE AERO,09/06/2012,1.6,0.2, ,19.8,6.9,99,58,2.89,9.05
ESPERANCE AERO,10/06/2012,2.0,0.0, ,17.3,11.7,94,64,8.51,2.83
ESPERANCE AERO,11/06/2012,3.1,5.0, ,21.0,13.8,90,56,9.77,9.31
ESPERANCE AERO,12/06/2012,2.1,1.4, ,16.3,7.9,89,60,7.31,7.98
ESPERANCE AERO,13/06/2012,1.3,6.4, ,10.9,8.4,96,74,11.02,4.48
ESPERANCE AERO,14/06/2012,1.9,21.8, ,14.2,5.3,93,54,5.78,9.32
ESPERANCE AERO,15/06/2012,1.8,1.2, ,16.7,8.4,97,64,6.85,8.72
ESPERANCE AERO,16/06/2012,1.6,4.8, ,18.2,10.1,98,64,4.03,8.46
ESPERANCE AERO,17/06/2012,2.1,0.2, ,19.2,8.3,91,52,4.40,9.61
ESPERANCE AERO,18/06/2012,2.6,0.2, ,20.1,7.7,88,43,4.54,9.60
ESPERANCE AERO,19/06/2012,2.8,0.0, ,18.5,9.8,96,42,7.00,5.11
ESPERANCE AERO,20/06/2012,1.6,5.8, ,13.9,8.1,97,59,5.18,9.35
ESPERANCE AERO,21/06/2012,1.5,17.4, ,14.1,5.2,97,55,4.15,8.44
ESPERANCE AERO,22/06/2012,1.1,3.0, ,15.5,7.4,98,74,4.01,6.09
ESPERANCE AERO,23/06/2012,1.5,3.2, ,16.5,8.6,96,60,3.45,6.71
ESPERANCE AERO,24/06/2012,1.5,0.0, ,16.8,6.5,92,52,2.65,7.42
ESPERANCE AERO,25/06/2012,2.1,0.0, ,16.6,6.7,81,47,4.21,9.12
ESPERANCE AERO,26/06/2012,3.6,0.0, ,17.9,9.2,71,33,6.86,7.69
ESPERANCE AERO,27/06/2012,3.3,0.0, ,19.1,11.5,81,44,7.78,8.54
ESPERANCE AERO,28/06/2012,1.3,0.0, ,13.0,7.3,96,73,7.59,3.75
ESPERANCE AERO,29/06/2012,1.5,13.0, ,15.4,7.7,98,59,3.87,6.96
ESPERANCE AERO,30/06/2012,1.4,0.4, ,17.1,7.0,96,65,3.31,8.68
Totals:,,63.8,93, ,,,,,, 
