'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/12/2015,4.8,0.0, ,21.0,10.6,81,45,5.84,22.33
ESPERANCE AERO,02/12/2015,8.4,0.0, ,29.6,9.0,81,18,5.58,31.67
ESPERANCE AERO,03/12/2015,6.9,1.4, ,33.5,16.4,90,24,4.65,17.61
ESPERANCE AERO,04/12/2015,1.8,4.0, ,20.2,15.1,96,74,4.33,5.46
ESPERANCE AERO,05/12/2015,3.2,5.4, ,20.9,15.7,96,57,5.07,12.85
ESPERANCE AERO,06/12/2015,3.9,8.8, ,22.5,10.9,94,59,8.35,15.29
ESPERANCE AERO,07/12/2015,3.7,18.2, ,20.4,12.8,96,56,9.27,15.01
ESPERANCE AERO,08/12/2015,4.7,0.6, ,22.0,13.9,93,50,4.90,24.05
ESPERANCE AERO,09/12/2015,4.7,0.0, ,23.5,10.4,94,51,4.11,24.59
ESPERANCE AERO,10/12/2015,5.4,0.0, ,21.6,9.6,95,38,3.82,31.08
ESPERANCE AERO,11/12/2015,5.7,0.0, ,24.7,12.0,89,46,4.96,28.13
ESPERANCE AERO,12/12/2015,8.8,0.0, ,34.3,13.6,91,21,5.97,25.16
ESPERANCE AERO,13/12/2015,3.6,0.0, ,22.6,16.3,93,61,5.73,14.76
ESPERANCE AERO,14/12/2015,5.7,0.0, ,24.8,12.4,91,48,4.55,29.51
ESPERANCE AERO,15/12/2015,8.3,0.0, ,31.1,12.8,89,25,5.26,32.35
ESPERANCE AERO,16/12/2015,8.8,0.0, ,30.6,20.1,88,21,7.27,28.94
ESPERANCE AERO,17/12/2015,4.5,0.0, ,24.3,17.0,92,55,5.77,18.43
ESPERANCE AERO,18/12/2015,5.8,0.0, ,27.1,13.9,93,50,3.61,29.13
ESPERANCE AERO,19/12/2015,5.3,0.0, ,21.4,13.9,92,40,8.61,22.59
ESPERANCE AERO,20/12/2015,5.5,0.2, ,22.7,12.9,76,41,5.93,22.69
ESPERANCE AERO,21/12/2015,8.2,0.0, ,30.6,11.4,85,24,5.46,31.50
ESPERANCE AERO,22/12/2015,7.8,0.0, ,31.9,14.8,88,34,5.47,29.32
ESPERANCE AERO,23/12/2015,9.0,0.0, ,33.8,13.0,92,22,5.12,32.80
ESPERANCE AERO,24/12/2015,6.7,0.0, ,24.0,19.5,74,38,8.70,22.57
ESPERANCE AERO,25/12/2015,5.9,0.0, ,22.0,13.4,74,35,6.92,22.37
ESPERANCE AERO,26/12/2015,7.3,0.0, ,25.7,10.5,67,25,5.11,31.94
ESPERANCE AERO,27/12/2015,9.9,0.0, ,31.7,12.7,72,15,6.59,33.44
ESPERANCE AERO,28/12/2015,12.3,0.0, ,36.8,15.8,67,9,7.20,33.69
ESPERANCE AERO,29/12/2015,13.5,0.0, ,41.6,18.2,87,7,7.00,33.32
ESPERANCE AERO,30/12/2015,3.0,0.0, ,22.0,17.8,92,63,7.60,7.49
ESPERANCE AERO,31/12/2015,3.3,1.4, ,19.8,14.6,94,53,6.27,11.66
Totals:,,196.4,40, ,,,,,, 
