'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for August 2018,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 September 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/08/2018,4.0,0.0, ,21.0,5.5,98,36,8.62,9.36
ESPERANCE AERO,02/08/2018,1.3,23.2, ,12.7,5.8,99,75,8.79,8.81
ESPERANCE AERO,03/08/2018,2.2,2.4, ,16.8,6.9,95,65,9.90,10.93
ESPERANCE AERO,04/08/2018,0.9,12.6, ,10.8,7.5,99,84,8.38,7.88
ESPERANCE AERO,05/08/2018,1.8,50.8, ,12.9,4.9,99,63,8.46,11.55
ESPERANCE AERO,06/08/2018,1.3,6.4, ,13.4,6.7,99,77,5.70,9.69
ESPERANCE AERO,07/08/2018,2.5,0.0, ,17.6,9.5,96,57,7.31,12.59
ESPERANCE AERO,08/08/2018,2.4,0.0, ,16.5,7.6,96,56,6.33,13.50
ESPERANCE AERO,09/08/2018,1.7,1.8, ,13.0,10.4,98,68,9.01,9.94
ESPERANCE AERO,10/08/2018,1.6,25.4, ,12.1,5.1,97,66,6.67,9.78
ESPERANCE AERO,11/08/2018,1.5,12.6, ,15.1,6.4,99,71,3.81,11.90
ESPERANCE AERO,12/08/2018,2.7,0.0, ,18.4,5.6,97,49,5.27,14.75
ESPERANCE AERO,13/08/2018,5.2,0.0, ,23.0,8.6,70,28,7.28,14.90
ESPERANCE AERO,14/08/2018,3.3,0.0, ,18.7,10.7,98,40,7.70,12.26
ESPERANCE AERO,15/08/2018,1.8,3.8, ,16.0,7.7,99,64,4.29,11.70
ESPERANCE AERO,16/08/2018,2.7,1.2, ,17.9,7.0,96,51,5.31,15.10
ESPERANCE AERO,17/08/2018,2.5,5.2, ,14.7,9.2,98,38,5.02,11.27
ESPERANCE AERO,18/08/2018,1.9,0.0, ,14.3,5.9,93,49,2.43,12.36
ESPERANCE AERO,19/08/2018,3.3,0.0, ,18.4,5.0,88,37,5.25,15.53
ESPERANCE AERO,20/08/2018,3.7,0.0, ,20.9,7.4,66,36,4.57,13.04
ESPERANCE AERO,21/08/2018, ,0.0, , ,12.1,98,37,6.53,14.04
ESPERANCE AERO,22/08/2018, , , , , , , , ,11.03
ESPERANCE AERO,23/08/2018, , , , , , , , ,11.89
ESPERANCE AERO,24/08/2018, , , ,16.9, ,91,61,2.57,13.97
ESPERANCE AERO,25/08/2018,3.0,0.2, ,19.5,6.5,94,45,3.91,16.59
ESPERANCE AERO,26/08/2018,3.5,0.0, ,21.5,7.4,90,36,3.81,16.79
ESPERANCE AERO,27/08/2018,4.6,0.0, ,24.3,9.5,93,33,6.38,15.17
ESPERANCE AERO,28/08/2018,2.9,0.0, ,20.6,7.3,95,51,4.87,11.93
ESPERANCE AERO,29/08/2018,2.3,1.4, ,15.5,8.0,94,52,4.14,12.78
ESPERANCE AERO,30/08/2018,1.4,1.0, ,14.4,5.8,98,76,7.42,6.76
ESPERANCE AERO,31/08/2018,1.9,10.0, ,15.4,8.7,97,73,5.29,12.82
Totals:,,67.9,158, ,,,,,, 
