'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for ESPERANCE AERO Western Australia for December 2019,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 31 December 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
ESPERANCE AERO,01/12/2019,2.9,0.0, ,20.0,11.9,98,66,5.09,13.89
ESPERANCE AERO,02/12/2019,5.0,1.4, ,27.1,13.8,99,62,4.30,26.52
ESPERANCE AERO,03/12/2019,9.0,0.0, ,35.3,12.5,96,19,4.60,31.21
ESPERANCE AERO,04/12/2019,8.6,0.0, ,35.4,17.7,91,15,6.01,17.79
ESPERANCE AERO,05/12/2019,4.8,0.0, ,23.7,14.8,95,56,5.03,24.64
ESPERANCE AERO,06/12/2019,10.1,0.0, ,37.3,10.8,94,15,5.37,29.39
ESPERANCE AERO,07/12/2019,9.2,0.0, ,37.9,20.4,80,14,6.53,12.64
ESPERANCE AERO,08/12/2019,5.0,0.0, ,22.8,14.3,86,44,6.02,19.86
ESPERANCE AERO,09/12/2019, ,0.0, , ,11.6,80,42,4.30,30.89
ESPERANCE AERO,10/12/2019, , , , ,8.7,90,48,5.54,27.73
ESPERANCE AERO,11/12/2019,6.5, , ,26.0,10.4,90,40,6.18,30.13
ESPERANCE AERO,12/12/2019,7.4,0.0, ,28.9,11.0,88,30,5.29,30.46
ESPERANCE AERO,13/12/2019,10.4,0.0, ,36.8,13.8,86,14,5.60,31.07
ESPERANCE AERO,14/12/2019,12.5,0.0, ,40.9,18.8,69,7,6.11,30.93
ESPERANCE AERO,15/12/2019,9.3,0.0, ,37.4,14.5,95,15,4.06,31.47
ESPERANCE AERO,16/12/2019,7.5,0.0, ,33.5,15.2,95,32,4.25,28.44
ESPERANCE AERO,17/12/2019,6.1,0.0, ,27.8,18.0,92,51,4.32,29.09
ESPERANCE AERO,18/12/2019,8.2,0.0, ,31.2,17.1,92,25,5.71,30.12
ESPERANCE AERO,19/12/2019,7.7,0.0, ,30.7,17.7,94,29,5.52,29.02
ESPERANCE AERO,20/12/2019,6.0,0.2, ,25.6,13.2,95,44,5.72,28.74
ESPERANCE AERO,21/12/2019,9.4,0.0, ,34.7,13.2,91,20,5.60,30.87
ESPERANCE AERO,22/12/2019,8.2,1.4, ,36.1,18.3,91,25,7.52,11.63
ESPERANCE AERO,23/12/2019,3.8,0.4, ,24.7,17.6,93,61,4.90,15.63
ESPERANCE AERO,24/12/2019,6.0,0.0, ,24.8,16.8,85,50,5.42,29.31
ESPERANCE AERO,25/12/2019,9.4,0.0, ,35.4,14.4,93,27,7.01,27.68
ESPERANCE AERO,26/12/2019,9.4,16.0, ,38.7,20.1,87,30,6.69,23.16
ESPERANCE AERO,27/12/2019,6.3,15.0, ,25.5,18.3,91,45,5.75,30.05
ESPERANCE AERO,28/12/2019,7.6,0.2, ,31.5,14.3,95,33,4.55,31.99
ESPERANCE AERO,29/12/2019,11.1,0.0, ,36.7,17.0,84,19,7.37,31.91
ESPERANCE AERO,30/12/2019,6.5,0.0, ,23.8,16.4,72,35,6.29,25.66
ESPERANCE AERO,31/12/2019,6.4,0.0, ,26.7,11.1,85,34,3.61,31.62
Totals:,,220.3,34.6, ,,,,,, 
