'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/11/2009,4.6, , ,20.7,16.4,96,33,6.25,17.82
EUCLA,02/11/2009,5.4, , ,19.6,10.7,75,42,6.36,28.90
EUCLA,03/11/2009,4.4,0.2,18.6,18.8,12.9,84,44,4.64,22.59
EUCLA,04/11/2009,4.6,0.0,4.8,18.8,11.4,88,49,4.07,28.54
EUCLA,05/11/2009,6.1,0.0, ,28.4,12.7,91,56,5.78,31.05
EUCLA,06/11/2009,10.2,0.0, ,33.7,10.5,95,9,6.52,30.92
EUCLA,07/11/2009,11.9,0.0,21.6,40.2,20.7,65,5,6.00,28.42
EUCLA,08/11/2009,7.4,0.0,9.8,30.5,17.6,72,23,4.04,28.64
EUCLA,09/11/2009,5.6,0.0,7.6,26.5,17.7,87,43,3.81,25.18
EUCLA,10/11/2009,9.0,0.0, ,38.3,16.1,97,24,4.91,27.24
EUCLA,11/11/2009,14.4,0.0, ,42.1,21.1,27,8,7.14,31.24
EUCLA,12/11/2009, ,0.0,32.6,43.1,24.2,41,19,6.45, 
EUCLA,13/11/2009,13.4,0.0,19.4,44.5,25.1,77,3,6.00,31.96
EUCLA,14/11/2009,8.1,0.0, ,32.6,16.5,86,15,3.82,31.63
EUCLA,15/11/2009,5.8,0.0, ,25.5,18.6,89,53,5.48,28.48
EUCLA,16/11/2009, ,0.0, ,22.8,16.8,96,63,5.20, 
EUCLA,17/11/2009, ,0.0,29.6,32.6,14.5,99,31,3.85, 
EUCLA,18/11/2009, ,0.0,4.6,36.7,14.0,87,20,5.01, 
EUCLA,19/11/2009, , , ,26.8,17.0,73,15,5.56, 
EUCLA,20/11/2009, , , ,23.3,14.7,85,55,4.29, 
EUCLA,21/11/2009, ,0.6,20.6,19.6,12.9,92,59,5.65, 
EUCLA,22/11/2009, ,1.8,5.0,20.5,13.3,94,44,4.69, 
EUCLA,23/11/2009, ,0.0,5.4,24.1,12.4,79,42,3.56, 
EUCLA,24/11/2009, ,0.0, ,24.4,9.2,96,25,4.24, 
EUCLA,25/11/2009, ,0.0, ,29.6,10.9,95,45,4.52, 
EUCLA,26/11/2009, ,0.0,21.2,30.5,14.3,71,16,6.76, 
EUCLA,27/11/2009, ,0.0,7.2,23.7,10.4,75,35,6.64, 
EUCLA,28/11/2009,5.5,0.0, ,20.2,13.6,65,46,6.32,25.88
EUCLA,29/11/2009,5.8,0.0, ,22.9,14.8,76,43,3.97,30.39
EUCLA,30/11/2009,7.4,0.0,21.0,29.1,8.6,90,36,5.23,33.73
Totals:,,129.6,2.6,229,,,,,, 
