'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/02/2010,6.1,0.0,7.2,23.7,17.5,79,48,4.88,31.77
EUCLA,02/02/2010,5.4,0.0,7.0,25.5,13.2,94,56,4.53,30.34
EUCLA,03/02/2010,5.2,0.0,4.8,27.0,18.0,94,53,6.46,21.52
EUCLA,04/02/2010,6.5,0.0,6.8,23.9,17.1,63,38,5.98,25.68
EUCLA,05/02/2010,6.1,0.0, ,23.2,15.2,79,42,5.92,30.09
EUCLA,06/02/2010,7.8, , ,36.5,17.2,94,32,4.44,26.08
EUCLA,07/02/2010,10.3, , ,43.6,20.7,85,14,4.19,28.12
EUCLA,08/02/2010,7.1,2.8,29.8,31.7,20.7,93,41,4.67,29.22
EUCLA,09/02/2010,5.5,0.0,8.4,27.2,20.7,94,60,5.87,26.47
EUCLA,10/02/2010,3.2,0.4,6.2,25.4,20.2,97,69,4.27,14.09
EUCLA,11/02/2010,4.8,0.8,0.6,26.3,18.8,97,68,3.65,25.94
EUCLA,12/02/2010,5.0, , ,25.6,17.1,99,68,4.42,29.33
EUCLA,13/02/2010,4.5, , ,25.2,18.8,97,64,3.99,23.68
EUCLA,14/02/2010,5.8,0.6,17.0,26.1,18.9,86,54,4.45,29.59
EUCLA,15/02/2010,5.6,0.0,6.2,25.9,14.1,97,55,4.42,31.18
EUCLA,16/02/2010,5.3,0.4,7.0,27.8,15.2,98,61,4.27,28.10
EUCLA,17/02/2010,5.0,0.2,4.2,24.7,19.3,96,67,6.17,29.45
EUCLA,18/02/2010,5.5,0.0,6.4,26.2,19.6,96,63,6.31,29.62
EUCLA,19/02/2010,7.4, , ,31.3,15.5,99,18,3.89,30.12
EUCLA,20/02/2010,6.2, , ,25.9,22.3,85,38,5.30,26.05
EUCLA,21/02/2010,3.2, , ,22.9,19.1,85,70,3.72,14.42
EUCLA,22/02/2010,5.9,0.4,23.4,25.0,17.9,79,42,4.59,27.39
EUCLA,23/02/2010,5.9,0.0,6.4,24.3,16.9,74,50,5.13,29.26
EUCLA,24/02/2010,5.1,0.0,7.2,24.2,18.5,85,59,5.80,25.22
EUCLA,25/02/2010,4.8,0.0,5.8,25.8,18.4,98,68,4.74,27.01
EUCLA,26/02/2010,4.5,0.0, ,25.8,19.6,99,70,4.94,25.50
EUCLA,27/02/2010,5.1,0.0, ,25.4,19.7,89,61,6.32,24.71
EUCLA,28/02/2010,4.9,0.0,18.4,23.1,19.5,82,55,7.97,19.72
Totals:,,157.7,5.6,172.8,,,,,, 
