'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for May 2011,,,,,,,,,,
Issued at 22:35 GMT on Wednesday 01 June 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/05/2011,2.6,0.0,1.3,20.2,9.2,99,50,2.91,17.74
EUCLA,02/05/2011,2.3,0.2,3.2,19.8,10.9,98,65,3.24,16.42
EUCLA,03/05/2011,2.1,4.4,1.0,19.5,11.8,98,59,2.59,13.42
EUCLA,04/05/2011,2.4,0.8,2.2,21.1,8.9,99,58,3.45,15.23
EUCLA,05/05/2011,3.3,0.0,2.6,22.4,11.1,91,39,4.03,15.54
EUCLA,06/05/2011,3.2,0.0,2.8,22.8,9.4,90,39,3.95,13.78
EUCLA,07/05/2011,2.6,0.0,2.4,20.1,10.9,94,50,3.65,14.17
EUCLA,08/05/2011,2.4,1.2,2.0,19.3,12.0,97,51,3.26,15.89
EUCLA,09/05/2011,2.2,0.6,2.4,20.3,9.7,97,61,2.72,16.12
EUCLA,10/05/2011,2.6,0.0,2.8,21.3,9.0,100,52,3.79,15.93
EUCLA,11/05/2011,2.5,7.2,7.2,19.4,14.5,83,50,3.55,10.03
EUCLA,12/05/2011,2.1,0.2,1.6,19.2,13.1,97,54,2.92,12.19
EUCLA,13/05/2011,1.6,0.8,2.7,17.6,12.5,98,68,2.42,10.65
EUCLA,14/05/2011,1.8,4.6,0.2,18.2,12.4,95,66,2.74,11.45
EUCLA,15/05/2011,2.8,2.2,2.0,19.7,11.9,87,46,4.25,13.61
EUCLA,16/05/2011,3.9,0.0,3.0,20.8,9.0,83,26,5.59,13.65
EUCLA,17/05/2011,2.3,2.4,4.6,18.0,10.6,95,51,5.07,8.28
EUCLA,18/05/2011,3.5,0.2,2.6,24.2,12.5,92,38,4.95,12.42
EUCLA,19/05/2011,2.3,1.2,2.2,19.8,12.9,96,54,3.61,14.07
EUCLA,20/05/2011,2.4,0.0,3.3,20.2,7.2,99,55,4.46,12.81
EUCLA,21/05/2011,3.1,0.2,3.9,19.8,14.9,94,45,6.88,12.29
EUCLA,22/05/2011,1.8,4.4,1.4,17.7,10.6,96,64,4.51,10.53
EUCLA,23/05/2011,1.9,8.4,1.8,18.7,11.6,97,65,4.10,12.33
EUCLA,24/05/2011,2.0,0.4,1.6,19.1,14.2,94,62,3.43,12.94
EUCLA,25/05/2011,1.7,1.2,2.4,17.7,12.4,96,59,2.77,11.03
EUCLA,26/05/2011,2.0,0.6,1.4,16.9,10.7,97,49,3.41,12.05
EUCLA,27/05/2011,2.4,0.2,3.2,17.3,8.4,80,43,3.76,11.30
EUCLA,28/05/2011,2.6,0.0,2.8,18.5,5.0,85,36,3.65,13.53
EUCLA,29/05/2011,3.0,0.0,2.2,20.1,4.3,95,28,3.94,14.41
EUCLA,30/05/2011,5.0,0.0,4.0,22.2,7.8,62,22,6.82,14.13
EUCLA,31/05/2011,4.4,0.0,6.4,26.1,12.8,86,20,4.78,13.88
Totals:,,80.8,41.4,83.2,,,,,, 
