'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/09/2013,5.0,0.0,9.4,25.8,14.0,84,30,4.20,21.80
EUCLA,02/09/2013,6.8,0.0,5.4,32.6,13.4,86,13,4.57,20.71
EUCLA,03/09/2013,5.1,0.0,8.0,30.8,17.4,77,30,5.00,7.30
EUCLA,04/09/2013,2.7,3.8,2.0,22.2,17.2,95,40,3.79,5.31
EUCLA,05/09/2013,1.3,3.0,2.2,15.3,13.0,97,73,2.64,4.60
EUCLA,06/09/2013,2.2,9.2,1.0,18.3,11.8,98,80,3.38,16.52
EUCLA,07/09/2013,1.5,6.2,2.4,18.7,13.4,97,84,4.56,7.20
EUCLA,08/09/2013,3.0,1.8,0.2,23.6,14.0,98,54,4.25,11.24
EUCLA,09/09/2013,3.3,0.0,3.6,18.4,10.4,89,59,4.80,22.27
EUCLA,10/09/2013,3.5,0.0,3.8,19.6,4.9,99,47,3.14,23.64
EUCLA,11/09/2013,5.8,0.0,3.4,29.0,9.8,91,27,5.38,17.60
EUCLA,12/09/2013,4.5,6.4,2.4,22.9,14.4,94,41,4.99,22.60
EUCLA,13/09/2013,4.4,0.0,5.0,22.8,9.4,98,38,3.99,23.81
EUCLA,14/09/2013,4.3,0.2,4.2,23.6,8.4,99,37,5.10,18.06
EUCLA,15/09/2013,2.9,8.4,3.0,20.3,12.3,97,62,4.51,16.25
EUCLA,16/09/2013,3.8,2.0,2.8,23.2,10.9,96,58,3.45,23.48
EUCLA,17/09/2013,5.0,0.0, ,21.6,10.4,88,33,7.11,20.37
EUCLA,18/09/2013,3.8,0.0, ,19.6,7.8,88,44,3.65,23.75
EUCLA,19/09/2013,4.6,0.0,15.2,22.4,8.7,98,41,4.29,26.05
EUCLA,20/09/2013,7.3,0.2,2.4,30.0,9.4,98,10,4.66,26.34
EUCLA,21/09/2013,5.3,0.0,8.0,23.0,14.5,97,26,4.46,26.41
EUCLA,22/09/2013,10.8,0.2,4.2,35.6,10.5,98,6,7.40,26.62
EUCLA,23/09/2013,7.4,0.0,12.0,28.9,8.9,95,21,6.41,26.63
EUCLA,24/09/2013,7.8,0.0,9.6,31.3,16.5,83,17,5.28,26.87
EUCLA,25/09/2013,5.9,0.0,5.4,25.7,10.1,95,20,5.10,24.48
EUCLA,26/09/2013,6.6,0.0,8.0,26.2,4.0,83,10,4.12,28.41
EUCLA,27/09/2013,5.5,0.0,6.6,20.6,13.8,92,19,4.67,27.92
EUCLA,28/09/2013,7.3,0.0,4.6,31.9,5.7,98,16,3.77,28.15
EUCLA,29/09/2013,9.0,0.0,8.0,34.2,12.1,89,9,5.34,27.27
EUCLA,30/09/2013,5.5,0.0,4.6,27.0,12.9,93,27,5.55,16.28
Totals:,,151.9,41.4,147.4,,,,,, 
