'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/03/2018,3.0,0.0,7.0,24.5,14.8,91,57,3.14,11.06
EUCLA,02/03/2018,4.7,0.0,3.2,25.1,13.6,96,52,3.96,24.94
EUCLA,03/03/2018,4.5,0.0,5.4,24.8,15.3,90,56,4.36,22.97
EUCLA,04/03/2018,4.4,0.0,6.0,23.5,19.2,86,52,5.17,17.98
EUCLA,05/03/2018,5.3,0.2,6.2,23.6,18.1,67,42,5.43,18.70
EUCLA,06/03/2018,4.8,0.0,6.0,23.4,17.9,75,56,5.66,21.17
EUCLA,07/03/2018,4.8,0.0,6.6,24.2,18.2,82,58,5.21,23.45
EUCLA,08/03/2018,4.1,0.0,6.0,30.3,17.4,94,67,4.18,18.19
EUCLA,09/03/2018,5.7,0.0,3.4,31.8,17.9,95,42,3.67,23.93
EUCLA,10/03/2018,6.0,0.0,6.4,31.7,19.0,94,37,3.96,23.82
EUCLA,11/03/2018,3.2,0.0,8.0,22.9,20.3,89,69,6.39,11.80
EUCLA,12/03/2018,4.0,0.0,4.0,23.2,18.7,78,55,6.08,12.63
EUCLA,13/03/2018,4.8,0.0,5.0,23.2,18.0,71,52,5.12,21.01
EUCLA,14/03/2018,4.4,0.0,5.6,23.3,13.0,91,49,4.19,23.00
EUCLA,15/03/2018,4.8,0.0,5.6,24.9,14.3,94,41,4.86,20.94
EUCLA,16/03/2018,8.2,0.0,6.6,36.4,16.1,84,15,5.21,18.52
EUCLA,17/03/2018,4.8,0.0,5.4,26.1,17.3,86,40,4.28,18.58
EUCLA,18/03/2018,4.5,0.0,8.0,23.1,16.7,80,43,4.30,19.85
EUCLA,19/03/2018,3.1,0.0,4.0,23.3,11.0,84,59,3.26,13.76
EUCLA,20/03/2018,3.8,0.0,4.0,23.3,18.9,88,62,4.84,17.73
EUCLA,21/03/2018,3.8,0.0,4.4,21.9,18.1,81,64,5.77,17.38
EUCLA,22/03/2018,4.4,0.0,3.2,29.7,14.4,94,63,4.21,21.47
EUCLA,23/03/2018,9.5,0.2,6.2,38.5,15.4,94,11,5.93,21.05
EUCLA,24/03/2018,4.0,0.0,9.4,23.8,19.4,81,56,4.81,15.68
EUCLA,25/03/2018,3.7,0.0,5.0,22.1,16.4,79,47,3.60,15.63
EUCLA,26/03/2018,4.9,0.0,4.0,30.9,15.8,70,43,3.76,15.44
EUCLA,27/03/2018,8.0,0.0,6.0,32.1,18.4,79,17,6.77,18.93
EUCLA,28/03/2018,4.1,0.0,7.6,23.9,17.2,79,50,3.41,20.28
EUCLA,29/03/2018,3.6,0.0,4.0,23.5,9.6,95,49,2.93,20.04
EUCLA,30/03/2018,3.6,0.0,4.0,23.7,11.0,96,53,3.59,19.75
EUCLA,31/03/2018,5.2,0.2,4.8,31.7,12.7,94,20,3.42,14.36
Totals:,,147.7,0.6,171,,,,,, 
