'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for April 2018,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 May 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/04/2018,2.9,0.0,6.4,23.9,18.5,90,60,4.52,9.80
EUCLA,02/04/2018,3.4,0.0,3.0,21.5,17.1,71,54,4.23,11.70
EUCLA,03/04/2018,3.2,0.0,4.0,22.8,14.2,92,55,3.89,14.38
EUCLA,04/04/2018,3.5,0.6,2.6,23.4,12.9,95,56,3.71,19.22
EUCLA,05/04/2018,3.3,0.0,4.0,23.1,14.3,95,62,4.03,18.82
EUCLA,06/04/2018,5.1,0.0,4.0,30.5,15.0,93,41,4.63,18.77
EUCLA,07/04/2018,8.4,0.0,5.0,38.4,14.0,89,9,4.82,18.77
EUCLA,08/04/2018,4.4,0.0,8.0,27.0,19.4,95,30,3.91,16.20
EUCLA,09/04/2018,9.8,0.2,4.4,42.0,17.5,96,7,5.56,18.45
EUCLA,10/04/2018,2.6,0.0,9.4,23.4,19.6,83,70,5.17,7.60
EUCLA,11/04/2018,3.2,0.2,2.8,22.5,16.3,93,51,4.41,12.99
EUCLA,12/04/2018,4.1,0.2,3.2,24.4,9.7,86,32,3.51,17.94
EUCLA,13/04/2018,4.1,0.0,5.0,23.8,11.5,80,47,5.78,15.25
EUCLA,14/04/2018,3.5,0.0,5.0,23.1,13.6,87,50,4.41,15.18
EUCLA,15/04/2018,3.0,0.0,4.0,22.7,13.7,94,58,3.50,16.10
EUCLA,16/04/2018,2.7,0.0,4.0,21.9,9.9,94,60,3.05,15.17
EUCLA,17/04/2018,2.9,1.0,1.8,25.1,15.3,96,62,3.79,13.76
EUCLA,18/04/2018,3.5,0.2,3.6,26.8,14.0,95,48,3.20,16.47
EUCLA,19/04/2018,3.3,0.0,2.6,26.1,15.8,96,54,3.29,16.23
EUCLA,20/04/2018,4.0,0.2,3.4,28.5,16.1,96,37,3.44,15.49
EUCLA,21/04/2018,3.2,0.2, ,24.6,17.7,95,56,3.25,16.69
EUCLA,22/04/2018,6.3,0.4, ,35.3,15.8,96,15,4.45,14.02
EUCLA,23/04/2018,6.0,1.0, ,32.4,17.9,89,19,4.78,16.32
EUCLA,24/04/2018,3.0,0.2, ,23.5,13.7,92,51,2.84,16.05
EUCLA,25/04/2018,2.9,0.0, ,22.5,10.1,90,49,2.98,15.58
EUCLA,26/04/2018,3.3,0.0, ,23.0,10.6,85,41,3.61,14.67
EUCLA,27/04/2018,4.3,0.0,3.4,27.3,12.9,91,33,4.23,15.27
EUCLA,28/04/2018,2.7,0.2,3.4,22.8,18.2,91,68,4.84,13.67
EUCLA,29/04/2018,3.3,0.0, ,22.2,17.7,86,53,4.59,15.44
EUCLA,30/04/2018,4.9,0.0, ,29.0,13.0,95,23,4.47,15.43
Totals:,,120.8,4.6,93,,,,,, 
