'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for October 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 November 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/10/2020,9.4,0.0,5.4,35.7,11.4,98,8,5.92,23.64
EUCLA,02/10/2020,9.9,0.2,13.0,38.3,19.2,92,8,5.92,23.72
EUCLA,03/10/2020,3.3,0.0,7.0,19.7,14.8,95,65,6.95,18.60
EUCLA,04/10/2020,3.3,4.4,3.4,16.5,10.8,94,48,5.91,17.15
EUCLA,05/10/2020,2.5,13.2,5.0,15.0,8.9,92,60,5.14,13.51
EUCLA,06/10/2020,3.3,9.4,4.0,16.0,9.2,92,56,3.89,22.69
EUCLA,07/10/2020,3.6,3.4,2.8,18.9,8.4,95,52,3.20,22.71
EUCLA,08/10/2020,6.6,0.0,4.8,27.8,4.4,94,14,4.53,24.89
EUCLA,09/10/2020,7.0,0.0,9.0,29.2,10.6,92,10,4.51,24.94
EUCLA,10/10/2020,8.7,0.0,5.2,34.1,12.2,89,8,5.10,24.98
EUCLA,11/10/2020,8.5,0.0,13.0,29.7,20.9,53,10,7.38,10.15
EUCLA,12/10/2020,3.2,0.0,4.6,19.1,14.9,90,57,4.90,13.93
EUCLA,13/10/2020,4.2,0.0,4.0,29.1,14.1,94,68,4.15,19.99
EUCLA,14/10/2020,9.8,0.0,4.0,38.7,13.2,97,8,5.79,17.47
EUCLA,15/10/2020,4.6,0.0,10.8,20.8,15.8,94,38,5.97,20.66
EUCLA,16/10/2020,3.1,1.2,5.4,18.7,13.9,97,70,4.96,19.91
EUCLA,17/10/2020,4.6,0.0,4.0,19.1,13.8,72,47,4.86,22.93
EUCLA,18/10/2020,4.5,0.0,5.4,18.6,12.6,80,51,5.56,25.54
EUCLA,19/10/2020,3.9,0.0,6.0,22.0,10.7,90,46,4.21,16.91
EUCLA,20/10/2020,4.6,0.0,2.2,22.8,14.8,94,58,3.87,26.65
EUCLA,21/10/2020,4.0,0.0,6.2,21.2,14.8,94,66,5.41,24.45
EUCLA,22/10/2020,2.0,7.0,5.6,19.6,15.2,96,83,6.03,10.05
EUCLA,23/10/2020,3.6,3.2,1.6,18.5,13.2,93,53,5.79,17.69
EUCLA,24/10/2020,4.4,0.0,5.2,19.4,12.5,87,44,4.25,24.55
EUCLA,25/10/2020,4.8,0.2,5.6,18.7,11.6,84,41,5.10,27.15
EUCLA,26/10/2020,5.3,0.0,7.0,23.6,7.4,88,44,5.69,27.34
EUCLA,27/10/2020,7.9,0.0,7.0,31.3,8.6,85,22,5.20,27.70
EUCLA,28/10/2020,12.1,0.0,8.0,39.3,13.1,88,6,7.32,23.34
EUCLA,29/10/2020,5.0,0.0,9.0,19.4,13.8,83,44,6.02,26.53
EUCLA,30/10/2020,5.0,0.0,7.2,20.0,12.4,67,42,4.50,25.28
EUCLA,31/10/2020,7.1,0.0,6.4,32.0,9.4,78,43,5.17,28.05
Totals:,,169.8,42.2,187.8,,,,,, 
