'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for EUCLA Western Australia for November 2020,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 December 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
EUCLA,01/11/2020,12.3,0.0,8.0,39.5,13.4,75,7,6.86,26.67
EUCLA,02/11/2020,12.8,0.0,17.0,40.9,24.7,48,8,7.55,19.86
EUCLA,03/11/2020,6.5,0.2,10.4,26.0,19.5,81,35,4.82,28.53
EUCLA,04/11/2020,5.1,0.0,8.0,20.7,14.8,80,47,4.97,27.31
EUCLA,05/11/2020,4.9,0.0,7.4,19.3,13.3,70,45,5.17,23.31
EUCLA,06/11/2020,5.0,0.0,6.8,19.7,13.3,73,48,5.45,25.53
EUCLA,07/11/2020,4.7,0.0,6.6,23.3,13.7,92,60,7.06,25.18
EUCLA,08/11/2020,8.0,2.2,5.0,35.2,15.4,91,18,6.09,13.48
EUCLA,09/11/2020,11.6,0.6,8.8,38.6,20.0,47,16,6.51,27.86
EUCLA,10/11/2020,8.2,0.0,15.0,27.5,21.1,65,11,6.57,21.24
EUCLA,11/11/2020,6.4,0.0,9.4,23.3,14.8,81,30,6.02,28.61
EUCLA,12/11/2020,5.2,0.0,7.0,23.7,13.8,84,49,3.90,27.25
EUCLA,13/11/2020,8.0,0.0,6.4,33.3,8.1,94,29,4.83,29.93
EUCLA,14/11/2020,7.3,0.0,8.0,27.1,14.7,87,14,4.67,30.03
EUCLA,15/11/2020,7.3,0.0,8.0,30.5,12.0,95,24,5.38,24.55
EUCLA,16/11/2020,6.9,0.0,8.0,28.1,8.0,90,26,4.47,30.20
EUCLA,17/11/2020,10.8,0.0,10.0,35.4,11.8,69,7,6.19,28.95
EUCLA,18/11/2020,9.2,0.0,14.0,38.6,21.9,88,11,6.79,10.13
EUCLA,19/11/2020,4.8,0.0,5.6,23.5,12.5,94,60,5.23,27.85
EUCLA,20/11/2020,5.7,2.6,6.2,29.8,15.3,91,26,4.42,14.95
EUCLA,21/11/2020,5.7,0.0, ,24.2,19.1,91,27,5.65,19.78
EUCLA,22/11/2020,5.1,0.2, ,22.0,15.9,87,52,6.22,25.16
EUCLA,23/11/2020,3.8,0.0, ,22.4,15.4,79,59,4.39,14.89
EUCLA,24/11/2020,8.2,0.0, ,37.0,10.9,93,44,4.81,30.99
EUCLA,25/11/2020,11.8,0.0, ,39.6,16.2,86,6,5.97,30.75
EUCLA,26/11/2020,4.7,0.0, ,26.7,16.8,90,61,5.09,21.36
EUCLA,27/11/2020,5.5,0.0, ,26.6,14.6,95,55,4.48,28.60
EUCLA,28/11/2020,3.7,3.2, ,20.8,16.0,94,63,5.45,19.04
EUCLA,29/11/2020,5.7,0.2, ,24.3,13.7,86,49,4.56,29.64
EUCLA,30/11/2020,9.8,0.6, ,36.0,13.8,88,24,8.28,19.52
Totals:,,214.7,9.8,175.6,,,,,, 
