'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FITZROY CROSSING AERO Western Australia for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FITZROY CROSSING AERO,01/09/2013,8.2,0.0, ,40.2,18.6,57,12,3.03,27.16
FITZROY CROSSING AERO,02/09/2013,9.5,0.0, ,41.1,19.3,55,8,3.81,27.68
FITZROY CROSSING AERO,03/09/2013,7.8,0.0, ,39.7,17.9,60,11,2.70,27.52
FITZROY CROSSING AERO,04/09/2013,8.3,0.0, ,38.7,16.6,61,10,3.17,27.70
FITZROY CROSSING AERO,05/09/2013,8.9,0.0, ,37.9,16.5,49,12,3.81,27.88
FITZROY CROSSING AERO,06/09/2013,7.7,0.0, ,37.7,16.6,50,10,2.67,28.45
FITZROY CROSSING AERO,07/09/2013,7.4,0.0, ,37.1,16.8,42,10,2.37,28.55
FITZROY CROSSING AERO,08/09/2013,8.1,0.0, ,37.1,17.6,64,15,3.32,27.98
FITZROY CROSSING AERO,09/09/2013,6.9,0.0, ,37.9,22.6,65,16,2.62,24.67
FITZROY CROSSING AERO,10/09/2013,8.2,0.0, ,38.2,18.9,69,13,3.15,28.23
FITZROY CROSSING AERO,11/09/2013,9.3,0.0, ,37.5,20.8,45,16,4.28,28.37
FITZROY CROSSING AERO,12/09/2013,8.4,0.0, ,37.4,19.3,48,14,3.30,28.68
FITZROY CROSSING AERO,13/09/2013,8.4,0.0, ,37.7,17.9,45,12,3.11,29.14
FITZROY CROSSING AERO,14/09/2013,9.4,0.0, ,37.7,19.5,48,10,4.07,29.07
FITZROY CROSSING AERO,15/09/2013,8.2,0.0, ,35.2,18.9,75,22,3.96,29.21
FITZROY CROSSING AERO,16/09/2013,9.0,0.0, ,37.4,18.7,52,10,3.54,30.21
FITZROY CROSSING AERO,17/09/2013,8.5,0.0, ,38.4,15.2,36,8,2.83,30.45
FITZROY CROSSING AERO,18/09/2013,8.5,0.0, ,37.9,15.3,29,8,2.83,30.72
FITZROY CROSSING AERO,19/09/2013,7.6,0.0, ,38.7,15.6,35,8,2.10,30.59
FITZROY CROSSING AERO,20/09/2013,8.7,0.0, ,40.6,16.0,41,7,2.63,30.94
FITZROY CROSSING AERO,21/09/2013,8.2,0.0, ,39.2,16.7,36,8,2.41,30.74
FITZROY CROSSING AERO,22/09/2013,8.5,0.0, ,40.0,18.0,38,9,2.56,30.79
FITZROY CROSSING AERO,23/09/2013,9.2,0.0, ,39.1,19.3,45,12,3.40,30.61
FITZROY CROSSING AERO,24/09/2013,9.1,0.0, ,39.7,19.3,60,10,3.12,30.98
FITZROY CROSSING AERO,25/09/2013,8.8,0.0, ,40.4,18.7,63,8,2.79,31.00
FITZROY CROSSING AERO,26/09/2013,8.9,0.0, ,41.6,19.7,33,7,2.60,31.49
FITZROY CROSSING AERO,27/09/2013,9.6,0.0, ,41.6,19.5,33,7,3.05,31.64
FITZROY CROSSING AERO,28/09/2013,11.0,0.0, ,40.6,23.5,35,14,4.67,30.65
FITZROY CROSSING AERO,29/09/2013,8.8,0.0, ,39.4,26.5,49,17,3.41,28.47
FITZROY CROSSING AERO,30/09/2013,8.3,0.0, ,37.5,23.8,68,21,4.17,24.40
Totals:,,257.4,0, ,,,,,, 
