'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FITZROY CROSSING AERO Western Australia for April 2016,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 May 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FITZROY CROSSING AERO,01/04/2016,7.1,0.0, ,38.8,26.6,66,30,3.09,23.09
FITZROY CROSSING AERO,02/04/2016,6.6,6.2, ,38.6,23.8,89,29,2.93,22.93
FITZROY CROSSING AERO,03/04/2016,6.4,0.4, ,40.1,23.5,89,13,1.93,24.30
FITZROY CROSSING AERO,04/04/2016,6.1,0.0, ,40.6,19.7,83,8,1.69,24.14
FITZROY CROSSING AERO,05/04/2016,5.8,0.0, ,40.0,20.3,73,10,1.61,23.40
FITZROY CROSSING AERO,06/04/2016,6.2,0.0, ,40.5,23.2,69,16,1.90,22.72
FITZROY CROSSING AERO,07/04/2016,6.7,0.0, ,40.5,23.8,74,17,2.61,21.06
FITZROY CROSSING AERO,08/04/2016,5.9,0.0, ,39.7,25.7,70,26,2.34,18.42
FITZROY CROSSING AERO,09/04/2016,6.3,0.0, ,40.3,27.3,76,18,2.33,20.79
FITZROY CROSSING AERO,10/04/2016,7.4,0.0, ,40.4,22.1,66,14,3.15,21.32
FITZROY CROSSING AERO,11/04/2016,7.5,0.0, ,41.0,22.1,62,13,3.02,22.78
FITZROY CROSSING AERO,12/04/2016,7.6,0.0, ,39.2,21.6,54,12,3.28,22.81
FITZROY CROSSING AERO,13/04/2016,6.5,0.0, ,38.1,19.2,53,11,2.45,22.50
FITZROY CROSSING AERO,14/04/2016,6.3,0.0, ,38.5,18.4,55,12,2.34,21.77
FITZROY CROSSING AERO,15/04/2016,7.2,0.0, ,39.1,19.9,48,11,2.96,22.27
FITZROY CROSSING AERO,16/04/2016,6.4,0.0, ,39.6,19.1,60,11,2.31,22.32
FITZROY CROSSING AERO,17/04/2016,6.5,0.0, ,39.9,19.6,60,15,2.49,21.01
FITZROY CROSSING AERO,18/04/2016,5.6,0.0, ,39.7,22.3,53,12,1.86,20.25
FITZROY CROSSING AERO,19/04/2016,6.2,0.0, ,39.4,19.4,57,17,2.34,21.14
FITZROY CROSSING AERO,20/04/2016,6.4,0.0, ,39.2,23.2,71,19,2.63,21.24
FITZROY CROSSING AERO,21/04/2016,5.6,0.0, ,38.0,23.9,69,20,2.67,14.73
FITZROY CROSSING AERO,22/04/2016,6.7,0.0, ,40.3,22.3,58,13,2.71,20.44
FITZROY CROSSING AERO,23/04/2016,7.9,0.0, ,39.3,19.3,57,13,3.76,21.08
FITZROY CROSSING AERO,24/04/2016,7.9,0.0, ,38.5,19.7,47,9,3.74,20.92
FITZROY CROSSING AERO,25/04/2016,5.9,0.0, ,37.5,15.7,52,9,2.26,20.77
FITZROY CROSSING AERO,26/04/2016,5.6,0.0, ,37.2,16.8,50,10,2.08,20.65
FITZROY CROSSING AERO,27/04/2016,5.2,0.0, ,38.1,16.8,53,12,1.71,20.53
FITZROY CROSSING AERO,28/04/2016,6.4,0.0, ,38.6,18.7,43,13,2.61,20.40
FITZROY CROSSING AERO,29/04/2016,5.6,0.0, ,37.5,20.7,68,17,2.23,20.35
FITZROY CROSSING AERO,30/04/2016,6.0,0.0, ,38.3,21.3,63,19,2.57,20.11
Totals:,,193.5,6.6, ,,,,,, 
