'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/03/2011, ,0.0, ,21.8,16.7, , , ,15.03
FORREST,02/03/2011, ,0.0, , ,14.5, , , ,19.19
FORREST,03/03/2011, , , ,23.2, , , , ,17.73
FORREST,04/03/2011, ,0.0, ,27.8,15.0, , , ,22.38
FORREST,05/03/2011,7.7,0.0, ,32.3,18.2,72,25,6.13,20.30
FORREST,06/03/2011,6.8,0.0, ,33.0,19.1,81,37,6.23,17.87
FORREST,07/03/2011,6.0,0.0, ,28.0,18.6,93,44,6.00,25.42
FORREST,08/03/2011,5.2,0.0, ,26.3,12.3,98,43,3.98,26.40
FORREST,09/03/2011,5.5,0.0, ,25.1,12.1,94,37,4.47,27.65
FORREST,10/03/2011,5.6,0.0, ,25.3,11.5,89,38,5.23,26.80
FORREST,11/03/2011,6.4,0.0, ,29.3,10.3,91,26,3.81,27.88
FORREST,12/03/2011,7.4,0.0, ,30.5,11.0,88,25,5.42,27.38
FORREST,13/03/2011,5.2,0.0, ,24.4,15.7,89,51,9.05,22.28
FORREST,14/03/2011,4.3,0.0, ,24.9,15.5,87,60,7.86,17.29
FORREST,15/03/2011,2.2,0.0, ,21.3,17.8,92,84,8.40,9.96
FORREST,16/03/2011,1.4,2.4, ,20.3,17.5,98,91,8.55,8.52
FORREST,17/03/2011,1.9,21.6, ,22.5,17.3,98,92,7.13,13.31
FORREST,18/03/2011,1.3,2.0, ,22.3,18.3,98,98,4.27,8.04
FORREST,19/03/2011,2.8,19.6, ,24.9,18.7,98,75,4.60,13.61
FORREST,20/03/2011,4.6,0.0, ,24.5,16.6,98,55,6.00,23.96
FORREST,21/03/2011,4.1,0.2, ,23.9,12.4,98,52,3.87,22.33
FORREST,22/03/2011,3.8,0.2, ,22.4,13.3,98,45,3.12,20.67
FORREST,23/03/2011,3.7,0.0, ,21.8,10.0,98,48,2.36,23.95
FORREST,24/03/2011,4.1,0.0, ,22.9,9.5,96,51,3.10,25.07
FORREST,25/03/2011,4.8,0.0, ,24.0,11.0,94,42,5.49,23.72
FORREST,26/03/2011,4.2,0.0, ,23.3,11.3,98,48,5.13,21.86
FORREST,27/03/2011,4.9,0.2, ,24.9,9.6,97,39,4.46,24.83
FORREST,28/03/2011,4.8,0.0, ,26.1,8.7,97,35,3.34,24.61
FORREST,29/03/2011,5.2,0.2, ,26.8,11.4,98,33,4.05,24.21
FORREST,30/03/2011,4.4,0.0, ,24.3,10.4,98,46,4.98,22.00
FORREST,31/03/2011,4.2,0.0, ,22.5,11.5,98,45,4.91,22.64
Totals:,,122.5,46.4, ,,,,,, 
