'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for August 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 30 August 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/08/2013,4.1,0.0, ,23.1,3.7,79,23,4.39,15.90
FORREST,02/08/2013,2.8,0.0, ,20.4,6.0,100,38,3.64,15.44
FORREST,03/08/2013,3.8,0.0, ,22.5,5.4,98,35,5.01,17.23
FORREST,04/08/2013,4.5,0.2, ,25.6,6.8,100,23,4.48,17.50
FORREST,05/08/2013,6.7,0.0, ,26.6,10.5,43,16,6.37,17.93
FORREST,06/08/2013,5.0,0.0, ,25.6,6.0,83,30,5.78,17.20
FORREST,07/08/2013,4.0,0.0, ,26.6,7.9,100,27,3.50,17.10
FORREST,08/08/2013,8.1,0.0, ,31.8,9.6,56,10,6.57,16.74
FORREST,09/08/2013, ,0.0, ,21.9,12.9,98,35,4.09, 
FORREST,10/08/2013,3.8,0.2, ,24.9,7.1,100,30,3.44,18.09
FORREST,11/08/2013,4.2,2.8, ,23.6,11.5,100,32,5.66,17.60
FORREST,12/08/2013,3.9,0.2, ,20.0,4.5,100,29,5.26,18.70
FORREST,13/08/2013,5.3,0.0, ,23.1,5.4,73,25,6.33,18.99
FORREST,14/08/2013,3.6,0.0, ,19.7,7.0,100,26,3.86,19.49
FORREST,15/08/2013,6.3,0.0, ,26.1,3.9,79,17,6.37,19.55
FORREST,16/08/2013,5.5,0.0, ,17.2,10.3,70,22,10.55,20.13
FORREST,17/08/2013,5.6,0.0, ,21.2,5.9,59,25,7.78,19.90
FORREST,18/08/2013,4.4,0.0, ,21.3,5.9,87,32,6.00,19.14
FORREST,19/08/2013,2.9,0.0, ,18.2,6.0,98,34,3.14,18.39
FORREST,20/08/2013,3.1,0.0, ,19.1,1.9,99,31,3.11,18.09
FORREST,21/08/2013,4.2,0.0, ,20.9,3.4,98,31,6.47,17.44
FORREST,22/08/2013,3.9,0.0, ,21.0,4.8,100,35,5.29,19.34
FORREST,23/08/2013,2.6,0.0, ,18.2,3.6,100,45,3.54,13.61
FORREST,24/08/2013,4.1,0.0, ,23.9,5.2,99,27,3.27,21.10
FORREST,25/08/2013,6.2,0.0, ,28.8,5.1,68,9,4.35,19.81
FORREST,26/08/2013,8.4,0.0, ,29.7,12.5,36,10,7.22,10.08
FORREST,27/08/2013,5.4,0.0, ,25.6,7.7,87,23,4.94,21.44
FORREST,28/08/2013,9.1,0.0, ,29.1,7.7,98,10,11.38,17.61
FORREST,29/08/2013, ,0.0, , ,8.6,96,24,6.43,22.24
Totals:,,131.5,3.4, ,,,,,, 
