'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for FORREST Western Australia for August 2019,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 September 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
FORREST,01/08/2019,2.8,0.0, ,17.6,3.0,99,37,4.78,14.78
FORREST,02/08/2019,3.0,0.0, ,18.5,3.5,99,37,4.89,14.91
FORREST,03/08/2019,4.0,0.2, ,20.7,0.2,94,18,4.67,14.98
FORREST,04/08/2019,5.9,0.0, ,24.8,1.7,55,10,5.63,15.09
FORREST,05/08/2019,6.1,0.0, ,27.7,6.5,43,10,4.95,15.23
FORREST,06/08/2019,2.6,0.0, ,20.7,6.9,98,43,3.70,10.27
FORREST,07/08/2019,2.8,2.6, ,16.2,8.8,99,43,6.60,13.63
FORREST,08/08/2019,3.3,0.2, ,18.3,4.0,95,43,7.27,15.26
FORREST,09/08/2019,2.1,0.0, ,16.2,8.6,98,63,5.53,12.49
FORREST,10/08/2019,2.2,0.8, ,17.1,6.5,99,54,3.81,13.82
FORREST,11/08/2019,2.0,0.2, ,16.2,4.2,99,58,3.67,13.44
FORREST,12/08/2019,2.6,0.2, ,17.9,3.5,99,38,3.18,15.61
FORREST,13/08/2019,3.9,0.0, ,22.5,2.4,99,24,4.16,16.24
FORREST,14/08/2019,6.2,0.0, ,26.6,7.4,57,13,5.91,10.53
FORREST,15/08/2019,4.0,0.0, ,21.9,10.9,93,33,6.03,13.85
FORREST,16/08/2019,2.3,0.0, ,18.6,9.1,96,44,2.33,13.76
FORREST,17/08/2019,4.0,0.0, ,19.8,6.5,95,30,6.56,16.55
FORREST,18/08/2019,4.0,0.0, ,16.1,5.2,76,32,8.05,15.94
FORREST,19/08/2019,2.8,0.0, ,17.2,2.5,86,39,3.57,15.35
FORREST,20/08/2019,2.7,0.0, ,18.5,0.2,97,31,2.32,17.08
FORREST,21/08/2019,3.6,0.0, ,20.9,1.4,91,31,4.04,17.20
FORREST,22/08/2019,4.8,0.0, ,24.5,3.3,96,19,4.63,17.32
FORREST,23/08/2019,7.6,0.0, ,28.4,3.8,78,8,6.92,17.39
FORREST,24/08/2019,3.5,0.0, ,18.1,9.1,89,34,5.42,14.45
FORREST,25/08/2019,2.7,0.0, ,15.8,2.3,98,39,4.49,13.56
FORREST,26/08/2019,3.6,0.0, ,17.8,2.9,91,30,4.99,17.91
FORREST,27/08/2019,3.7,0.0, ,20.4,1.0,99,21,3.52,18.04
FORREST,28/08/2019,4.8,0.0, ,23.4,1.5,92,13,4.12,18.05
FORREST,29/08/2019,7.4,0.0, ,28.6,4.0,83,7,6.18,18.19
FORREST,30/08/2019,9.6,0.0, ,32.2,12.6,94,7,9.72,15.93
FORREST,31/08/2019,5.3,0.8, ,26.8,12.7,96,27,6.04,16.62
Totals:,,125.9,5, ,,,,,, 
