'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GARDEN ISLAND HSF Western Australia for February 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GARDEN ISLAND HSF,01/02/2009, ,0.0, ,28.9,22.9,86,66,4.72, 
GARDEN ISLAND HSF,02/02/2009, ,0.0, ,27.0,23.1,88,75,5.44, 
GARDEN ISLAND HSF,03/02/2009, ,0.0, ,24.5,21.6,88,77,7.77, 
GARDEN ISLAND HSF,04/02/2009, ,0.0, ,24.6,20.2,80,57,11.01, 
GARDEN ISLAND HSF,05/02/2009, ,0.0, ,24.1,17.8,75,45,9.25, 
GARDEN ISLAND HSF,06/02/2009, ,0.0, ,21.8,17.7,72,55,11.74, 
GARDEN ISLAND HSF,07/02/2009, ,0.0, ,22.8,16.2,69,49,8.19, 
GARDEN ISLAND HSF,08/02/2009, ,0.0, ,32.8,15.7,60,22,5.77, 
GARDEN ISLAND HSF,09/02/2009, ,0.0, ,35.4,18.2,60,16,5.45, 
GARDEN ISLAND HSF,10/02/2009, ,0.0, ,36.6,20.5,69,20,5.98, 
GARDEN ISLAND HSF,11/02/2009, ,0.0, ,37.4,23.9,66,14,4.52, 
GARDEN ISLAND HSF,12/02/2009, ,0.0, ,34.6,22.9,78,19,7.08, 
GARDEN ISLAND HSF,13/02/2009, ,0.0, ,26.9,20.7,79,51,8.79, 
GARDEN ISLAND HSF,14/02/2009, ,0.0, ,27.8,19.5,75,40,6.33, 
GARDEN ISLAND HSF,15/02/2009, ,0.2, ,27.0,19.4,84,66,4.49, 
GARDEN ISLAND HSF,16/02/2009, ,0.0, ,23.4,18.3,83,61,8.65, 
GARDEN ISLAND HSF,17/02/2009, ,0.0, ,25.1,17.8,75,45,9.36, 
GARDEN ISLAND HSF,18/02/2009, ,0.0, ,27.0,17.5,75,39,7.26, 
GARDEN ISLAND HSF,19/02/2009, ,0.0, ,28.8,17.0,75,33,6.95, 
GARDEN ISLAND HSF,20/02/2009, ,0.0, ,35.4,19.6,77,24,5.50, 
GARDEN ISLAND HSF,21/02/2009, ,0.0, ,37.8,22.7,73,20,5.22, 
GARDEN ISLAND HSF,22/02/2009, ,0.0, ,24.4,20.0,76,41,10.46, 
GARDEN ISLAND HSF,23/02/2009, ,0.0, ,29.3,17.3,79,34,5.96, 
GARDEN ISLAND HSF,24/02/2009, ,0.0, ,23.7,20.5,80,57,4.83, 
GARDEN ISLAND HSF,25/02/2009, ,0.0, ,21.3,18.7,85,56,6.33, 
GARDEN ISLAND HSF,26/02/2009, ,3.2, ,21.6,14.3,71,49,6.18, 
GARDEN ISLAND HSF,27/02/2009, ,0.0, ,23.2,15.6,74,50,7.53, 
GARDEN ISLAND HSF,28/02/2009, ,0.0, ,35.2,17.6,71,27,5.59, 
Totals:,, ,3.4, ,,,,,, 
