'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GARDEN ISLAND HSF Western Australia for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GARDEN ISLAND HSF,01/12/2011,10.3,0.0, ,33.1,15.9,56,15,5.96,33.55
GARDEN ISLAND HSF,02/12/2011,10.9,0.0, ,34.7,17.4,59,14,6.28,33.36
GARDEN ISLAND HSF,03/12/2011,10.9,0.0, ,35.5,19.4,62,17,6.20,33.18
GARDEN ISLAND HSF,04/12/2011,9.3,0.0, ,34.8,21.1,65,21,5.50,26.76
GARDEN ISLAND HSF,05/12/2011,9.5,0.0, ,33.3,22.7,71,25,5.92,31.71
GARDEN ISLAND HSF,06/12/2011,4.3,1.0, ,23.0,19.6,87,47,6.74,11.65
GARDEN ISLAND HSF,07/12/2011,6.1,19.4, ,26.3,18.5,79,54,6.15,27.36
GARDEN ISLAND HSF,08/12/2011,4.9,0.0, ,23.0,18.6,78,66,7.22,22.67
GARDEN ISLAND HSF,09/12/2011,5.6,0.0, ,23.8,18.0,76,57,6.15,26.09
GARDEN ISLAND HSF,10/12/2011,7.5,0.0, ,27.1,16.5,77,44,6.99,33.79
GARDEN ISLAND HSF,11/12/2011,7.1,0.0, ,28.5,19.0,75,44,5.80,28.25
GARDEN ISLAND HSF,12/12/2011,4.7,0.0, ,23.7,19.6,87,55,7.63,16.97
GARDEN ISLAND HSF,13/12/2011,4.7,18.2, ,23.5,17.6,86,66,7.00,23.59
GARDEN ISLAND HSF,14/12/2011, ,0.0, ,28.0,19.1,76,48,6.29, 
GARDEN ISLAND HSF,15/12/2011,6.7,0.2, ,27.2,19.3,75,48,6.34,27.27
GARDEN ISLAND HSF,16/12/2011,6.7,0.0, ,25.2,16.6,76,51,5.86,33.60
GARDEN ISLAND HSF,17/12/2011,6.8,0.0, ,25.9,16.9,79,50,5.28,33.85
GARDEN ISLAND HSF,18/12/2011,6.5,0.0, ,23.8,19.4,75,61,8.08,33.37
GARDEN ISLAND HSF,19/12/2011,6.8,0.0, ,24.0,16.1,73,47,6.40,34.01
GARDEN ISLAND HSF,20/12/2011,7.0,0.0, ,24.7,16.5,77,44,6.47,34.08
GARDEN ISLAND HSF,21/12/2011,6.0,0.0, ,23.1,19.6,80,69,7.17,34.22
GARDEN ISLAND HSF,22/12/2011,6.0,0.0, ,23.7,19.4,81,68,9.29,34.03
GARDEN ISLAND HSF,23/12/2011,6.1,0.0, ,23.2,19.4,80,65,9.16,33.47
GARDEN ISLAND HSF,24/12/2011,7.4,0.0, ,25.6,17.3,75,47,7.79,34.45
GARDEN ISLAND HSF,25/12/2011,7.6,0.0, ,26.1,17.5,76,43,7.61,34.37
GARDEN ISLAND HSF,26/12/2011,8.8,0.0, ,28.7,16.8,74,29,7.07,34.75
GARDEN ISLAND HSF,27/12/2011,10.0,0.0, ,33.6,18.5,72,19,6.61,30.08
GARDEN ISLAND HSF,28/12/2011,10.2,0.0, ,37.9,21.6,70,13,4.90,29.88
GARDEN ISLAND HSF,29/12/2011,7.6,0.0, ,35.0,21.5,80,24,3.84,24.06
GARDEN ISLAND HSF,30/12/2011,5.6,0.0, ,25.0,22.2,85,72,7.31,29.49
GARDEN ISLAND HSF,31/12/2011,5.4,0.0, ,25.0,19.8,86,72,6.26,30.25
Totals:,,217,38.8, ,,,,,, 
