'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GARDEN ISLAND HSF Western Australia for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GARDEN ISLAND HSF,01/01/2019,5.5,0.0, ,25.3,19.9,92,67,5.83,30.64
GARDEN ISLAND HSF,02/01/2019,3.5,0.0, ,23.1,19.2,88,69,5.08,14.59
GARDEN ISLAND HSF,03/01/2019,4.9,0.0, ,21.0,18.2,94,58,9.58,27.05
GARDEN ISLAND HSF,04/01/2019,6.0,0.0, ,23.1,14.3,78,54,8.43,30.28
GARDEN ISLAND HSF,05/01/2019,7.3,0.0, ,27.1,16.3,84,42,7.74,31.37
GARDEN ISLAND HSF,06/01/2019,8.1,0.0, ,29.9,20.4,86,32,6.21,31.13
GARDEN ISLAND HSF,07/01/2019,5.7,0.0, ,25.3,19.8,89,67,6.62,31.40
GARDEN ISLAND HSF,08/01/2019,6.3,0.0, ,28.0,18.0,83,47,6.03,25.41
GARDEN ISLAND HSF,09/01/2019,6.3,0.0, ,25.5,18.7,80,57,5.83,31.27
GARDEN ISLAND HSF,10/01/2019,4.9,0.0, ,22.2,19.8,90,69,7.67,28.86
GARDEN ISLAND HSF,11/01/2019,5.3,0.0, ,23.8,15.3,88,63,6.26,30.53
GARDEN ISLAND HSF,12/01/2019,6.0,0.0, ,24.5,18.3,84,57,6.67,30.80
GARDEN ISLAND HSF,13/01/2019,5.0,0.0, ,22.7,19.6,88,74,11.17,30.89
GARDEN ISLAND HSF,14/01/2019,5.3,0.0, ,22.8,20.0,86,71,8.98,30.88
GARDEN ISLAND HSF,15/01/2019,5.9,0.0, ,22.9,16.8,80,58,9.10,30.49
GARDEN ISLAND HSF,16/01/2019,5.4,0.0, ,22.0,17.6,81,65,9.86,30.54
GARDEN ISLAND HSF,17/01/2019,5.3,0.0, ,22.2,17.2,81,68,8.30,30.51
GARDEN ISLAND HSF,18/01/2019,6.1,0.0, ,26.4,17.0,83,59,6.54,30.58
GARDEN ISLAND HSF,19/01/2019,6.9,0.0, ,27.7,19.1,83,42,5.17,30.19
GARDEN ISLAND HSF,20/01/2019,6.5,0.0, ,29.4,22.3,90,57,4.63,30.20
GARDEN ISLAND HSF,21/01/2019,4.6,0.0, ,22.9,20.6,93,79,8.90,29.87
GARDEN ISLAND HSF,22/01/2019,6.4,0.0, ,27.2,19.0,89,52,9.53,26.07
GARDEN ISLAND HSF,23/01/2019,4.2,0.0, ,20.6,16.6,88,61,10.53,18.99
GARDEN ISLAND HSF,24/01/2019,4.0,0.6, ,20.0,15.8,89,65,9.88,21.34
GARDEN ISLAND HSF,25/01/2019,5.4,0.4, ,21.0,13.7,79,56,8.88,29.77
GARDEN ISLAND HSF,26/01/2019,6.7,0.0, ,24.4,15.3,84,40,8.40,29.82
GARDEN ISLAND HSF,27/01/2019,6.3,0.0, ,25.7,17.3,84,44,5.43,29.87
GARDEN ISLAND HSF,28/01/2019,6.0,0.0, ,25.6,18.0,79,56,5.76,29.54
GARDEN ISLAND HSF,29/01/2019,5.9,0.0, ,23.3,18.3,84,54,8.49,29.53
GARDEN ISLAND HSF,30/01/2019,6.2,0.0, ,24.5,16.4,80,49,6.99,29.49
GARDEN ISLAND HSF,31/01/2019,8.5,0.0, ,33.0,18.0,77,28,5.55,29.20
Totals:,,180.4,1, ,,,,,, 
