'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/03/2009,5.2,0.0,7.6,29.2,20.3,92,56,3.85,23.61
GERALDTON AIRPORT,02/03/2009,6.3,0.4,7.2,26.1,21.0,93,41,10.37,22.55
GERALDTON AIRPORT,03/03/2009,10.3,0.0,10.2,31.0,12.7,70,7,8.34,27.73
GERALDTON AIRPORT,04/03/2009,12.4,0.0,14.2,36.5,17.4,31,7,7.67,26.70
GERALDTON AIRPORT,05/03/2009,10.7,0.0,15.2,37.5,22.6,77,9,6.45,27.59
GERALDTON AIRPORT,06/03/2009,10.0,0.0,12.4,37.4,16.8,78,9,5.33,27.78
GERALDTON AIRPORT,07/03/2009,11.3,0.0,16.6,37.8,19.1,78,8,6.92,27.82
GERALDTON AIRPORT,08/03/2009,10.3,0.0,12.6,37.0,18.7,71,7,5.72,27.79
GERALDTON AIRPORT,09/03/2009,9.7,0.0,12.4,37.4,18.1,77,8,5.09,27.44
GERALDTON AIRPORT,10/03/2009,9.8,0.0,11.4,39.7,18.0,50,6,4.24,27.12
GERALDTON AIRPORT,11/03/2009,8.3,0.0,11.8,32.3,15.9,86,19,6.02,26.22
GERALDTON AIRPORT,12/03/2009,5.2,0.0,8.0,28.2,17.7,94,54,6.59,21.54
GERALDTON AIRPORT,13/03/2009,7.5,0.0,6.8,27.9,18.3,73,37,8.96,25.01
GERALDTON AIRPORT,14/03/2009,9.7,0.0,10.0,37.9,17.1,86,15,5.91,25.32
GERALDTON AIRPORT,15/03/2009,7.8,0.0,8.4,38.3,18.5,96,14,3.51,25.61
GERALDTON AIRPORT,16/03/2009,5.1,0.0,9.4,29.4,18.0,99,55,4.28,24.95
GERALDTON AIRPORT,17/03/2009,5.0,0.0,5.8,27.2,16.9,88,47,4.38,22.07
GERALDTON AIRPORT,18/03/2009,6.8,0.0,6.2,27.0,16.8,74,33,6.94,24.68
GERALDTON AIRPORT,19/03/2009,6.4,0.0,8.8,27.0,15.0,75,33,6.17,23.25
GERALDTON AIRPORT,20/03/2009, ,0.0,7.0,25.3,15.5,83,38,4.11, 
GERALDTON AIRPORT,21/03/2009, ,0.0,6.6,27.7,16.9,83,38,5.78, 
GERALDTON AIRPORT,22/03/2009, ,0.0,7.2,26.2,12.0,92,33,4.83, 
GERALDTON AIRPORT,23/03/2009,5.1,0.0,8.0,25.9,17.0,84,43,4.61,22.35
GERALDTON AIRPORT,24/03/2009,4.9,0.0,5.0,26.1,13.5,91,42,4.29,23.41
GERALDTON AIRPORT,25/03/2009,5.8,0.0,6.0,28.2,14.1,91,40,6.09,23.12
GERALDTON AIRPORT,26/03/2009,8.0,0.0,7.8,35.7,13.4,91,17,4.75,24.31
GERALDTON AIRPORT,27/03/2009, ,0.0,7.2,31.5,15.6,97,30,4.08, 
GERALDTON AIRPORT,28/03/2009, ,0.0,5.4,27.0,20.4, , , , 
GERALDTON AIRPORT,29/03/2009, ,0.0,7.8,26.8,17.6,89,48,7.60, 
GERALDTON AIRPORT,30/03/2009,5.2,0.0,7.4,25.8,14.7,80,50,6.43,22.89
GERALDTON AIRPORT,31/03/2009,5.6,0.0,7.0,26.8,13.9,94,43,7.55,22.88
Totals:,,192.4,0.4,277.4,,,,,, 
