'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/03/2011,10.8,0.0,10.2,40.6,27.4,62,20,5.83,27.30
GERALDTON AIRPORT,02/03/2011,9.3,0.0,13.0,37.0,24.3,88,23,5.73,28.50
GERALDTON AIRPORT,03/03/2011,8.7,0.0,10.2,35.8,23.3,82,27,5.36,28.25
GERALDTON AIRPORT,04/03/2011,8.3,0.0,9.0,34.5,21.2,82,28,5.39,27.78
GERALDTON AIRPORT,05/03/2011,7.0,0.0,10.8,30.6,23.7,80,46,6.87,24.99
GERALDTON AIRPORT,06/03/2011,7.9,0.0,8.8,29.1,20.1,71,35,7.83,26.76
GERALDTON AIRPORT,07/03/2011,7.4,0.0,9.0,29.8,17.0,89,35,7.33,27.76
GERALDTON AIRPORT,08/03/2011,7.6,0.0,9.2,30.0,17.7,80,36,7.31,27.52
GERALDTON AIRPORT,09/03/2011,8.7,0.0,8.4,34.3,18.9,83,27,6.51,27.08
GERALDTON AIRPORT,10/03/2011,6.7,0.0,9.0,30.8,20.3,76,49,6.01,25.98
GERALDTON AIRPORT,11/03/2011,6.7,0.0,9.0,28.8,21.9,76,41,6.65,23.30
GERALDTON AIRPORT,12/03/2011,7.9,0.0,8.8,28.6,18.9,74,39,9.68,26.77
GERALDTON AIRPORT,13/03/2011,9.4,0.0,10.8,36.5,16.5,86,19,6.13,26.45
GERALDTON AIRPORT,14/03/2011,9.7,0.0,10.4,37.8,20.5,83,16,5.98,26.06
GERALDTON AIRPORT,15/03/2011,9.7,0.0, ,39.0,20.5,88,11,5.38,25.40
GERALDTON AIRPORT,16/03/2011,8.4,0.0,12.4,35.8,21.8,79,20,5.58,22.69
GERALDTON AIRPORT,17/03/2011,8.1,0.0,9.2,35.6,23.7,79,30,5.42,25.13
GERALDTON AIRPORT,18/03/2011,6.9,0.0,8.4,32.4,19.3,83,41,5.69,25.41
GERALDTON AIRPORT,19/03/2011,6.3,0.0,7.6,30.2,20.4,92,52,7.97,25.35
GERALDTON AIRPORT,20/03/2011,6.6,0.0,9.6,30.2,15.9,88,42,6.97,25.12
GERALDTON AIRPORT,21/03/2011,7.5,0.0,8.0,36.3,16.2,88,25,4.64,22.16
GERALDTON AIRPORT,22/03/2011,7.7,3.2,7.6,33.0,21.9,82,31,6.18,24.65
GERALDTON AIRPORT,23/03/2011,7.9,0.2,8.2,35.2,19.3,90,27,5.57,24.53
GERALDTON AIRPORT,24/03/2011,9.0,0.0,8.0,37.8,17.6,91,6,4.77,25.21
GERALDTON AIRPORT,25/03/2011,9.1,0.0,12.4,37.2,19.1,77,11,5.25,24.70
GERALDTON AIRPORT,26/03/2011,8.9,0.0,11.4,36.0,19.7,77,10,5.28,24.61
GERALDTON AIRPORT,27/03/2011,8.5,0.0,10.6,35.0,16.4,79,12,5.09,24.71
GERALDTON AIRPORT,28/03/2011,7.8,0.0,9.4,34.2,16.7,87,14,4.73,24.46
GERALDTON AIRPORT,29/03/2011,8.3,0.0,8.6,35.5,15.4,89,11,5.02,24.02
GERALDTON AIRPORT,30/03/2011,9.1,0.0,9.4,36.0,17.6,93,7,5.88,23.96
GERALDTON AIRPORT,31/03/2011,8.6,0.0,13.0,34.7,18.3,77,13,5.85,23.40
Totals:,,254.5,3.4,290.4,,,,,, 
