'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/03/2014,11.8,0.0,20.0,40.3,21.6,45,6,5.99,26.94
GERALDTON AIRPORT,02/03/2014,11.0,0.0,15.6,41.0,18.2,90,5,5.55,26.42
GERALDTON AIRPORT,03/03/2014,5.2,0.0,11.8,28.5,19.4,96,59,6.82,23.52
GERALDTON AIRPORT,04/03/2014,7.2,0.0,10.4,30.0,18.6,83,43,8.58,24.92
GERALDTON AIRPORT,05/03/2014,9.8,0.0,10.0,36.0,17.4,79,20,6.98,25.09
GERALDTON AIRPORT,06/03/2014,7.2,0.0,11.8,32.2,15.6,88,31,5.41,24.74
GERALDTON AIRPORT,07/03/2014,3.9,0.0,8.4,27.5,18.6,94,65,4.61,17.12
GERALDTON AIRPORT,08/03/2014,6.2,0.0,8.0,27.2,22.5,80,47,6.80,23.75
GERALDTON AIRPORT,09/03/2014,6.4,0.0,10.4,26.5,17.4,90,40,8.40,24.93
GERALDTON AIRPORT,10/03/2014,6.6,0.0,10.6,27.8,14.9,85,40,8.14,24.18
GERALDTON AIRPORT,11/03/2014,9.3,0.0,9.2,35.7,16.6,83,20,7.05,22.82
GERALDTON AIRPORT,12/03/2014,9.9,0.0,12.0,41.3,22.3,56,15,5.18,20.94
GERALDTON AIRPORT,13/03/2014,8.0,0.0,14.4,36.1,25.1,86,26,6.37,18.94
GERALDTON AIRPORT,14/03/2014,5.7,0.8,8.6,27.6,19.1,85,48,8.73,17.80
GERALDTON AIRPORT,15/03/2014,7.9,0.0,8.8,29.2,13.6,89,22,8.05,24.58
GERALDTON AIRPORT,16/03/2014,6.7,0.0,10.0,28.9,10.8,90,31,6.44,24.12
GERALDTON AIRPORT,17/03/2014,4.7,0.0,8.0,26.9,14.7,93,58,6.31,21.42
GERALDTON AIRPORT,18/03/2014,4.6,0.0,6.6,31.0,14.8,94,43,4.26,13.26
GERALDTON AIRPORT,19/03/2014,6.0,0.0,5.2,32.3,14.4,100,31,3.66,23.42
GERALDTON AIRPORT,20/03/2014,5.2,0.0,8.0,30.6,17.7,95,43,4.64,18.75
GERALDTON AIRPORT,21/03/2014,6.6,0.0,6.8,35.1,17.4,94,25,3.99,20.85
GERALDTON AIRPORT,22/03/2014,5.1,0.0,8.6,30.0,19.1,98,45,3.58,22.17
GERALDTON AIRPORT,23/03/2014,5.5,0.0,7.0,32.5,16.4,97,35,3.16,22.24
GERALDTON AIRPORT,24/03/2014,7.5,0.0,8.0,35.9,16.9,92,24,5.83,15.84
GERALDTON AIRPORT,25/03/2014,7.6,0.0,10.2,34.2,24.0,77,19,7.34,5.94
GERALDTON AIRPORT,26/03/2014,4.0,0.0,7.0,29.4,23.2,85,31,4.37,3.63
GERALDTON AIRPORT,27/03/2014,4.3,0.4,2.4,29.2,19.4,90,49,5.45,11.22
GERALDTON AIRPORT,28/03/2014,7.2,0.0,5.6,35.4,15.7,93,19,4.38,21.49
GERALDTON AIRPORT,29/03/2014,1.6,0.0,7.8,24.9,17.5,96,69,2.40,4.11
GERALDTON AIRPORT,30/03/2014,4.5,1.8,2.0,25.4,16.1,97,41,4.27,20.23
GERALDTON AIRPORT,31/03/2014,4.6,0.0,6.2,25.7,10.4,95,36,3.74,21.41
Totals:,,201.8,3,279.4,,,,,, 
