'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for February 2020,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/02/2020,11.6,0.0, ,33.8,15.1,73,15,10.47,25.77
GERALDTON AIRPORT,02/02/2020,14.7,0.0, ,42.8,18.8,70,14,9.00,28.77
GERALDTON AIRPORT,03/02/2020,14.2,0.0, ,44.8,25.8,69,13,7.97,27.27
GERALDTON AIRPORT,04/02/2020,6.9,0.0, ,32.5,20.9,89,42,3.56,28.86
GERALDTON AIRPORT,05/02/2020,6.0,0.0, ,29.4,21.9,90,58,3.83,28.17
GERALDTON AIRPORT,06/02/2020,5.8,0.0, ,29.4,19.6,89,58,4.17,27.17
GERALDTON AIRPORT,07/02/2020,6.4,0.0, ,29.8,19.8,86,55,5.92,27.86
GERALDTON AIRPORT,08/02/2020,6.5,0.0, ,29.4,22.3,86,58,6.78,27.97
GERALDTON AIRPORT,09/02/2020,8.0,0.0, ,28.3,19.6,72,45,10.94,28.37
GERALDTON AIRPORT,10/02/2020,9.8,0.0, ,34.1,17.0,80,23,7.66,28.07
GERALDTON AIRPORT,11/02/2020,8.4, , ,36.5,20.7,82,34,5.43,25.74
GERALDTON AIRPORT,12/02/2020,8.2,0.0, ,34.7,23.6,73,36,4.95,28.04
GERALDTON AIRPORT,13/02/2020,5.9,0.0, ,29.6,20.9,89,60,4.45,27.73
GERALDTON AIRPORT,14/02/2020,5.7,0.0, ,29.3,20.4,90,63,4.29,27.47
GERALDTON AIRPORT,15/02/2020,4.6,0.0, ,28.4,18.0,93,56,5.42,16.92
GERALDTON AIRPORT,16/02/2020,7.0,0.0, ,28.1,21.1,77,44,7.95,24.63
GERALDTON AIRPORT,17/02/2020,9.1,0.0, ,33.4,17.7,83,31,8.31,27.37
GERALDTON AIRPORT,18/02/2020,11.5,0.0, ,41.0,20.6,77,22,8.46,19.63
GERALDTON AIRPORT,19/02/2020,8.8,0.0, ,35.6,24.3,71,33,8.31,16.53
GERALDTON AIRPORT,20/02/2020,4.1,2.0, ,30.4,22.4,86,44,4.57,6.75
GERALDTON AIRPORT,21/02/2020,4.1,0.0, ,30.1,23.0,93,50,3.94,12.16
GERALDTON AIRPORT,22/02/2020,5.6,17.2, ,30.9,20.5,95,51,7.24,18.11
GERALDTON AIRPORT,23/02/2020,6.7,0.2, ,33.6,20.5,93,45,4.60,25.81
GERALDTON AIRPORT,24/02/2020,5.8,0.0, ,30.3,21.9,94,55,3.93,26.77
GERALDTON AIRPORT,25/02/2020,5.1,0.0, ,29.4,20.9,94,58,3.30,24.23
GERALDTON AIRPORT,26/02/2020,5.6,3.4, ,31.3,22.7,95,42,7.51,11.51
GERALDTON AIRPORT,27/02/2020,10.5,8.0, ,39.5,22.3,88,26,8.13,23.31
GERALDTON AIRPORT,28/02/2020,3.6,0.0, ,27.0,23.4,92,70,4.44,14.97
GERALDTON AIRPORT,29/02/2020,5.3,0.0, ,28.7,20.2,90,55,4.38,23.98
Totals:,,215.5,30.8, ,,,,,, 
