'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GERALDTON AIRPORT Western Australia for May 2022,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 June 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GERALDTON AIRPORT,01/05/2022,5.3,0.0, ,28.9,11.4,87,23,4.59,16.56
GERALDTON AIRPORT,02/05/2022,4.2,0.0, ,25.4,9.0,89,36,4.62,16.38
GERALDTON AIRPORT,03/05/2022,4.2,0.0, ,26.3,11.7,95,46,6.09,16.28
GERALDTON AIRPORT,04/05/2022,5.2,0.0, ,26.4,11.2,87,32,6.64,16.11
GERALDTON AIRPORT,05/05/2022,7.2,0.0, ,26.6,14.8,54,29,9.48,16.05
GERALDTON AIRPORT,06/05/2022,6.5,0.0, ,27.2,12.9,48,20,6.31,15.92
GERALDTON AIRPORT,07/05/2022,5.2,0.0, ,28.7,11.7,87,18,4.36,15.79
GERALDTON AIRPORT,08/05/2022,4.6,0.0, ,29.7,12.0,92,22,3.55,15.35
GERALDTON AIRPORT,09/05/2022,4.4,0.0, ,29.6,10.6,93,27,3.46,15.34
GERALDTON AIRPORT,10/05/2022,2.8,0.0, ,25.3,14.1,94,57,3.96,11.78
GERALDTON AIRPORT,11/05/2022,2.2,0.0, ,24.4,15.0,92,52,2.69,7.02
GERALDTON AIRPORT,12/05/2022,1.2,0.6, ,19.1,16.4,95,85,4.88,4.18
GERALDTON AIRPORT,13/05/2022,2.2,13.6, ,20.2,10.8,93,63,3.20,13.27
GERALDTON AIRPORT,14/05/2022,2.5,0.6, ,21.7,15.0,90,57,3.13,13.15
GERALDTON AIRPORT,15/05/2022,2.6,0.6, ,23.5,12.8,91,53,3.38,11.26
GERALDTON AIRPORT,16/05/2022,3.8,0.0, ,25.5,11.3,90,30,3.83,14.89
GERALDTON AIRPORT,17/05/2022,3.1,0.0, ,24.2,9.8,91,51,4.22,14.79
GERALDTON AIRPORT,18/05/2022,2.7,4.0, ,23.5,15.4,94,60,4.36,13.16
GERALDTON AIRPORT,19/05/2022,2.6,0.2, ,24.1,13.9,92,56,3.39,11.63
GERALDTON AIRPORT,20/05/2022,2.3,0.0, ,23.0,15.5,93,63,2.97,12.28
GERALDTON AIRPORT,21/05/2022,3.5,0.4, ,26.1,10.8,96,38,3.72,14.48
GERALDTON AIRPORT,22/05/2022,4.3,0.0, ,26.6,12.2,93,47,8.14,9.15
GERALDTON AIRPORT,23/05/2022,3.9,6.2, ,22.4,16.5,83,56,9.89,13.42
GERALDTON AIRPORT,24/05/2022,2.6,3.6, ,23.2,16.8,91,62,4.94,11.27
GERALDTON AIRPORT,25/05/2022,3.0,2.4, ,23.9,12.4,94,47,3.89,14.06
GERALDTON AIRPORT,26/05/2022,3.9,0.0, ,26.5,14.7,87,35,4.40,13.71
GERALDTON AIRPORT,27/05/2022,3.8,0.0, ,26.4,12.3,92,33,4.11,14.04
GERALDTON AIRPORT,28/05/2022,3.4,0.0, ,25.2,13.2,91,47,4.81,13.97
GERALDTON AIRPORT,29/05/2022,3.7,0.0, ,19.4,12.8,89,37,7.30,13.63
GERALDTON AIRPORT,30/05/2022,3.5,0.0, ,20.1,3.9,90,35,5.70,12.99
GERALDTON AIRPORT,31/05/2022,3.9,0.0, ,21.7,11.2,77,35,5.84,12.71
Totals:,,114.3,32.2, ,,,,,, 
