'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,01/06/2011,3.7,0.0,4.6,23.3,6.8,45,11,2.49,17.36
GILES METEOROLOGICAL OFFICE,02/06/2011,3.5,0.0,6.0,24.4,7.5,40,9,2.12,17.41
GILES METEOROLOGICAL OFFICE,03/06/2011,3.1,0.0,4.6,25.4,6.7,42,12,1.68,17.23
GILES METEOROLOGICAL OFFICE,04/06/2011,3.0,0.0,5.0,24.7,8.8,43,13,1.82,13.19
GILES METEOROLOGICAL OFFICE,05/06/2011,4.0,0.0,4.0,26.5,10.6,45,12,2.68,15.41
GILES METEOROLOGICAL OFFICE,06/06/2011,3.3,0.0,5.6,22.5,14.3,64,19,2.99,7.33
GILES METEOROLOGICAL OFFICE,07/06/2011,2.0,4.0,4.0,13.9,12.1,97,39,3.62,7.28
GILES METEOROLOGICAL OFFICE,08/06/2011,1.5,19.0,0.2,16.6,12.1,97,73,3.62,8.42
GILES METEOROLOGICAL OFFICE,09/06/2011,2.0,0.0,2.2,13.4,10.7,89,62,6.80,9.77
GILES METEOROLOGICAL OFFICE,10/06/2011,2.7,0.0,2.8,14.5,3.7,93,35,4.54,16.88
GILES METEOROLOGICAL OFFICE,11/06/2011,2.9,0.0,2.6,14.8,3.0,92,31,4.74,16.98
GILES METEOROLOGICAL OFFICE,12/06/2011,2.8,0.0,4.0,14.4,2.3,95,30,4.42,16.96
GILES METEOROLOGICAL OFFICE,13/06/2011,2.9,0.0,2.8,15.1,0.9,94,22,3.98,17.16
GILES METEOROLOGICAL OFFICE,14/06/2011,2.6,0.0,3.2,15.6,1.4,88,31,3.15,16.94
GILES METEOROLOGICAL OFFICE,15/06/2011,3.0,0.0,2.8,17.5,4.3,77,24,3.25,16.82
GILES METEOROLOGICAL OFFICE,16/06/2011,2.8,0.0,2.8,19.0,2.7,83,21,2.61,16.40
GILES METEOROLOGICAL OFFICE,17/06/2011,3.3,0.0,4.0,19.6,5.5,75,28,3.68,16.48
GILES METEOROLOGICAL OFFICE,18/06/2011,3.1,0.0,3.6,20.8,6.1,83,26,3.06,16.49
GILES METEOROLOGICAL OFFICE,19/06/2011,2.7,0.0,3.0,20.9,4.3,84,24,2.11,16.50
GILES METEOROLOGICAL OFFICE,20/06/2011,3.3,0.0,2.8,20.6,7.9,69,26,3.10,16.53
GILES METEOROLOGICAL OFFICE,21/06/2011,3.3,0.0,3.2,20.1,6.2,82,38,4.55,16.05
GILES METEOROLOGICAL OFFICE,22/06/2011,3.0,0.0,4.8,17.9,9.5,80,39,4.25,15.99
GILES METEOROLOGICAL OFFICE,23/06/2011,3.1,0.0,3.2,19.1,5.8,87,32,3.78,16.50
GILES METEOROLOGICAL OFFICE,24/06/2011,3.3,0.0,4.0,19.5,6.2,76,25,3.48,16.68
GILES METEOROLOGICAL OFFICE,25/06/2011,3.0,0.0,4.8,20.9,4.7,69,17,2.38,16.61
GILES METEOROLOGICAL OFFICE,26/06/2011,4.0,0.0,3.0,21.9,6.3,55,14,3.63,16.49
GILES METEOROLOGICAL OFFICE,27/06/2011,4.3,0.0,5.8,20.3,5.6,54,16,4.67,16.47
GILES METEOROLOGICAL OFFICE,28/06/2011,3.9,0.0,4.6,21.6,5.9,65,27,4.39,16.34
GILES METEOROLOGICAL OFFICE,29/06/2011,4.0,0.0,6.4,23.4,10.5,54,26,3.74,16.17
GILES METEOROLOGICAL OFFICE,30/06/2011,4.3,0.0,4.4,23.7,14.0,51,23,3.85,16.13
Totals:,,94.4,23,114.8,,,,,, 
