'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,01/08/2011,4.5,0.0,6.8,27.9,13.4,43,10,2.70,17.86
GILES METEOROLOGICAL OFFICE,02/08/2011,5.5,0.0,6.8,28.1,11.0,42,8,3.69,18.07
GILES METEOROLOGICAL OFFICE,03/08/2011,6.2,0.0,8.0,27.2,13.5,34,9,4.63,17.15
GILES METEOROLOGICAL OFFICE,04/08/2011, ,0.0,8.0,22.9,9.6,64,26,3.12, 
GILES METEOROLOGICAL OFFICE,05/08/2011,4.1,0.0,6.2,18.5,4.7,59,12,4.07,17.22
GILES METEOROLOGICAL OFFICE,06/08/2011,4.4,0.0,4.8,23.2,2.1,85,11,3.57,17.78
GILES METEOROLOGICAL OFFICE,07/08/2011,4.5,0.0,6.0,25.0,5.8,50,15,3.15,17.56
GILES METEOROLOGICAL OFFICE,08/08/2011,4.8,0.0,4.8,26.8,6.0,65,14,3.26,17.69
GILES METEOROLOGICAL OFFICE,09/08/2011,4.4,0.0,7.4,25.9,6.8,50,12,2.71,17.77
GILES METEOROLOGICAL OFFICE,10/08/2011,4.4,0.0,7.2,20.1,6.6,69,14,4.22,18.52
GILES METEOROLOGICAL OFFICE,11/08/2011,3.9,0.0,5.4,20.1,4.8,69,17,3.45,18.30
GILES METEOROLOGICAL OFFICE,12/08/2011,4.2,0.0,4.2,22.5,4.8,79,15,3.40,17.15
GILES METEOROLOGICAL OFFICE,13/08/2011,4.1,0.0,4.6,26.4,7.8,55,16,2.39,17.34
GILES METEOROLOGICAL OFFICE,14/08/2011,4.7,0.0,7.2,27.5,13.0,42,13,2.77,17.12
GILES METEOROLOGICAL OFFICE,15/08/2011,6.2,0.0,7.2,29.0,12.4,36,12,4.29,17.22
GILES METEOROLOGICAL OFFICE,16/08/2011,5.0,0.0,7.6,22.4,16.1,72,22,5.40,17.05
GILES METEOROLOGICAL OFFICE,17/08/2011,4.4,0.0,7.6,18.5,3.7,63,18,4.72,20.17
GILES METEOROLOGICAL OFFICE,18/08/2011,4.8,0.0,6.0,22.1,4.9,58,12,3.90,18.97
GILES METEOROLOGICAL OFFICE,19/08/2011,5.2,0.0,7.0,24.0,9.5,45,11,3.74,20.36
GILES METEOROLOGICAL OFFICE,20/08/2011,5.2,0.0, ,24.5,10.1,41,13,3.54,20.65
GILES METEOROLOGICAL OFFICE,21/08/2011,5.8,0.0,6.0,25.0,11.6,45,8,4.12,20.95
GILES METEOROLOGICAL OFFICE,22/08/2011,6.1,0.0,8.6,25.3,13.3,41,11,4.49,21.00
GILES METEOROLOGICAL OFFICE,23/08/2011,5.8,0.0,8.0,24.9,8.9,37,8,4.16,21.30
GILES METEOROLOGICAL OFFICE,24/08/2011,6.1,0.0,8.0,26.2,12.0,30,10,4.13,21.26
GILES METEOROLOGICAL OFFICE,25/08/2011,4.9,0.0,7.0,27.2,9.3,35,7,2.54,21.39
GILES METEOROLOGICAL OFFICE,26/08/2011,6.0,0.0,6.6,27.1,10.4,45,8,3.96,21.42
GILES METEOROLOGICAL OFFICE,27/08/2011,6.0,0.0,8.0,27.5,11.0,35,9,3.70,21.44
GILES METEOROLOGICAL OFFICE,28/08/2011,5.7,0.0,7.8,28.8,11.1,37,6,3.09,21.78
GILES METEOROLOGICAL OFFICE,29/08/2011,5.8,0.0,9.0,30.1,11.0,33,5,2.88,21.89
GILES METEOROLOGICAL OFFICE,30/08/2011,6.9,0.0,8.8,29.8,13.9,31,5,4.03,22.10
GILES METEOROLOGICAL OFFICE,31/08/2011,7.2,0.0,10.2,30.4,13.9,21,5,4.23,21.80
Totals:,,156.8,0,210.8,,,,,, 
