'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GILES METEOROLOGICAL OFFICE Western Australia for March 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 April 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GILES METEOROLOGICAL OFFICE,01/03/2016,9.6,0.0,13.2,42.2,23.2,26,5,3.70,26.74
GILES METEOROLOGICAL OFFICE,02/03/2016,11.1,0.0,14.4,41.6,23.6,20,3,4.97,24.76
GILES METEOROLOGICAL OFFICE,03/03/2016,10.4,0.0,17.6,41.5,24.4,31,6,4.56,25.05
GILES METEOROLOGICAL OFFICE,04/03/2016,10.9,0.0,13.8,41.5,24.6,60,12,6.01,22.43
GILES METEOROLOGICAL OFFICE,05/03/2016,7.1,0.4,16.4,37.5,24.7,64,17,4.40,11.85
GILES METEOROLOGICAL OFFICE,06/03/2016,9.6,0.0,10.4,38.6,22.8,64,13,5.34,23.54
GILES METEOROLOGICAL OFFICE,07/03/2016,8.8,0.0,12.0,36.2,21.8,71,28,6.37,22.61
GILES METEOROLOGICAL OFFICE,08/03/2016,7.5,0.0,11.6,36.1,22.1,65,28,4.11,22.50
GILES METEOROLOGICAL OFFICE,09/03/2016,7.4,0.0,10.4,36.4,21.3,77,21,3.74,23.84
GILES METEOROLOGICAL OFFICE,10/03/2016,7.5,0.0,9.6,37.6,23.7,83,23,5.01,17.12
GILES METEOROLOGICAL OFFICE,11/03/2016,5.3,7.6,9.4,35.1,21.9,75,32,4.01,9.22
GILES METEOROLOGICAL OFFICE,12/03/2016,7.7,0.0,8.0,36.2,24.1,63,23,5.08,16.21
GILES METEOROLOGICAL OFFICE,13/03/2016,5.9,0.0,10.6,34.5,21.4,84,36,4.84,14.33
GILES METEOROLOGICAL OFFICE,14/03/2016,7.6,11.6,8.2,35.3,21.7,88,32,5.76,22.95
GILES METEOROLOGICAL OFFICE,15/03/2016,7.2,0.0,12.0,34.7,22.4,84,34,5.12,22.83
GILES METEOROLOGICAL OFFICE,16/03/2016,7.5,0.0,8.0,35.9,23.3,83,28,5.32,20.49
GILES METEOROLOGICAL OFFICE,17/03/2016,7.2,0.0,10.4,36.9,24.5,70,24,3.69,21.55
GILES METEOROLOGICAL OFFICE,18/03/2016,6.7,0.0,10.2,35.2,24.9,100,32,5.65,18.81
GILES METEOROLOGICAL OFFICE,19/03/2016,6.7,0.0,8.2,34.6,22.1,100,36,6.55,18.33
GILES METEOROLOGICAL OFFICE,20/03/2016,6.4,44.4,8.2,33.9,19.4,94,44,5.35,22.36
GILES METEOROLOGICAL OFFICE,21/03/2016,3.9,1.4,7.8,30.2,22.5,100,49,3.91,12.63
GILES METEOROLOGICAL OFFICE,22/03/2016,2.6,25.0,8.8,26.2,19.7,94,64,3.60,7.57
GILES METEOROLOGICAL OFFICE,23/03/2016,4.3,0.0,2.6,31.1,19.9,94,46,1.88,19.05
GILES METEOROLOGICAL OFFICE,24/03/2016,5.8,0.0,4.0,34.7,21.4,100,26,2.40,23.52
GILES METEOROLOGICAL OFFICE,25/03/2016,7.2,0.0,11.8,33.1,20.9,78,28,4.98,23.59
GILES METEOROLOGICAL OFFICE,26/03/2016,6.5,0.0,8.0,32.4,17.7,77,24,3.71,23.59
GILES METEOROLOGICAL OFFICE,27/03/2016,6.9,0.0,8.0,34.0,18.3,73,21,3.87,22.70
GILES METEOROLOGICAL OFFICE,28/03/2016,6.5,0.0,12.0,31.9,20.9,73,29,5.04,18.75
GILES METEOROLOGICAL OFFICE,29/03/2016,6.2,0.0,8.0,29.0,19.3,88,32,5.55,22.50
GILES METEOROLOGICAL OFFICE,30/03/2016,6.1,0.0,8.0,29.3,15.4,72,27,4.01,23.34
GILES METEOROLOGICAL OFFICE,31/03/2016,6.3,0.0,8.0,31.8,14.1,67,17,3.41,23.26
Totals:,,220.4,90.4,309.6,,,,,, 
