'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for October 2013,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 November 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/10/2013,4.0,0.0, ,20.0,3.3,100,49,2.19,28.64
GINGIN AERO,02/10/2013,5.7,0.0, ,26.1,11.0,95,32,3.24,29.04
GINGIN AERO,03/10/2013,7.9,0.0, ,33.5,8.9,96,21,4.16,29.63
GINGIN AERO,04/10/2013,3.9,0.0, ,22.3,13.8,100,54,3.11,23.19
GINGIN AERO,05/10/2013,3.9,0.0, ,23.2,9.4,100,59,4.03,22.87
GINGIN AERO,06/10/2013,4.7,0.6, ,22.9,8.6,100,47,3.62,28.71
GINGIN AERO,07/10/2013,5.2,0.0, ,24.4,8.4,100,47,3.60,30.24
GINGIN AERO,08/10/2013,4.3,0.0, ,24.3,9.5,100,49,3.76,22.95
GINGIN AERO,09/10/2013,3.7,10.6, ,19.9,12.3,100,53,2.77,22.80
GINGIN AERO,10/10/2013,4.3,0.8, ,21.3,4.8,100,45,1.94,29.16
GINGIN AERO,11/10/2013,4.1,0.0, ,21.3,6.8,100,50,4.79,23.66
GINGIN AERO,12/10/2013,4.0,0.8, ,18.6,10.7,93,42,3.71,23.48
GINGIN AERO,13/10/2013,5.6,0.4, ,21.6,4.8,96,28,4.13,32.33
GINGIN AERO,14/10/2013,6.5,0.0, ,26.4,5.6,100,18,3.31,32.48
GINGIN AERO,15/10/2013,4.7,0.0, ,22.2,5.1,100,54,3.22,31.06
GINGIN AERO,16/10/2013,3.8,1.8, ,21.3,15.7,100,57,4.02,21.80
GINGIN AERO,17/10/2013,4.9,0.0, ,22.8,6.4,100,51,2.29,31.82
GINGIN AERO,18/10/2013,5.1,0.0, ,23.9,9.3,100,49,3.14,31.09
GINGIN AERO,19/10/2013,3.3,0.0, ,21.7,15.2,100,62,5.01,16.53
GINGIN AERO,20/10/2013,4.2,10.0, ,20.1,9.3,100,51,4.12,26.91
GINGIN AERO,21/10/2013,5.8,0.0, ,21.2,7.4,94,32,4.12,33.92
GINGIN AERO,22/10/2013,6.7,0.0, ,24.6,7.8,94,26,4.84,33.95
GINGIN AERO,23/10/2013,9.2,0.0, ,27.4,12.5,66,19,8.23,33.50
GINGIN AERO,24/10/2013,9.4,0.2, ,27.7,14.3,58,25,8.94,32.76
GINGIN AERO,25/10/2013,4.5,0.0, ,25.4,7.8,99,49,2.85,24.75
GINGIN AERO,26/10/2013,5.6,0.0, ,27.4,11.5,100,47,2.67,31.09
GINGIN AERO,27/10/2013,6.8,0.0, ,29.8,9.4,100,31,3.60,31.94
GINGIN AERO,28/10/2013,8.2,0.0, ,30.3,12.8,97,22,5.29,33.53
GINGIN AERO,29/10/2013,7.9,0.0, ,32.7,12.6,100,27,3.64,34.05
GINGIN AERO,30/10/2013,10.3,0.0, ,38.6,14.3,94,15,4.63,33.72
GINGIN AERO,31/10/2013,5.7,0.0, ,27.9,13.2,100,44,3.21,29.83
Totals:,,173.9,25.2, ,,,,,, 
