'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GINGIN AERO Western Australia for February 2022,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 March 2022,,,,,,,,,,
© Copyright Commonwealth of Australia 2022 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GINGIN AERO,01/02/2022,10.6,0.0, ,31.6,16.4,58,18,8.93,28.91
GINGIN AERO,02/02/2022,12.4,0.0, ,35.1,17.9,52,14,9.19,29.05
GINGIN AERO,03/02/2022,12.7,0.0, ,39.8,23.8,29,9,6.35,28.97
GINGIN AERO,04/02/2022,11.3,0.0, ,43.0,25.2,41,9,4.59,28.71
GINGIN AERO,05/02/2022,9.8,0.0, ,44.4,16.0,60,7,3.13,28.70
GINGIN AERO,06/02/2022,6.3,0.0, ,31.3,16.2,92,44,5.76,22.35
GINGIN AERO,07/02/2022,6.4,1.6, ,24.7,15.6,71,32,6.44,21.92
GINGIN AERO,08/02/2022,6.3,0.0, ,28.5,8.5,84,32,3.79,27.98
GINGIN AERO,09/02/2022,7.0,0.0, ,31.2,13.3,92,32,4.31,28.13
GINGIN AERO,10/02/2022,10.4,0.0, ,41.1,14.8,89,12,4.68,27.94
GINGIN AERO,11/02/2022,8.2,0.0, ,37.1,16.5,86,15,3.70,26.66
GINGIN AERO,12/02/2022,6.8,0.0, ,30.4,16.9,88,33,4.74,25.81
GINGIN AERO,13/02/2022,8.2,0.0, ,36.2,16.0,83,27,4.41,27.57
GINGIN AERO,14/02/2022,8.1,0.0, ,39.0,22.0,74,35,4.71,22.15
GINGIN AERO,15/02/2022,9.1,0.4, ,38.9,22.4,78,22,4.66,26.79
GINGIN AERO,16/02/2022,10.3,0.0, ,40.4,23.2,65,16,5.06,26.97
GINGIN AERO,17/02/2022,10.4,0.0, ,38.6,20.8,57,14,5.48,26.73
GINGIN AERO,18/02/2022,10.8,0.0, ,39.2,23.3,42,10,5.21,26.59
GINGIN AERO,19/02/2022,9.4,0.0, ,40.6,13.9,68,9,3.73,26.59
GINGIN AERO,20/02/2022,9.8,0.0, ,37.2,19.9,73,16,5.72,26.40
GINGIN AERO,21/02/2022,9.2,0.0, ,36.0,18.9,72,22,5.68,26.16
GINGIN AERO,22/02/2022,8.1,0.0, ,36.2,14.8,85,22,4.32,26.05
GINGIN AERO,23/02/2022,8.2,0.0, ,34.2,18.9,89,27,5.72,25.98
GINGIN AERO,24/02/2022,9.0,0.0, ,36.0,17.7,76,19,5.35,25.77
GINGIN AERO,25/02/2022,6.5,0.0, ,34.1,12.5,90,27,3.19,24.24
GINGIN AERO,26/02/2022,7.0,0.0, ,33.4,17.6,93,33,4.46,25.50
GINGIN AERO,27/02/2022,7.9,0.0, ,34.0,16.7,76,28,5.19,25.32
GINGIN AERO,28/02/2022,8.2,0.0, ,35.4,18.2,78,24,5.01,25.17
Totals:,,248.4,2, ,,,,,, 
