'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for March 2015,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 April 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/03/2015,7.7, , ,31.8,15.3,76,33,7.32,20.93
GOOSEBERRY HILL,02/03/2015,6.0, , ,27.6,17.6,73,42,6.98,17.79
GOOSEBERRY HILL,03/03/2015,7.0, , ,31.7,16.1,79,30,5.95,19.14
GOOSEBERRY HILL,04/03/2015,8.0, , ,32.0,15.8,82,28,6.91,24.54
GOOSEBERRY HILL,05/03/2015,8.2, , ,32.5,16.1,75,24,6.27,24.92
GOOSEBERRY HILL,06/03/2015,8.0, , ,33.4,16.9,73,23,5.34,24.67
GOOSEBERRY HILL,07/03/2015,8.2, , ,33.7,17.3,67,24,5.60,24.27
GOOSEBERRY HILL,08/03/2015,8.0, , ,31.8,18.1,68,26,6.11,24.13
GOOSEBERRY HILL,09/03/2015,7.6, , ,33.0,17.7,78,28,5.53,24.29
GOOSEBERRY HILL,10/03/2015,6.8, , ,33.2,17.8,63,17,3.22,24.54
GOOSEBERRY HILL,11/03/2015,8.8, , ,35.6,17.8,77,20,5.85,23.94
GOOSEBERRY HILL,12/03/2015,10.7, , ,39.3,20.6,55,13,6.25,23.68
GOOSEBERRY HILL,13/03/2015,6.6, , ,35.3,25.1,80,19,5.78,5.53
GOOSEBERRY HILL,14/03/2015,5.0, , ,31.4,19.0,100,41,6.74,9.14
GOOSEBERRY HILL,15/03/2015,3.7, , ,25.5,19.9,100,57,4.97,15.90
GOOSEBERRY HILL,16/03/2015,3.6, , ,24.8,17.5,99,57,3.73,17.32
GOOSEBERRY HILL,17/03/2015,3.7, , ,26.2,16.7,95,57,3.79,16.62
GOOSEBERRY HILL,18/03/2015,3.2, , ,21.8,18.0,100,56,5.22,13.50
GOOSEBERRY HILL,19/03/2015,3.2, , ,23.8,15.5,94,48,2.44,14.48
GOOSEBERRY HILL,20/03/2015,6.6, , ,30.6,13.7,76,32,5.29,22.39
GOOSEBERRY HILL,21/03/2015,4.1, , ,23.8,17.4,81,51,5.20,14.92
GOOSEBERRY HILL,22/03/2015,4.3, , ,23.8,13.8,86,32,3.29,19.47
GOOSEBERRY HILL,23/03/2015,5.5, , ,23.1,10.5,62,28,5.09,21.87
GOOSEBERRY HILL,24/03/2015,6.6, , ,27.4,11.6,66,24,5.94,21.04
GOOSEBERRY HILL,25/03/2015,7.2, , ,27.9,13.1,71,23,7.17,21.19
GOOSEBERRY HILL,26/03/2015,7.0, , ,28.7,13.4,83,26,8.03,17.54
GOOSEBERRY HILL,27/03/2015,4.7, , ,26.7,15.1,89,43,4.94,18.68
GOOSEBERRY HILL,28/03/2015,4.4, , ,27.1,15.7,80,38,2.91,19.69
GOOSEBERRY HILL,29/03/2015,6.3, , ,31.7,15.6,77,23,4.29,20.80
GOOSEBERRY HILL,30/03/2015,4.2, , ,28.9,17.6,87,29,3.17,12.56
GOOSEBERRY HILL,31/03/2015,3.6, , ,25.2,16.6,89,52,3.62,14.92
Totals:,,188.5, , ,,,,,, 
