'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for GOOSEBERRY HILL Western Australia for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
GOOSEBERRY HILL,01/08/2015,2.4, , ,16.1,10.1,85,55,5.00,12.11
GOOSEBERRY HILL,02/08/2015,2.0, , ,15.1,7.0,78,54,2.76,13.13
GOOSEBERRY HILL,03/08/2015,2.5, , ,16.7,7.5,82,54,4.76,13.25
GOOSEBERRY HILL,04/08/2015,2.7, , ,16.8,8.6,80,51,5.27,12.68
GOOSEBERRY HILL,05/08/2015,2.7, , ,16.8,7.8,95,52,7.24,13.25
GOOSEBERRY HILL,06/08/2015,3.3, , ,17.8,8.4,76,47,7.41,10.43
GOOSEBERRY HILL,07/08/2015,1.5, , ,16.5,9.6,94,70,3.16,8.32
GOOSEBERRY HILL,08/08/2015,1.7, , ,12.5,9.5,100,60,5.92,8.73
GOOSEBERRY HILL,09/08/2015,1.5, , ,13.4,5.1,94,58,1.77,11.55
GOOSEBERRY HILL,10/08/2015,1.9, , ,16.2,7.5,100,66,6.56,11.59
GOOSEBERRY HILL,11/08/2015,2.0, , ,15.9,9.0,95,57,3.34,12.49
GOOSEBERRY HILL,12/08/2015,1.9, , ,16.0,9.6,86,63,2.73,11.70
GOOSEBERRY HILL,13/08/2015,1.4, , ,16.2,11.7,94,73,2.11,8.80
GOOSEBERRY HILL,14/08/2015,3.2, , ,21.6,8.8,96,45,4.55,15.36
GOOSEBERRY HILL,15/08/2015,5.1, , ,25.4,11.0,75,28,6.01,15.57
GOOSEBERRY HILL,16/08/2015,2.9, , ,22.2,14.1,97,44,3.66,12.52
GOOSEBERRY HILL,17/08/2015,1.4, , ,18.9,14.3,100,74,4.33,5.26
GOOSEBERRY HILL,18/08/2015,2.4, , ,18.6,12.3,100,61,5.20,14.53
GOOSEBERRY HILL,19/08/2015,1.9, , ,18.0,12.2,100,69,4.08,11.52
GOOSEBERRY HILL,20/08/2015,2.3, , ,16.4,10.0,100,58,5.31,13.67
GOOSEBERRY HILL,21/08/2015,1.2, , ,12.7,10.0,100,76,3.92,7.19
GOOSEBERRY HILL,22/08/2015,1.8, , ,15.4,6.8,95,65,2.28,12.53
GOOSEBERRY HILL,23/08/2015,2.8, , ,17.3,5.5,99,48,5.64,15.34
GOOSEBERRY HILL,24/08/2015,3.1, , ,17.6,8.5,93,50,6.58,16.23
GOOSEBERRY HILL,25/08/2015,3.5, , ,18.0,6.9,90,44,7.09,17.05
GOOSEBERRY HILL,26/08/2015,3.9, , ,20.1,8.6,68,41,5.87,13.29
GOOSEBERRY HILL,27/08/2015,4.7, , ,23.6,10.1,93,32,6.41,16.80
GOOSEBERRY HILL,28/08/2015,1.9, , ,19.7,12.9,100,77,3.26,11.78
GOOSEBERRY HILL,29/08/2015,2.1, , ,20.6,12.9,100,71,4.65,10.94
GOOSEBERRY HILL,30/08/2015,2.6, , ,17.3,11.6,100,51,3.33,16.26
GOOSEBERRY HILL,31/08/2015,2.0, , ,14.7,8.9,98,65,4.74,12.11
Totals:,,76.3, , ,,,,,, 
