'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/06/2011,3.7,0.0,4.6,25.6,9.5,59,13,1.64,20.64
HALLS CREEK AIRPORT,02/06/2011,3.9,0.0,4.2,26.1,9.4,57,14,1.92,20.47
HALLS CREEK AIRPORT,03/06/2011,3.4,0.0,5.0,26.9,8.5,66,16,1.38,20.23
HALLS CREEK AIRPORT,04/06/2011,3.1,0.0,6.2,26.6,9.8,67,19,1.12,19.83
HALLS CREEK AIRPORT,05/06/2011,3.0,0.0,3.6,28.3,11.6,66,19,0.96,19.37
HALLS CREEK AIRPORT,06/06/2011,3.1,0.0,4.8,29.1,11.2,76,18,1.00,19.32
HALLS CREEK AIRPORT,07/06/2011,3.1,0.0,2.6,28.8,12.5,65,21,1.10,18.85
HALLS CREEK AIRPORT,08/06/2011,3.4,0.4,5.0,26.4,16.6,81,34,2.13,16.24
HALLS CREEK AIRPORT,09/06/2011,3.0,0.2,6.4,23.3,15.8,85,49,2.84,14.29
HALLS CREEK AIRPORT,10/06/2011,2.5,0.0,3.4,18.0,12.5,91,50,3.60,11.50
HALLS CREEK AIRPORT,11/06/2011,3.5,0.0,1.6,19.9,7.9,84,28,3.07,19.94
HALLS CREEK AIRPORT,12/06/2011,3.6,0.0,3.6,19.3,6.0,69,23,2.98,20.04
HALLS CREEK AIRPORT,13/06/2011,3.8,0.0,4.6,20.2,6.8,58,19,2.82,20.14
HALLS CREEK AIRPORT,14/06/2011,3.6,0.0,7.4,20.5,5.3,62,20,2.54,20.13
HALLS CREEK AIRPORT,15/06/2011,3.5,0.0,4.0,22.0,7.1,64,21,2.13,19.89
HALLS CREEK AIRPORT,16/06/2011,3.6,0.0,4.0,22.8,7.5,63,16,2.11,19.79
HALLS CREEK AIRPORT,17/06/2011,3.7,0.0,3.6,23.7,8.0,65,13,2.10,19.75
HALLS CREEK AIRPORT,18/06/2011,3.8,0.0,7.2,24.5,9.0,53,13,2.06,19.95
HALLS CREEK AIRPORT,19/06/2011,3.6,0.0,4.4,24.7,9.6,53,17,1.88,19.71
HALLS CREEK AIRPORT,20/06/2011,3.3,0.0,4.8,24.9,7.9,71,16,1.56,19.68
HALLS CREEK AIRPORT,21/06/2011,3.8,0.0,3.2,25.6,8.1,67,14,2.01,19.55
HALLS CREEK AIRPORT,22/06/2011,3.9,0.0,4.4,25.5,9.5,60,13,2.13,19.75
HALLS CREEK AIRPORT,23/06/2011,3.7,0.0,7.0,23.2,10.3,67,27,2.48,19.70
HALLS CREEK AIRPORT,24/06/2011,3.3,0.0,5.4,24.1,8.7,66,23,1.72,19.45
HALLS CREEK AIRPORT,25/06/2011,3.2,0.0,2.6,26.8,8.6,67,19,1.38,18.87
HALLS CREEK AIRPORT,26/06/2011,3.0,0.0,3.8,27.6,12.8,72,20,1.22,17.44
HALLS CREEK AIRPORT,27/06/2011,3.9,0.0,5.2,27.7,14.5,56,18,1.93,19.21
HALLS CREEK AIRPORT,28/06/2011,3.3,0.0,6.8,26.0,11.4,62,22,1.43,19.30
HALLS CREEK AIRPORT,29/06/2011,3.3,0.0,6.4,27.3,10.6,71,25,1.42,19.10
HALLS CREEK AIRPORT,30/06/2011,3.6,0.0,3.0,26.5,19.1,58,30,1.96,16.49
Totals:,,103.2,0.6,138.8,,,,,, 
