'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/04/2014,4.3,0.0,7.6,36.9,25.3,72,29,0.89,18.01
HALLS CREEK AIRPORT,02/04/2014,5.3,0.0,5.2,38.3,24.4,72,14,1.10,23.91
HALLS CREEK AIRPORT,03/04/2014,6.2,0.0,9.8,38.3,26.6,48,18,2.05,22.66
HALLS CREEK AIRPORT,04/04/2014,5.3,0.0,7.4,38.0,24.4,66,25,1.69,19.83
HALLS CREEK AIRPORT,05/04/2014,5.3,9.2,6.6,35.0,22.1,89,33,1.98,21.45
HALLS CREEK AIRPORT,06/04/2014,3.7,0.0,6.4,34.9,23.7,88,32,0.98,15.18
HALLS CREEK AIRPORT,07/04/2014,4.8,0.0,4.0,35.2,23.9,98,33,1.65,19.67
HALLS CREEK AIRPORT,08/04/2014,3.8,28.0,6.6,30.6,20.8,98,52,1.40,17.80
HALLS CREEK AIRPORT,09/04/2014,4.5,3.6,4.4,33.9,21.3,96,39,1.15,21.33
HALLS CREEK AIRPORT,10/04/2014,4.2,0.0,4.0,33.5,23.1,96,44,1.12,19.23
HALLS CREEK AIRPORT,11/04/2014,5.1,0.0,5.2,33.8,23.2,94,32,1.84,21.92
HALLS CREEK AIRPORT,12/04/2014,5.5,0.0,7.6,32.7,21.0,63,28,2.21,22.92
HALLS CREEK AIRPORT,13/04/2014,5.1,0.0,6.4,32.0,19.7,78,27,1.83,23.08
HALLS CREEK AIRPORT,14/04/2014,5.0,0.0,6.8,31.1,18.7,77,28,1.91,22.90
HALLS CREEK AIRPORT,15/04/2014,5.3,0.0, ,31.3,18.0,67,21,2.11,23.66
HALLS CREEK AIRPORT,16/04/2014,5.1,0.0, ,31.3,17.3,71,22,1.99,23.28
HALLS CREEK AIRPORT,17/04/2014,5.2,0.0,21.8,32.4,18.2,58,22,1.94,23.14
HALLS CREEK AIRPORT,18/04/2014,5.4,0.0,7.2,32.8,19.9,59,20,2.04,23.08
HALLS CREEK AIRPORT,19/04/2014,5.0,0.0,8.0,32.6,18.1,55,16,1.68,23.12
HALLS CREEK AIRPORT,20/04/2014,4.3,0.0,7.6,32.0,16.9,55,15,1.20,22.47
HALLS CREEK AIRPORT,21/04/2014,4.3,0.0,4.8,32.9,15.7,68,15,1.11,22.55
HALLS CREEK AIRPORT,22/04/2014,4.7,0.0,7.0,33.5,16.8,67,15,1.46,22.36
HALLS CREEK AIRPORT,23/04/2014,4.9,0.0,6.2,33.8,17.5,54,12,1.62,22.15
HALLS CREEK AIRPORT,24/04/2014,4.9,0.0,7.2,34.1,18.8,48,10,1.65,21.84
HALLS CREEK AIRPORT,25/04/2014,4.2,0.0,7.6,34.0,17.7,55,13,1.09,21.80
HALLS CREEK AIRPORT,26/04/2014,4.8,0.0,5.4,34.5,20.3,60,17,1.59,21.39
HALLS CREEK AIRPORT,27/04/2014,4.6,0.0,7.0,34.8,21.7,64,35,1.53,20.34
HALLS CREEK AIRPORT,28/04/2014,4.5,0.0,7.4,34.9,25.8,73,37,1.49,19.15
HALLS CREEK AIRPORT,29/04/2014,4.1,0.0,5.0,35.2,23.7,81,35,1.12,18.72
HALLS CREEK AIRPORT,30/04/2014,4.2,0.0,5.8,35.3,24.5,76,29,1.14,19.05
Totals:,,143.6,40.8,196,,,,,, 
