'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HALLS CREEK AIRPORT Western Australia for September 2014,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 October 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HALLS CREEK AIRPORT,01/09/2014,4.7,0.0,8.0,33.2,10.2,41,3,1.36,24.41
HALLS CREEK AIRPORT,02/09/2014,5.2,0.0,8.4,34.6,14.7,24,2,1.62,24.66
HALLS CREEK AIRPORT,03/09/2014,5.4,0.0,9.0,32.9,17.1,28,7,1.85,24.23
HALLS CREEK AIRPORT,04/09/2014,4.9,0.0,7.6,33.6,13.7,39,5,1.36,24.47
HALLS CREEK AIRPORT,05/09/2014,4.7,0.0,6.6,34.3,15.0,35,4,1.22,24.49
HALLS CREEK AIRPORT,06/09/2014,4.8,0.0,8.8,34.9,14.8,33,6,1.23,24.47
HALLS CREEK AIRPORT,07/09/2014,4.8,0.0,6.8,35.3,17.0,37,8,1.12,24.65
HALLS CREEK AIRPORT,08/09/2014,5.1,0.0,8.0,35.4,16.5,39,9,1.34,24.53
HALLS CREEK AIRPORT,09/09/2014,5.1,0.0,6.8,35.9,16.5,39,8,1.25,24.91
HALLS CREEK AIRPORT,10/09/2014,5.6,0.0,7.2,36.0,18.9,40,8,1.61,24.67
HALLS CREEK AIRPORT,11/09/2014,7.0,0.0,11.6,36.7,20.5,32,9,2.70,24.71
HALLS CREEK AIRPORT,12/09/2014,7.3,0.0,11.6,36.9,22.5,25,8,2.83,24.84
HALLS CREEK AIRPORT,13/09/2014,6.3,0.0,10.0,35.1,21.4,29,8,2.19,25.07
HALLS CREEK AIRPORT,14/09/2014,6.5,0.0,9.8,35.5,18.7,30,6,2.26,25.45
HALLS CREEK AIRPORT,15/09/2014,5.5,0.0,9.2,34.5,17.0,28,1,1.60,25.98
HALLS CREEK AIRPORT,16/09/2014,5.2,0.0, ,35.0,16.7,26,4,1.30,26.09
HALLS CREEK AIRPORT,17/09/2014,5.2,0.0, ,35.6,17.6,34,8,1.22,25.59
HALLS CREEK AIRPORT,18/09/2014,5.3,0.0,25.8,36.8,21.9,31,8,1.24,24.66
HALLS CREEK AIRPORT,19/09/2014,5.2,0.0, ,36.4,20.2,43,10,1.14,24.76
HALLS CREEK AIRPORT,20/09/2014,5.3,0.0, ,38.0,21.8,37,9,1.15,24.78
HALLS CREEK AIRPORT,21/09/2014,5.9,0.0, ,36.9,20.6,33,7,1.61,25.88
HALLS CREEK AIRPORT,22/09/2014,6.8,0.0,35.6,34.5,21.3,29,10,2.44,25.74
HALLS CREEK AIRPORT,23/09/2014,6.4,0.0,10.2,34.9,20.8,34,8,2.20,24.69
HALLS CREEK AIRPORT,24/09/2014,6.6,0.0,11.2,32.2,17.1,23,6,2.65,24.58
HALLS CREEK AIRPORT,25/09/2014,5.8,0.0,8.0,35.1,16.9,38,5,1.67,24.75
HALLS CREEK AIRPORT,26/09/2014,5.8,0.0, ,35.5,19.8,36,14,1.61,25.10
HALLS CREEK AIRPORT,27/09/2014,5.7,0.0, ,36.1,21.2,38,9,1.48,25.27
HALLS CREEK AIRPORT,28/09/2014,5.6,0.0,26.2,37.0,19.7,28,6,1.40,25.31
HALLS CREEK AIRPORT,29/09/2014,5.5,0.0,9.8,38.0,19.6,27,5,1.30,25.36
HALLS CREEK AIRPORT,30/09/2014,5.6,0.0,9.0,38.7,19.2,34,7,1.26,25.56
Totals:,,168.8,0,265.2,,,,,, 
