'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HILLARYS BOAT HARBOUR NTC Western Australia for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HILLARYS BOAT HARBOUR NTC,01/09/2013,4.2, , ,19.7,17.8,29,27,3.27,11.69
HILLARYS BOAT HARBOUR NTC,02/09/2013,3.3, , ,20.1,17.1,32,26,1.74,15.62
HILLARYS BOAT HARBOUR NTC,03/09/2013,5.5, , ,20.0,14.9,36,26,6.18,12.36
HILLARYS BOAT HARBOUR NTC,04/09/2013,4.9, , ,16.8,12.2,41,32,4.90,23.29
HILLARYS BOAT HARBOUR NTC,05/09/2013,3.9, , ,18.8,12.1,43,29,2.20,22.95
HILLARYS BOAT HARBOUR NTC,06/09/2013,3.9, , ,21.0,10.1,49,25,1.75,23.85
HILLARYS BOAT HARBOUR NTC,07/09/2013,3.4, , ,17.5,12.2,43,31,2.38,17.38
HILLARYS BOAT HARBOUR NTC,08/09/2013,3.5, , ,18.1,12.5,42,30,1.55,22.46
HILLARYS BOAT HARBOUR NTC,09/09/2013,4.0, , ,19.2,10.5,48,28,2.11,23.73
HILLARYS BOAT HARBOUR NTC,10/09/2013,4.0, , ,19.2,14.4,37,28,3.28,12.47
HILLARYS BOAT HARBOUR NTC,11/09/2013,5.8, , ,17.8,13.6,39,28,7.78,15.55
HILLARYS BOAT HARBOUR NTC,12/09/2013,5.2, , ,17.9,13.4,38,30,6.11,15.97
HILLARYS BOAT HARBOUR NTC,13/09/2013,3.8, , ,18.7,13.7,40,29,2.47,17.37
HILLARYS BOAT HARBOUR NTC,14/09/2013,4.8, , ,16.1,12.1,43,34,7.41,11.05
HILLARYS BOAT HARBOUR NTC,15/09/2013,4.3, , ,15.9,11.8,44,34,3.49,23.60
HILLARYS BOAT HARBOUR NTC,16/09/2013,5.5, , ,18.5,10.5,48,29,7.64,19.03
HILLARYS BOAT HARBOUR NTC,17/09/2013,5.3, , ,17.4,12.0,43,35,6.34,23.16
HILLARYS BOAT HARBOUR NTC,18/09/2013,5.4, , ,17.9,12.4,39,30,6.54,18.26
HILLARYS BOAT HARBOUR NTC,19/09/2013,5.0, , ,18.6,14.7,33,29,4.36,18.55
HILLARYS BOAT HARBOUR NTC,20/09/2013,5.0, , ,19.0,13.7,39,28,4.07,22.30
HILLARYS BOAT HARBOUR NTC,21/09/2013,5.1, , ,19.4,12.9,41,27,4.08,23.50
HILLARYS BOAT HARBOUR NTC,22/09/2013,6.5, , ,18.6,13.7,38,28,8.47,21.43
HILLARYS BOAT HARBOUR NTC,23/09/2013,6.5, , ,19.3,14.2,33,27,7.99,18.12
HILLARYS BOAT HARBOUR NTC,24/09/2013,6.5, , ,18.8,15.9,34,28,7.60,19.32
HILLARYS BOAT HARBOUR NTC,25/09/2013,6.4, , ,18.2,15.7,33,30,5.51,27.99
HILLARYS BOAT HARBOUR NTC,26/09/2013,5.8, , ,18.6,16.1,37,29,5.35,23.18
HILLARYS BOAT HARBOUR NTC,27/09/2013,4.9, , ,17.6,14.1,34,31,2.77,26.50
HILLARYS BOAT HARBOUR NTC,28/09/2013,4.8, , ,18.5,12.4,42,30,3.28,25.11
HILLARYS BOAT HARBOUR NTC,29/09/2013,4.8, , ,18.9,16.2,44,28,4.27,15.50
HILLARYS BOAT HARBOUR NTC,30/09/2013,4.1, , ,15.7,11.0,46,35,2.55,24.94
Totals:,,146.1, , ,,,,,, 
