'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HILLARYS BOAT HARBOUR NTC Western Australia for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HILLARYS BOAT HARBOUR NTC,01/10/2014,6.0, , ,29.0,15.7,34,16,3.40,15.76
HILLARYS BOAT HARBOUR NTC,02/10/2014,6.0, , ,21.3,19.8,30,22,4.20,18.76
HILLARYS BOAT HARBOUR NTC,03/10/2014,4.5, , ,20.1,14.2,37,26,2.19,22.76
HILLARYS BOAT HARBOUR NTC,04/10/2014,4.3, , ,21.9,14.1,37,25,1.72,23.02
HILLARYS BOAT HARBOUR NTC,05/10/2014,6.4, , ,18.6,15.4,35,28,7.43,17.47
HILLARYS BOAT HARBOUR NTC,06/10/2014,4.1, , ,17.1,12.3,42,32,2.42,22.37
HILLARYS BOAT HARBOUR NTC,07/10/2014,4.0, , ,18.8,9.5,51,30,2.16,22.64
HILLARYS BOAT HARBOUR NTC,08/10/2014,4.4, , ,19.0,11.4,45,28,2.52,22.78
HILLARYS BOAT HARBOUR NTC,09/10/2014,5.5, , ,18.7,16.3,33,28,3.92,23.17
HILLARYS BOAT HARBOUR NTC,10/10/2014,4.6, , ,18.7,13.0,40,29,2.46,24.13
HILLARYS BOAT HARBOUR NTC,11/10/2014,4.0, , ,18.9,13.2,40,29,2.17,17.99
HILLARYS BOAT HARBOUR NTC,12/10/2014,4.0, , ,21.5,13.0,41,25,2.11,16.04
HILLARYS BOAT HARBOUR NTC,13/10/2014,5.4, , ,23.8,11.2,46,22,3.00,24.17
HILLARYS BOAT HARBOUR NTC,14/10/2014,5.4, , ,27.3,14.8,36,17,2.01,24.82
HILLARYS BOAT HARBOUR NTC,15/10/2014,5.1, , ,29.4,16.0,33,16,1.41,25.02
HILLARYS BOAT HARBOUR NTC,16/10/2014,6.0, , ,21.5,17.8,30,19,3.28,25.07
HILLARYS BOAT HARBOUR NTC,17/10/2014,4.9, , ,20.4,17.9,29,26,2.36,21.74
HILLARYS BOAT HARBOUR NTC,18/10/2014,4.6, , ,23.8,16.4,36,21,2.56,13.85
HILLARYS BOAT HARBOUR NTC,19/10/2014,3.3, , ,19.1,14.2,38,29,2.05,9.22
HILLARYS BOAT HARBOUR NTC,20/10/2014,4.6, , ,19.0,13.0,41,28,2.32,23.86
HILLARYS BOAT HARBOUR NTC,21/10/2014,5.1, , ,24.1,11.6,44,26,1.95,27.36
HILLARYS BOAT HARBOUR NTC,22/10/2014,8.2, , ,30.1,17.4,33,15,4.51,26.60
HILLARYS BOAT HARBOUR NTC,23/10/2014,5.8, , ,20.3,15.9,34,26,3.51,26.06
HILLARYS BOAT HARBOUR NTC,24/10/2014,5.3, , ,21.0,15.0,35,25,2.55,25.93
HILLARYS BOAT HARBOUR NTC,25/10/2014,5.9, , ,20.0,18.6,30,26,4.61,16.95
HILLARYS BOAT HARBOUR NTC,26/10/2014,5.6, , ,19.6,17.5,32,27,3.68,21.66
HILLARYS BOAT HARBOUR NTC,27/10/2014,5.3, , ,21.4,13.3,39,27,2.40,27.76
HILLARYS BOAT HARBOUR NTC,28/10/2014,4.6, , ,26.7,15.8,34,18,1.48,19.91
HILLARYS BOAT HARBOUR NTC,29/10/2014,5.5, , ,20.9,18.6,28,25,2.78,22.32
HILLARYS BOAT HARBOUR NTC,30/10/2014,5.9, , ,19.4,17.1,31,27,4.55,19.70
HILLARYS BOAT HARBOUR NTC,31/10/2014,6.0, , ,21.0,14.7,35,28,3.64,26.84
Totals:,,160.3, , ,,,,,, 
