'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HILLARYS BOAT HARBOUR NTC Western Australia for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HILLARYS BOAT HARBOUR NTC,01/01/2016,9.4, , ,34.2,17.6,30,12,4.26,29.30
HILLARYS BOAT HARBOUR NTC,02/01/2016,7.9, , ,33.6,22.5,23,12,2.59,29.42
HILLARYS BOAT HARBOUR NTC,03/01/2016,7.0, , ,30.8,22.0,23,15,1.83,31.32
HILLARYS BOAT HARBOUR NTC,04/01/2016,5.0, , ,26.9,22.9,25,17,1.63,17.27
HILLARYS BOAT HARBOUR NTC,05/01/2016,6.2, , ,23.3,20.4,25,23,2.63,25.34
HILLARYS BOAT HARBOUR NTC,06/01/2016,7.7, , ,33.2,20.8,25,21,2.43,31.33
HILLARYS BOAT HARBOUR NTC,07/01/2016, , , , ,21.9,22,11,2.99,30.86
HILLARYS BOAT HARBOUR NTC,08/01/2016, , , ,37.4, ,21,10,3.07,20.82
HILLARYS BOAT HARBOUR NTC,09/01/2016,6.9, , ,27.9,21.7,23,17,2.41,27.93
HILLARYS BOAT HARBOUR NTC,10/01/2016,6.6, , ,23.0,21.4,24,22,3.40,22.55
HILLARYS BOAT HARBOUR NTC,11/01/2016,7.0, , ,23.9,20.3,25,21,3.26,27.38
HILLARYS BOAT HARBOUR NTC,12/01/2016,7.2, , ,22.5,20.5,25,23,3.98,27.46
HILLARYS BOAT HARBOUR NTC,13/01/2016,7.6, , ,29.8,16.2,33,15,2.88,32.49
HILLARYS BOAT HARBOUR NTC,14/01/2016,9.0, , ,33.7,16.8,32,12,3.81,31.28
HILLARYS BOAT HARBOUR NTC,15/01/2016,8.1, , ,33.5,21.8,22,12,2.71,30.90
HILLARYS BOAT HARBOUR NTC,16/01/2016,7.4, , ,34.9,24.1,19,11,2.46,24.81
HILLARYS BOAT HARBOUR NTC,17/01/2016,6.7, , ,24.0,22.6,24,20,3.11,23.50
HILLARYS BOAT HARBOUR NTC,18/01/2016,5.2, , ,20.9,19.1,29,23,3.18,13.98
HILLARYS BOAT HARBOUR NTC,19/01/2016,5.2, , ,22.6,14.9,36,23,2.49,20.82
HILLARYS BOAT HARBOUR NTC,20/01/2016,6.1, , ,22.2,15.8,34,23,2.74,28.66
HILLARYS BOAT HARBOUR NTC,21/01/2016,6.6, , ,23.4,17.9,29,21,3.31,26.78
HILLARYS BOAT HARBOUR NTC,22/01/2016,7.1, , ,27.4,17.7,30,20,2.81,30.85
HILLARYS BOAT HARBOUR NTC,23/01/2016,7.5, , ,32.1,19.7,26,14,2.77,28.02
HILLARYS BOAT HARBOUR NTC,24/01/2016,6.7, , ,30.2,21.6,24,15,1.85,30.23
HILLARYS BOAT HARBOUR NTC,25/01/2016,6.4, , ,31.4,22.3,23,13,2.22,21.92
HILLARYS BOAT HARBOUR NTC,26/01/2016,7.1, , ,29.0,22.0,23,15,2.46,29.24
HILLARYS BOAT HARBOUR NTC,27/01/2016,6.9, , ,31.0,21.9,23,14,2.54,24.87
HILLARYS BOAT HARBOUR NTC,28/01/2016,8.4, , ,34.2,18.3,29,11,3.42,27.98
HILLARYS BOAT HARBOUR NTC,29/01/2016,10.3, , ,37.0,21.1,24,10,4.95,24.33
HILLARYS BOAT HARBOUR NTC,30/01/2016,5.5, , ,29.1,24.4,26,13,3.37,3.23
HILLARYS BOAT HARBOUR NTC,31/01/2016,5.3, , ,22.4,20.0,33,22,3.54,12.10
Totals:,,204, , ,,,,,, 
