'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN NORTH Western Australia for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN NORTH,01/03/2018,5.6,0.0, ,25.6,10.9,46,20,2.87,25.04
HOPETOUN NORTH,02/03/2018,7.2,0.0, ,23.8,18.3,30,22,6.14,16.65
HOPETOUN NORTH,03/03/2018,5.6,0.0, ,21.0,16.7,32,25,4.60,14.17
HOPETOUN NORTH,04/03/2018,5.8,0.0, ,22.5,12.4,42,24,4.09,23.55
HOPETOUN NORTH,05/03/2018,6.7,0.0, ,25.2,9.4,51,20,5.40,24.29
HOPETOUN NORTH,06/03/2018,8.5,0.0, ,31.7,12.5,41,14,5.39,24.08
HOPETOUN NORTH,07/03/2018,9.1,0.0, ,34.5,15.6,34,12,5.09,23.91
HOPETOUN NORTH,08/03/2018,6.2,0.0, ,27.5,15.0,35,17,3.26,23.68
HOPETOUN NORTH,09/03/2018,6.9,0.0, ,24.0,16.2,33,21,5.33,21.99
HOPETOUN NORTH,10/03/2018,6.9,0.2, ,21.7,18.4,30,24,6.93,13.15
HOPETOUN NORTH,11/03/2018,7.4,0.0, ,23.7,17.7,29,23,6.70,17.68
HOPETOUN NORTH,12/03/2018,7.3,0.0, ,24.0,17.6,31,21,6.17,20.97
HOPETOUN NORTH,13/03/2018,6.8,0.0, ,25.9,13.7,39,20,5.18,21.88
HOPETOUN NORTH,14/03/2018, ,0.0, , ,16.7,32,14,2.81,6.12
HOPETOUN NORTH,15/03/2018, , , ,22.8, ,100,25,3.15,10.63
HOPETOUN NORTH,16/03/2018,3.3,0.0, ,22.2,16.9,97,54,4.16,15.44
HOPETOUN NORTH,17/03/2018,4.3,0.2, ,22.2,12.6,92,47,7.99,15.56
HOPETOUN NORTH,18/03/2018,3.3,0.0, ,21.5,12.5,79,52,2.93,15.76
HOPETOUN NORTH,19/03/2018,2.7,0.0, ,21.5,15.8,86,69,2.73,13.47
HOPETOUN NORTH,20/03/2018,3.5,0.0, ,23.4,16.8,95,61,5.22,16.93
HOPETOUN NORTH,21/03/2018,6.0,0.0, ,30.4,17.1,85,37,5.32,21.20
HOPETOUN NORTH,22/03/2018,8.7,0.0, ,38.7,17.1,91,16,5.80,16.26
HOPETOUN NORTH,23/03/2018,2.9,0.0, ,21.3,17.7,97,61,6.41,11.17
HOPETOUN NORTH,24/03/2018,1.8,0.0, ,19.9,16.5,96,56,2.26,5.26
HOPETOUN NORTH,25/03/2018,3.0,1.6, ,21.3,13.7,96,53,3.59,14.51
HOPETOUN NORTH,26/03/2018,3.8,3.8, ,29.6,14.4,99,46,5.16,6.71
HOPETOUN NORTH,27/03/2018,3.7,0.2, ,21.8,16.5,94,51,5.24,17.54
HOPETOUN NORTH,28/03/2018,3.5,0.0, ,23.3,10.4,96,47,2.70,19.36
HOPETOUN NORTH,29/03/2018,3.3,0.0, ,23.1,13.5,95,56,2.93,18.87
HOPETOUN NORTH,30/03/2018,3.3,0.2, ,24.4,17.0,100,53,3.47,16.00
HOPETOUN NORTH,31/03/2018,2.6,1.0, ,21.2,16.8,100,60,5.61,9.70
Totals:,,149.7,7.2, ,,,,,, 
