'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN NORTH Western Australia for October 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 November 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN NORTH,01/10/2018,2.0,5.0, ,16.9,12.8,98,77,6.35,12.05
HOPETOUN NORTH,02/10/2018,1.9,1.4, ,16.4,12.2,98,75,5.08,10.64
HOPETOUN NORTH,03/10/2018,2.5,4.8, ,16.4,10.7,99,66,5.44,15.27
HOPETOUN NORTH,04/10/2018,1.7,1.0, ,20.5,10.9,98,78,4.81,6.54
HOPETOUN NORTH,05/10/2018,3.0,13.6, ,23.3,12.7,100,62,2.65,15.76
HOPETOUN NORTH,06/10/2018,4.3,13.2, ,18.6,13.7,100,4,3.36,19.47
HOPETOUN NORTH,07/10/2018,4.4,0.4, ,17.9,12.6,45,4,2.80,16.80
HOPETOUN NORTH,08/10/2018,4.5,0.2, ,18.5,14.0,35,18,2.60,19.47
HOPETOUN NORTH,09/10/2018,5.9,0.0, ,20.9,11.1,51,21,5.27,23.24
HOPETOUN NORTH,10/10/2018,5.2,0.0, ,20.2,8.4,80,22,5.94,21.29
HOPETOUN NORTH,11/10/2018,4.8,0.0, ,20.2,10.2,90,28,4.61,24.42
HOPETOUN NORTH,12/10/2018,4.2,0.4, ,22.6,13.0,93,32,2.88,20.21
HOPETOUN NORTH,13/10/2018,3.5,0.8, ,22.5,13.8,88,54,2.75,17.19
HOPETOUN NORTH,14/10/2018,3.3,1.8, ,19.0,10.7,92,60,4.56,18.73
HOPETOUN NORTH,15/10/2018,3.8,0.0, ,20.0,10.7,94,57,3.42,23.65
HOPETOUN NORTH,16/10/2018,5.2,0.0, ,25.2,8.5,97,39,4.47,25.18
HOPETOUN NORTH,17/10/2018,8.6,0.0, ,33.1,9.5,98,13,5.65,25.66
HOPETOUN NORTH,18/10/2018,4.9,0.0, ,24.4,15.7,95,22,5.50,11.30
HOPETOUN NORTH,19/10/2018,3.8,4.2, ,18.7,7.5,91,47,3.98,22.97
HOPETOUN NORTH,20/10/2018,6.0,0.0, ,27.1,8.2,89,25,3.95,26.11
HOPETOUN NORTH,21/10/2018,6.1,0.0, ,26.8,12.3,81,31,6.43,18.44
HOPETOUN NORTH,22/10/2018, ,0.0, , ,11.4,69,51,5.46,20.97
HOPETOUN NORTH,23/10/2018, , , ,19.8, ,93,45,3.25,19.66
HOPETOUN NORTH,24/10/2018,3.8,0.0, ,20.2,8.1,95,60,4.21,23.95
HOPETOUN NORTH,25/10/2018,2.6,0.0, ,19.0,15.5,87,72,5.05,11.41
HOPETOUN NORTH,26/10/2018,2.2,0.0, ,18.7,15.7,94,78,4.56,10.91
HOPETOUN NORTH,27/10/2018,3.2,0.0, ,19.0,14.8,83,63,4.64,14.31
HOPETOUN NORTH,28/10/2018,3.6,0.0, ,18.6,13.3,99,62,3.66,23.08
HOPETOUN NORTH,29/10/2018,3.4,0.0, ,20.1,9.9,100,69,4.47,23.16
HOPETOUN NORTH,30/10/2018,2.8,0.2, ,18.7,14.2,96,59,4.58,12.14
HOPETOUN NORTH,31/10/2018,1.9,0.0, ,17.4,13.6,99,71,3.37,9.05
Totals:,,113.1,47, ,,,,,, 
