'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN NORTH Western Australia for November 2018,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 December 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN NORTH,01/11/2018,3.0,0.4, ,20.7,13.7,98,60,2.62,15.49
HOPETOUN NORTH,02/11/2018,3.4,0.2, ,19.1,9.7,94,59,3.01,20.57
HOPETOUN NORTH,03/11/2018,2.9,2.0, ,21.5,12.0,100,61,3.11,14.49
HOPETOUN NORTH,04/11/2018,4.4,0.4, ,24.1,13.6,98,54,3.88,23.19
HOPETOUN NORTH,05/11/2018,4.6,3.0, ,18.5,12.0,100,46,8.17,27.62
HOPETOUN NORTH,06/11/2018,4.3,0.0, ,16.5,8.0,78,51,6.98,26.54
HOPETOUN NORTH,07/11/2018,3.9,0.0, ,17.8,7.8,86,51,3.57,24.47
HOPETOUN NORTH,08/11/2018,3.8,0.0, ,19.8,5.8,96,60,3.50,25.26
HOPETOUN NORTH,09/11/2018,4.2,0.0, ,21.9,9.1,97,61,4.40,25.91
HOPETOUN NORTH,10/11/2018,4.0,0.2, ,23.3,13.4,96,53,3.69,19.48
HOPETOUN NORTH,11/11/2018,2.9,0.2, ,19.1,15.3,96,61,5.60,12.49
HOPETOUN NORTH,12/11/2018,4.2,0.2, ,20.4,12.8,100,57,3.78,26.10
HOPETOUN NORTH,13/11/2018,4.4,0.0, ,21.9,15.4,98,60,4.92,24.99
HOPETOUN NORTH,14/11/2018,5.0,0.0, ,23.1,14.9,85,54,4.78,26.16
HOPETOUN NORTH,15/11/2018,4.9,0.0, ,23.3,11.9,91,55,4.31,27.11
HOPETOUN NORTH,16/11/2018,2.3,0.0, ,30.8,15.9,97,77,4.58,6.35
HOPETOUN NORTH,17/11/2018,7.8,0.2, ,36.5,15.9,100,18,4.89,17.46
HOPETOUN NORTH,18/11/2018,5.2,0.2, ,22.7,16.7,89,51,6.29,25.87
HOPETOUN NORTH,19/11/2018,4.9,0.2, ,19.7,12.7,88,40,7.16,21.70
HOPETOUN NORTH,20/11/2018,4.1,0.8, ,18.7,10.0,98,54,7.10,25.56
HOPETOUN NORTH,21/11/2018,4.2,2.0, ,18.6,12.0,94,51,4.68,24.48
HOPETOUN NORTH,22/11/2018,4.8,0.0, ,20.4,6.1,89,38,5.76,22.94
HOPETOUN NORTH,23/11/2018,1.7,0.8, ,18.1,15.3,100,79,7.03,7.34
HOPETOUN NORTH,24/11/2018,4.2,7.6, ,20.4,13.7,97,57,3.50,24.90
HOPETOUN NORTH,25/11/2018,4.2,0.0, ,21.3,8.6,99,54,5.50,23.42
HOPETOUN NORTH,26/11/2018,4.8,3.4, ,17.5,11.9,86,38,6.90,23.81
HOPETOUN NORTH,27/11/2018,4.1,0.0, ,19.4,6.1,90,48,3.39,24.10
HOPETOUN NORTH,28/11/2018,4.5,0.0, ,20.6,9.3,92,62,3.77,29.69
HOPETOUN NORTH,29/11/2018,4.8,0.0, ,21.3,14.2,85,57,4.91,26.81
HOPETOUN NORTH,30/11/2018,5.5,0.0, ,19.9,14.2,69,48,4.83,30.14
Totals:,,127,21.8, ,,,,,, 
