'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for HOPETOUN NORTH Western Australia for January 2019,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 February 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
HOPETOUN NORTH,01/01/2019,5.4,0.0, ,24.3,17.0,90,63,4.31,30.71
HOPETOUN NORTH,02/01/2019,5.4,0.0, ,24.2,18.8,86,67,4.05,29.77
HOPETOUN NORTH,03/01/2019,4.9,0.0, ,23.1,16.9,94,47,6.44,21.11
HOPETOUN NORTH,04/01/2019,6.2,0.0, ,22.7,11.8,72,38,5.32,31.14
HOPETOUN NORTH,05/01/2019,5.5,0.0, ,23.0,14.2,85,52,3.79,30.50
HOPETOUN NORTH,06/01/2019,4.8,0.0, ,23.2,13.4,90,59,4.97,26.34
HOPETOUN NORTH,07/01/2019,4.9,0.0, ,24.5,17.7,90,65,4.88,26.04
HOPETOUN NORTH,08/01/2019,4.7,0.0, ,22.6,17.4,74,53,5.49,17.53
HOPETOUN NORTH,09/01/2019,5.7,0.0, ,25.2,17.1,92,57,6.00,30.18
HOPETOUN NORTH,10/01/2019,6.4,0.0, ,27.8,14.0,99,45,5.73,30.52
HOPETOUN NORTH,11/01/2019,6.0,0.0, ,26.9,16.0,86,51,4.31,29.38
HOPETOUN NORTH,12/01/2019,7.0,0.0, ,27.8,9.5,96,23,4.54,30.73
HOPETOUN NORTH,13/01/2019,5.0,0.0, ,24.4,17.6,100,65,7.16,29.38
HOPETOUN NORTH,14/01/2019,2.7,0.2, ,21.2,17.1,100,57,4.38,9.00
HOPETOUN NORTH,15/01/2019,4.6,0.0, ,23.1,16.9,69,54,4.30,18.78
HOPETOUN NORTH,16/01/2019,5.5,0.0, ,23.4,15.9,78,54,3.66,29.53
HOPETOUN NORTH,17/01/2019,5.5,0.0, ,24.5,12.9,90,53,4.51,30.09
HOPETOUN NORTH,18/01/2019,5.7,0.0, ,23.6,16.4,83,46,3.88,29.47
HOPETOUN NORTH,19/01/2019,5.9,0.0, ,28.4,11.1,98,50,4.36,29.73
HOPETOUN NORTH,20/01/2019,7.8,0.0, ,32.5,14.1,99,24,4.34,30.14
HOPETOUN NORTH,21/01/2019,6.5,0.0, ,24.8,20.3,94,24,6.16,25.32
HOPETOUN NORTH,22/01/2019,2.6,0.0, ,23.6,18.6,99,70,5.77,8.78
HOPETOUN NORTH,23/01/2019,8.2,2.0, ,31.1,18.8,96,18,6.14,26.61
HOPETOUN NORTH,24/01/2019,4.2,0.0, ,21.9,16.0,81,55,8.38,12.69
HOPETOUN NORTH,25/01/2019,5.8,0.0, ,23.0,15.7,70,40,4.29,27.13
HOPETOUN NORTH,26/01/2019,5.3,0.0, ,23.0,14.8,69,46,4.15,24.81
HOPETOUN NORTH,27/01/2019,5.0,0.0, ,25.1,9.5,93,54,2.70,29.56
HOPETOUN NORTH,28/01/2019,6.4,0.0, ,28.5,10.8,99,26,3.38,29.48
HOPETOUN NORTH,29/01/2019,4.6,0.0, ,23.7,17.3,80,59,4.55,21.22
HOPETOUN NORTH,30/01/2019,5.0,0.0, ,22.0,16.0,66,46,3.96,21.77
HOPETOUN NORTH,31/01/2019,6.4,0.0, ,26.2,16.1,78,41,5.41,28.41
Totals:,,169.6,2.2, ,,,,,, 
