'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JANDAKOT AERO Western Australia for June 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JANDAKOT AERO,01/06/2010,1.9,0.0, ,18.7,4.5,100,45,2.30,14.35
JANDAKOT AERO,02/06/2010,1.8,0.0, ,20.5,2.7,97,40,1.47,14.25
JANDAKOT AERO,03/06/2010,1.8,0.0, ,21.6,3.9,97,49,1.87,13.62
JANDAKOT AERO,04/06/2010,2.8,0.0, ,20.6,7.2,96,39,4.52,12.52
JANDAKOT AERO,05/06/2010,2.8,0.0, ,21.7,14.2,82,43,4.14,9.03
JANDAKOT AERO,06/06/2010,2.4,0.0, ,22.4,13.0,93,39,2.89,12.85
JANDAKOT AERO,07/06/2010,1.8,0.0, ,20.4,4.7,97,49,2.13,12.94
JANDAKOT AERO,08/06/2010,2.8,0.0, ,17.3,10.3,85,39,4.89,14.05
JANDAKOT AERO,09/06/2010,2.6,0.0, ,17.7,5.6,84,38,3.84,14.25
JANDAKOT AERO,10/06/2010,2.4,0.0, ,18.9,1.6,89,36,3.06,14.11
JANDAKOT AERO,11/06/2010,2.0,0.0, ,20.4,0.9,91,37,2.05,13.34
JANDAKOT AERO,12/06/2010,2.3,0.0, ,22.6,3.0,91,29,1.99,13.69
JANDAKOT AERO,13/06/2010,3.1,0.0, ,24.3,1.4,92,27,3.14,13.15
JANDAKOT AERO,14/06/2010,1.7,11.2, ,19.7,11.3,97,48,2.29,10.12
JANDAKOT AERO,15/06/2010,0.9,20.2, ,15.6,14.0,97,88,3.13,6.55
JANDAKOT AERO,16/06/2010,1.5,4.6, ,18.4,9.5,99,51,1.80,12.86
JANDAKOT AERO,17/06/2010,1.6,0.0, ,18.2,6.5,96,54,2.63,11.10
JANDAKOT AERO,18/06/2010,1.5,3.0, ,19.7,9.4,99,62,2.24,11.29
JANDAKOT AERO,19/06/2010,1.4,1.2, ,20.5,12.7,100,55,1.46,11.27
JANDAKOT AERO,20/06/2010,2.1,0.0, ,21.1,4.8,99,39,2.55,13.13
JANDAKOT AERO,21/06/2010,1.6,0.0, ,20.1,6.4,100,57,1.92,13.28
JANDAKOT AERO,22/06/2010,2.2,0.0, ,21.4,5.5,100,49,3.60,10.62
JANDAKOT AERO,23/06/2010,1.5,20.4, ,16.4,12.4,99,68,3.57,11.87
JANDAKOT AERO,24/06/2010,1.5,5.0, ,14.9,0.4,99,42,2.01,13.59
JANDAKOT AERO,25/06/2010,1.5,0.0, ,15.8,-2.0,100,31,1.41,13.61
JANDAKOT AERO,26/06/2010,1.6,0.0, ,16.3,-2.5,100,27,1.45,13.70
JANDAKOT AERO,27/06/2010,1.8,0.0, ,17.7,1.4,95,36,2.31,11.29
JANDAKOT AERO,28/06/2010,1.3,0.0, ,16.1,0.8,98,56,1.90,12.12
JANDAKOT AERO,29/06/2010,1.8,0.0, ,17.3,1.9,99,45,2.65,12.81
JANDAKOT AERO,30/06/2010,1.8,0.0, ,17.0,-0.1,99,47,2.81,12.82
Totals:,,57.8,65.6, ,,,,,, 
