'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JANDAKOT AERO Western Australia for February 2012,,,,,,,,,,
Issued at 22:33 GMT on Thursday 01 March 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JANDAKOT AERO,01/02/2012,7.6,0.0, ,36.2,23.6,91,21,5.63,15.50
JANDAKOT AERO,02/02/2012,2.9,1.8, ,29.9,22.9,96,57,3.95,5.52
JANDAKOT AERO,03/02/2012,3.6,13.6, ,25.2,20.0,95,60,5.79,11.79
JANDAKOT AERO,04/02/2012,6.5,0.0, ,26.3,13.7,72,33,5.23,25.80
JANDAKOT AERO,05/02/2012,7.0,0.0, ,27.4,12.4,67,29,4.65,29.82
JANDAKOT AERO,06/02/2012,7.6,0.0, ,29.6,15.2,73,24,4.91,28.47
JANDAKOT AERO,07/02/2012,9.3,0.0, ,34.6,17.0,77,16,5.55,28.39
JANDAKOT AERO,08/02/2012,10.6,0.0, ,35.0,18.3,56,21,7.36,28.40
JANDAKOT AERO,09/02/2012,9.0,0.0, ,36.0,19.5,62,24,5.33,24.64
JANDAKOT AERO,10/02/2012,9.8,0.2, ,40.3,23.0,90,15,4.91,27.18
JANDAKOT AERO,11/02/2012,5.5,0.0, ,28.6,18.3,96,47,4.64,22.95
JANDAKOT AERO,12/02/2012,5.0,0.0, ,28.6,21.8,86,47,4.31,17.06
JANDAKOT AERO,13/02/2012,5.3,0.0, ,30.2,15.3,94,46,3.26,23.14
JANDAKOT AERO,14/02/2012,5.7,0.0, ,30.1,15.2,97,43,3.22,26.37
JANDAKOT AERO,15/02/2012,6.2,0.0, ,31.4,16.0,94,37,3.70,24.93
JANDAKOT AERO,16/02/2012,6.3,0.0, ,29.9,17.9,86,43,4.42,26.70
JANDAKOT AERO,17/02/2012,6.2,0.0, ,29.0,16.7,86,43,4.69,26.37
JANDAKOT AERO,18/02/2012,6.4,0.0, ,31.1,20.7,75,40,4.30,22.64
JANDAKOT AERO,19/02/2012,8.2,0.0, ,33.5,19.5,69,29,5.24,27.02
JANDAKOT AERO,20/02/2012,8.9,0.0, ,37.2,19.3,66,27,5.14,25.71
JANDAKOT AERO,21/02/2012,7.7,0.0, ,35.3,20.8,71,33,4.31,26.19
JANDAKOT AERO,22/02/2012,7.1,0.0, ,37.3,18.4,91,34,3.26,26.34
JANDAKOT AERO,23/02/2012,5.1,0.0, ,28.4,21.9,91,54,4.55,21.48
JANDAKOT AERO,24/02/2012,6.0,0.0, ,26.9,19.5,85,36,4.96,24.64
JANDAKOT AERO,25/02/2012,5.0,0.0, ,25.9,12.3,93,36,4.09,20.61
JANDAKOT AERO,26/02/2012,5.0,1.0, ,26.1,8.8,97,34,3.80,21.42
JANDAKOT AERO,27/02/2012,6.7,0.0, ,29.0,13.0,79,29,4.80,26.06
JANDAKOT AERO,28/02/2012,6.9,0.0, ,27.5,17.2,67,42,7.41,24.36
JANDAKOT AERO,29/02/2012,8.5,0.0, ,29.6,17.9,66,27,8.05,25.28
Totals:,,195.6,16.6, ,,,,,, 
