'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JANDAKOT AERO Western Australia for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JANDAKOT AERO,01/01/2013,7.1,0.0, ,30.8,25.1,96,46,5.04,30.04
JANDAKOT AERO,02/01/2013,6.3,0.2, ,27.9,21.4,95,48,4.02,29.91
JANDAKOT AERO,03/01/2013,6.0,0.0, ,26.9,15.8,84,46,5.70,24.70
JANDAKOT AERO,04/01/2013,6.9,0.0, ,26.0,17.1,75,37,5.11,30.50
JANDAKOT AERO,05/01/2013,9.1,0.0, ,35.6,12.1,89,15,4.21,31.32
JANDAKOT AERO,06/01/2013,6.4,0.0, ,34.0,21.3,74,36,3.80,19.15
JANDAKOT AERO,07/01/2013,6.2,3.8, ,38.2,23.9,96,33,3.69,16.02
JANDAKOT AERO,08/01/2013,9.3,0.2, ,38.3,24.9,85,22,5.26,25.59
JANDAKOT AERO,09/01/2013,6.8,0.0, ,27.3,21.7,86,47,6.22,29.84
JANDAKOT AERO,10/01/2013,6.5,0.0, ,26.5,12.3,91,38,5.45,30.17
JANDAKOT AERO,11/01/2013,7.3,0.0, ,29.6,14.4,81,32,4.57,30.12
JANDAKOT AERO,12/01/2013,10.0,0.0, ,35.0,19.5,59,27,6.67,29.05
JANDAKOT AERO,13/01/2013,5.0,0.0, ,28.3,21.8,70,48,5.60,10.92
JANDAKOT AERO,14/01/2013,7.3,1.6, ,36.3,21.3,96,41,3.77,27.64
JANDAKOT AERO,15/01/2013,7.7,0.0, ,32.7,26.5,83,48,5.15,29.58
JANDAKOT AERO,16/01/2013,4.7,0.0, ,27.3,22.7,94,62,7.30,18.49
JANDAKOT AERO,17/01/2013,7.7,0.6, ,24.7,18.8,71,29,7.78,28.35
JANDAKOT AERO,18/01/2013,8.2,0.0, ,30.0,13.5,68,19,4.96,30.45
JANDAKOT AERO,19/01/2013,9.2,0.0, ,32.8,16.3,68,21,5.64,30.39
JANDAKOT AERO,20/01/2013,8.3,0.0, ,33.7,14.1,85,22,4.28,30.30
JANDAKOT AERO,21/01/2013,8.2,0.0, ,32.3,17.1,83,28,5.05,30.22
JANDAKOT AERO,22/01/2013,9.8,0.0, ,35.3,17.5,69,18,5.44,30.11
JANDAKOT AERO,23/01/2013,7.2,0.0, ,29.0,16.9,83,39,5.60,30.05
JANDAKOT AERO,24/01/2013,7.4,0.0, ,28.6,14.1,83,27,5.21,29.58
JANDAKOT AERO,25/01/2013,8.4,0.0, ,30.4,15.5,71,21,5.37,29.84
JANDAKOT AERO,26/01/2013,9.2,0.0, ,34.4,13.9,81,15,5.09,29.70
JANDAKOT AERO,27/01/2013,9.7,0.0, ,35.6,20.1,61,22,5.44,29.44
JANDAKOT AERO,28/01/2013,9.6,0.0, ,32.6,16.2,64,12,5.79,29.45
JANDAKOT AERO,29/01/2013,8.6,0.0, ,31.6,16.1,61,16,4.89,29.36
JANDAKOT AERO,30/01/2013,8.4,0.0, ,32.3,17.3,57,23,4.63,29.29
JANDAKOT AERO,31/01/2013,10.4,0.0, ,34.2,16.9,64,13,6.68,28.71
Totals:,,242.9,6.4, ,,,,,, 
