'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for JANDAKOT AERO Western Australia for August 2017,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 September 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
JANDAKOT AERO,01/08/2017, ,22.0, , ,2.0,100,46,2.54,13.30
JANDAKOT AERO,02/08/2017, , , ,14.5, ,100,47,1.45,13.97
JANDAKOT AERO,03/08/2017,2.1,1.2, ,18.2,2.7,97,58,5.13,7.98
JANDAKOT AERO,04/08/2017,1.7,5.2, ,15.4,8.1,93,52,2.64,7.84
JANDAKOT AERO,05/08/2017,1.9,1.0, ,18.0,10.5,96,54,2.29,11.97
JANDAKOT AERO,06/08/2017,2.2,0.0, ,19.2,6.4,99,51,3.38,11.30
JANDAKOT AERO,07/08/2017,2.0,0.0, ,18.8,10.3,90,63,4.29,7.39
JANDAKOT AERO,08/08/2017,1.4,4.6, ,18.0,12.9,97,78,6.08,5.96
JANDAKOT AERO,09/08/2017,2.0,50.6, ,14.3,8.6,99,55,7.31,6.81
JANDAKOT AERO,10/08/2017,2.1,9.0, ,15.9,5.3,97,42,2.79,12.11
JANDAKOT AERO,11/08/2017,2.9,0.0, ,17.4,8.9,91,44,6.62,9.07
JANDAKOT AERO,12/08/2017,2.5,23.0, ,19.5,13.6,99,62,6.78,11.76
JANDAKOT AERO,13/08/2017,3.2,6.4, ,20.4,14.3,90,55,7.75,12.11
JANDAKOT AERO,14/08/2017,3.6,9.8, ,17.7,14.7,93,42,10.13,12.45
JANDAKOT AERO,15/08/2017,3.1,10.0, ,16.9,11.1,89,48,8.26,12.96
JANDAKOT AERO,16/08/2017,3.3,3.4, ,16.5,11.6,91,38,6.64,15.53
JANDAKOT AERO,17/08/2017,2.8,0.8, ,17.6,5.0,94,44,4.55,14.76
JANDAKOT AERO,18/08/2017,3.3,1.0, ,19.5,8.1,95,29,3.97,15.81
JANDAKOT AERO,19/08/2017,2.4,8.0, ,17.4,10.2,97,55,3.79,15.27
JANDAKOT AERO,20/08/2017,2.4,2.2, ,16.6,9.3,92,46,3.07,14.52
JANDAKOT AERO,21/08/2017,1.6,0.0, ,16.3,8.0,94,63,2.10,9.31
JANDAKOT AERO,22/08/2017,2.5,0.6, ,18.9,10.6,97,46,2.87,13.62
JANDAKOT AERO,23/08/2017,2.9,0.0, ,19.6,7.0,97,39,3.41,14.95
JANDAKOT AERO,24/08/2017,4.0,0.0, ,22.0,7.5,83,41,5.40,17.24
JANDAKOT AERO,25/08/2017,3.2,0.0, ,20.7,9.3,90,45,3.75,17.39
JANDAKOT AERO,26/08/2017,2.6,0.0, ,20.5,7.6,97,56,3.15,16.42
JANDAKOT AERO,27/08/2017,4.8,0.0, ,24.3,13.1,76,34,5.72,17.03
JANDAKOT AERO,28/08/2017,3.7,0.0, ,25.2,11.4,90,39,3.43,16.03
JANDAKOT AERO,29/08/2017,1.4,0.0, ,17.6,10.3,99,72,1.48,7.84
JANDAKOT AERO,30/08/2017,2.5,5.0, ,19.6,10.3,100,53,3.14,13.25
JANDAKOT AERO,31/08/2017,2.3,5.2, ,18.7,9.8,97,56,3.73,10.53
Totals:,,76.4,169, ,,,,,, 
