'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/08/2011,2.9,0.0,15.4,21.0,11.0,96,36,4.05,10.81
KALGOORLIE-BOULDER AIRPORT,02/08/2011,2.3,4.0,5.6,19.0,11.2,95,51,4.14,10.48
KALGOORLIE-BOULDER AIRPORT,03/08/2011,3.0,0.8,3.2,16.7,9.2,93,32,4.89,14.21
KALGOORLIE-BOULDER AIRPORT,04/08/2011, ,1.6,5.0,14.0,4.3,97,37,3.34, 
KALGOORLIE-BOULDER AIRPORT,05/08/2011,1.9,0.2, ,13.6,2.7,97,42,2.55,14.74
KALGOORLIE-BOULDER AIRPORT,06/08/2011,2.2,0.0, ,15.8,1.8,93,34,2.22,15.84
KALGOORLIE-BOULDER AIRPORT,07/08/2011,2.9,0.0,8.0,20.1,5.9,68,23,2.55,13.48
KALGOORLIE-BOULDER AIRPORT,08/08/2011,1.9,0.0,3.8,15.2,11.7,94,36,2.94,5.30
KALGOORLIE-BOULDER AIRPORT,09/08/2011,2.5,2.4,1.4,16.6,7.2,97,39,3.36,15.65
KALGOORLIE-BOULDER AIRPORT,10/08/2011,1.7,0.2,3.6,15.7,5.4,96,49,1.60,10.98
KALGOORLIE-BOULDER AIRPORT,11/08/2011,2.2,0.0,2.2,15.9,6.7,88,40,2.53,12.83
KALGOORLIE-BOULDER AIRPORT,12/08/2011,1.8,0.0, ,14.6,7.9,77,53,2.57,8.04
KALGOORLIE-BOULDER AIRPORT,13/08/2011,3.7,0.0, ,24.2,7.5,89,26,3.32,14.96
KALGOORLIE-BOULDER AIRPORT,14/08/2011,2.8,4.6, ,19.6,13.1,97,41,4.52,10.22
KALGOORLIE-BOULDER AIRPORT,15/08/2011,3.1,0.0,12.4,20.8,5.8,100,27,3.30,13.76
KALGOORLIE-BOULDER AIRPORT,16/08/2011,3.1,2.6,4.4,14.9,6.4,91,35,6.36,14.08
KALGOORLIE-BOULDER AIRPORT,17/08/2011,2.2,0.0,5.0,16.3,1.7,96,36,1.59,17.22
KALGOORLIE-BOULDER AIRPORT,18/08/2011,2.3,0.0,2.4,18.4,2.2,95,29,1.49,17.09
KALGOORLIE-BOULDER AIRPORT,19/08/2011,3.5,0.0, ,22.8,4.9,81,18,2.39,17.71
KALGOORLIE-BOULDER AIRPORT,20/08/2011,5.5,0.0, ,28.0,10.6,47,8,3.64,17.69
KALGOORLIE-BOULDER AIRPORT,21/08/2011,6.1,0.0,14.2,29.4,10.5,56,8,4.27,17.81
KALGOORLIE-BOULDER AIRPORT,22/08/2011,5.7,0.0,8.8,27.8,14.8,77,18,5.01,17.80
KALGOORLIE-BOULDER AIRPORT,23/08/2011,3.5,0.0,7.6,25.0,9.5,89,30,2.35,17.52
KALGOORLIE-BOULDER AIRPORT,24/08/2011,3.6,0.0,4.0,19.3,10.4,86,25,3.80,17.07
KALGOORLIE-BOULDER AIRPORT,25/08/2011,2.6,0.0,5.2,17.6,2.8,86,30,1.75,18.50
KALGOORLIE-BOULDER AIRPORT,26/08/2011,2.8,0.0, ,21.5,3.0,76,22,1.30,18.53
KALGOORLIE-BOULDER AIRPORT,27/08/2011,3.9,0.0, ,25.5,3.6,71,19,2.28,18.84
KALGOORLIE-BOULDER AIRPORT,28/08/2011,4.2,0.0, ,23.8,7.9,63,13,2.79,18.88
KALGOORLIE-BOULDER AIRPORT,29/08/2011,4.2,0.0,17.6,22.6,8.2,85,32,4.52,18.50
KALGOORLIE-BOULDER AIRPORT,30/08/2011,4.2,0.0,6.8,25.3,13.2,60,24,3.09,14.37
KALGOORLIE-BOULDER AIRPORT,31/08/2011,3.9,0.0,2.6,26.4,8.5,82,22,2.15,19.23
Totals:,,96.2,16.4,139.2,,,,,, 
