'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/07/2014,2.9,0.0,2.4,21.9,5.0,75,20,2.78,12.10
KALGOORLIE-BOULDER AIRPORT,02/07/2014,5.0,0.0,3.8,23.7,8.3,86,6,5.79,12.21
KALGOORLIE-BOULDER AIRPORT,03/07/2014,2.1,0.0,6.0,14.6,4.5,91,37,3.63,12.67
KALGOORLIE-BOULDER AIRPORT,04/07/2014,2.9,0.0, ,20.5,4.0,74,30,3.48,12.50
KALGOORLIE-BOULDER AIRPORT,05/07/2014,2.3,0.0, ,22.7,4.4,92,30,2.19,12.32
KALGOORLIE-BOULDER AIRPORT,06/07/2014,5.3,0.0,9.4,24.0,7.8,79,8,6.09,12.34
KALGOORLIE-BOULDER AIRPORT,07/07/2014,3.0,0.0,6.6,17.0,6.8,96,35,6.81,10.93
KALGOORLIE-BOULDER AIRPORT,08/07/2014,2.7,4.2,5.2,14.0,5.4,87,38,6.65,11.67
KALGOORLIE-BOULDER AIRPORT,09/07/2014,1.9,0.0,2.2,14.4,4.0,94,40,3.09,12.38
KALGOORLIE-BOULDER AIRPORT,10/07/2014,1.5,0.0,2.8,14.6,4.3,87,43,1.66,10.96
KALGOORLIE-BOULDER AIRPORT,11/07/2014,1.6,0.0, ,15.3,0.7,96,35,1.95,10.46
KALGOORLIE-BOULDER AIRPORT,12/07/2014,2.0,0.0, ,15.1,5.3,94,45,4.00,9.05
KALGOORLIE-BOULDER AIRPORT,13/07/2014,2.3,0.0, ,17.9,6.5,100,33,3.33,11.81
KALGOORLIE-BOULDER AIRPORT,14/07/2014,3.2,0.2,9.0,19.6,7.3,85,36,5.55,9.32
KALGOORLIE-BOULDER AIRPORT,15/07/2014,2.4,1.8,1.0,16.5,5.1,97,39,4.24,11.64
KALGOORLIE-BOULDER AIRPORT,16/07/2014,2.2,0.0,3.0,16.1,7.0,96,37,3.54,12.22
KALGOORLIE-BOULDER AIRPORT,17/07/2014,1.4,0.2,2.2,14.0,1.5,94,53,2.09,9.96
KALGOORLIE-BOULDER AIRPORT,18/07/2014,2.0,0.0, ,15.4,5.7,83,49,3.66,7.82
KALGOORLIE-BOULDER AIRPORT,19/07/2014,1.6,0.0, ,15.5,7.5,91,55,2.95,6.58
KALGOORLIE-BOULDER AIRPORT,20/07/2014,2.0,1.4,5.0,16.8,7.2,100,40,3.18,9.11
KALGOORLIE-BOULDER AIRPORT,21/07/2014,2.1,1.4,1.2,17.8,7.3,100,44,2.96,12.21
KALGOORLIE-BOULDER AIRPORT,22/07/2014,1.9,0.2,2.4,15.0,4.9,93,54,4.08,8.48
KALGOORLIE-BOULDER AIRPORT,23/07/2014,1.9,1.8,2.2,14.2,6.7,88,58,4.56,10.28
KALGOORLIE-BOULDER AIRPORT,24/07/2014,2.3,0.2,2.0,16.5,2.4,100,35,3.55,11.52
KALGOORLIE-BOULDER AIRPORT,25/07/2014,2.5,0.0, ,19.4,1.1,98,33,2.80,13.97
KALGOORLIE-BOULDER AIRPORT,26/07/2014,4.9,0.0, ,22.8,5.6,64,12,5.22,14.25
KALGOORLIE-BOULDER AIRPORT,27/07/2014,2.9,0.0, ,19.3,11.0,94,26,3.57,13.91
KALGOORLIE-BOULDER AIRPORT,28/07/2014,3.0,0.0,15.4,19.8,5.9,93,30,3.85,14.18
KALGOORLIE-BOULDER AIRPORT,29/07/2014,2.9,0.0,3.2,19.9,5.9,88,31,3.35,14.13
KALGOORLIE-BOULDER AIRPORT,30/07/2014,3.5,0.0,3.0,21.5,4.5,91,27,4.12,14.38
KALGOORLIE-BOULDER AIRPORT,31/07/2014,3.0,0.0,4.8,16.8,7.4,82,32,4.56,13.80
Totals:,,81.2,11.4,92.8,,,,,, 
