'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for October 2016,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 November 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/10/2016,6.3,0.0, ,23.0,10.5,79,20,7.83,20.27
KALGOORLIE-BOULDER AIRPORT,02/10/2016,5.1,0.0, ,18.4,5.4,71,27,7.93,17.92
KALGOORLIE-BOULDER AIRPORT,03/10/2016,5.4,0.0, ,23.4,5.9,77,29,4.74,24.08
KALGOORLIE-BOULDER AIRPORT,04/10/2016,5.5,0.0, ,26.7,8.1,86,17,3.11,24.34
KALGOORLIE-BOULDER AIRPORT,05/10/2016,7.5,0.0, ,32.1,8.6,59,6,3.80,24.45
KALGOORLIE-BOULDER AIRPORT,06/10/2016,7.2, , ,29.9,10.3,36,11,4.00,23.58
KALGOORLIE-BOULDER AIRPORT,07/10/2016,6.8,0.0, ,33.6,12.7,52,15,3.30,20.47
KALGOORLIE-BOULDER AIRPORT,08/10/2016,3.3,0.0, ,24.2,18.2,93,43,5.65,4.21
KALGOORLIE-BOULDER AIRPORT,09/10/2016,4.8,4.8, ,19.6,10.1,82,30,5.65,21.52
KALGOORLIE-BOULDER AIRPORT,10/10/2016,4.8,0.2, ,20.0,7.0,84,20,3.68,24.61
KALGOORLIE-BOULDER AIRPORT,11/10/2016,5.7,0.0, ,23.8,6.1,76,19,4.01,25.44
KALGOORLIE-BOULDER AIRPORT,12/10/2016,7.3,0.0, ,28.0,10.4,48,9,4.42,25.62
KALGOORLIE-BOULDER AIRPORT,13/10/2016,9.1,0.0, ,36.5,15.3,29,7,4.20,25.11
KALGOORLIE-BOULDER AIRPORT,14/10/2016,7.3,0.0, ,33.6,21.4,66,18,4.89,15.29
KALGOORLIE-BOULDER AIRPORT,15/10/2016,6.4,0.0, ,20.6,11.7,68,19,8.23,21.27
KALGOORLIE-BOULDER AIRPORT,16/10/2016,5.4,0.0, ,21.4,8.1,71,22,4.13,26.01
KALGOORLIE-BOULDER AIRPORT,17/10/2016,6.3,0.0, ,25.7,6.6,70,18,4.12,26.39
KALGOORLIE-BOULDER AIRPORT,18/10/2016,5.2,0.0, ,23.0,7.1,75,26,3.40,26.04
KALGOORLIE-BOULDER AIRPORT,19/10/2016,8.2,0.0, ,30.7,8.6,47,7,4.62,26.33
KALGOORLIE-BOULDER AIRPORT,20/10/2016,5.0,0.0, ,19.4,9.2,61,23,5.54,15.17
KALGOORLIE-BOULDER AIRPORT,21/10/2016,5.3,0.0, ,20.2,3.1,77,17,4.24,26.94
KALGOORLIE-BOULDER AIRPORT,22/10/2016,6.9,0.0, ,24.2,8.7,58,13,5.13,27.06
KALGOORLIE-BOULDER AIRPORT,23/10/2016,9.0,0.0, ,32.7,12.4,29,7,4.62,27.20
KALGOORLIE-BOULDER AIRPORT,24/10/2016,7.0,0.0, ,33.4,18.9,58,9,3.97,14.26
KALGOORLIE-BOULDER AIRPORT,25/10/2016,3.8,3.6, ,21.8,12.5,96,37,3.64,15.02
KALGOORLIE-BOULDER AIRPORT,26/10/2016,6.0,0.2, ,28.7,9.5,86,19,2.71,27.34
KALGOORLIE-BOULDER AIRPORT,27/10/2016,8.1,0.0, ,32.6,12.8,52,9,3.85,27.80
KALGOORLIE-BOULDER AIRPORT,28/10/2016,8.0,0.0, ,33.7,13.5,62,13,4.05,25.49
KALGOORLIE-BOULDER AIRPORT,29/10/2016,8.4,0.0, ,26.4,15.5,52,20,7.20,27.90
KALGOORLIE-BOULDER AIRPORT,30/10/2016,5.6,0.0, ,22.4,9.9,76,22,3.77,26.67
KALGOORLIE-BOULDER AIRPORT,31/10/2016,7.2,0.0, ,26.1,9.4,57,14,4.62,28.15
Totals:,,197.9,8.8, ,,,,,, 
