'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for November 2019,,,,,,,,,,
Issued at 22:30 GMT on Sunday 01 December 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/11/2019,6.3,0.2, ,21.5,9.7,65,25,7.26,22.91
KALGOORLIE-BOULDER AIRPORT,02/11/2019,5.7,0.0, ,22.1,10.9,72,25,5.29,22.77
KALGOORLIE-BOULDER AIRPORT,03/11/2019,6.4,0.0, ,27.9,7.9,65,15,2.91,28.40
KALGOORLIE-BOULDER AIRPORT,04/11/2019,7.4,0.0, ,30.7,13.9,68,11,3.40,28.50
KALGOORLIE-BOULDER AIRPORT,05/11/2019,8.6,0.0, ,34.7,13.8,47,7,3.64,28.83
KALGOORLIE-BOULDER AIRPORT,06/11/2019,7.5,0.0, ,29.0,13.3,50,16,3.95,28.93
KALGOORLIE-BOULDER AIRPORT,07/11/2019,7.9,0.0, ,30.2,12.9,66,18,4.54,29.00
KALGOORLIE-BOULDER AIRPORT,08/11/2019,7.9,0.0, ,28.9,12.3,76,17,5.26,29.14
KALGOORLIE-BOULDER AIRPORT,09/11/2019,9.2,0.0, ,33.7,15.4,53,10,4.65,29.28
KALGOORLIE-BOULDER AIRPORT,10/11/2019,12.6,0.0, ,39.9,22.0,48,7,6.65,28.52
KALGOORLIE-BOULDER AIRPORT,11/11/2019,7.8,0.0, ,28.7,13.7,78,20,5.47,29.37
KALGOORLIE-BOULDER AIRPORT,12/11/2019,7.4,0.0, ,26.8,10.9,67,25,5.81,28.70
KALGOORLIE-BOULDER AIRPORT,13/11/2019,7.9,0.0, ,30.6,14.6,50,15,3.81,29.64
KALGOORLIE-BOULDER AIRPORT,14/11/2019,9.7,0.0, ,37.5,18.1,23,8,3.88,29.68
KALGOORLIE-BOULDER AIRPORT,15/11/2019,9.6,0.0, ,38.4,19.0,35,9,3.73,29.83
KALGOORLIE-BOULDER AIRPORT,16/11/2019,10.4,0.0, ,40.4,18.9,52,8,4.33,28.73
KALGOORLIE-BOULDER AIRPORT,17/11/2019,12.8,0.0, ,44.7,26.0,27,5,5.21,29.62
KALGOORLIE-BOULDER AIRPORT,18/11/2019,11.2,0.0, ,40.1,21.4,54,9,5.24,28.56
KALGOORLIE-BOULDER AIRPORT,19/11/2019,11.7,0.0, ,41.4,22.2,45,8,6.36,17.84
KALGOORLIE-BOULDER AIRPORT,20/11/2019,7.9,0.0, ,26.2,16.9,71,20,7.50,25.11
KALGOORLIE-BOULDER AIRPORT,21/11/2019,6.6,0.0, ,27.1,10.2,69,8,2.78,30.37
KALGOORLIE-BOULDER AIRPORT,22/11/2019,8.2,0.0, ,31.1,11.9,48,10,4.28,25.95
KALGOORLIE-BOULDER AIRPORT,23/11/2019,9.4,0.0, ,33.6,14.5,59,13,5.03,30.52
KALGOORLIE-BOULDER AIRPORT,24/11/2019,11.3,0.0, ,36.9,17.9,59,9,6.25,30.25
KALGOORLIE-BOULDER AIRPORT,25/11/2019,8.5,0.0, ,29.6,14.4,70,15,5.44,30.65
KALGOORLIE-BOULDER AIRPORT,26/11/2019,8.6,0.0, ,31.4,12.8,64,9,4.30,30.74
KALGOORLIE-BOULDER AIRPORT,27/11/2019,10.5,0.0, ,35.5,19.4,46,7,5.17,30.87
KALGOORLIE-BOULDER AIRPORT,28/11/2019,9.1,0.0, ,30.7,14.6,72,23,7.05,30.86
KALGOORLIE-BOULDER AIRPORT,29/11/2019,8.0,0.0, ,25.7,10.9,65,23,7.30,30.88
KALGOORLIE-BOULDER AIRPORT,30/11/2019,7.8,0.0, ,25.6,10.5,61,18,5.96,31.06
Totals:,,263.9,0.2, ,,,,,, 
