'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for March 2020,,,,,,,,,,
Issued at 22:32 GMT on Wednesday 01 April 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/03/2020,5.0,0.8, ,27.7,18.6,95,51,7.23,17.57
KALGOORLIE-BOULDER AIRPORT,02/03/2020,6.5,0.0, ,25.7,14.0,85,31,7.32,24.49
KALGOORLIE-BOULDER AIRPORT,03/03/2020,5.9,0.0, ,25.5,13.0,76,30,4.68,25.22
KALGOORLIE-BOULDER AIRPORT,04/03/2020,5.7,0.0, ,28.0,15.0,69,26,3.11,24.12
KALGOORLIE-BOULDER AIRPORT,05/03/2020,7.3,0.0, ,31.8,17.4,54,18,3.97,24.30
KALGOORLIE-BOULDER AIRPORT,06/03/2020,10.5,0.0, ,37.1,22.0,35,16,6.28,23.10
KALGOORLIE-BOULDER AIRPORT,07/03/2020,6.6,0.0, ,31.4,17.6,65,28,3.79,24.30
KALGOORLIE-BOULDER AIRPORT,08/03/2020,7.9,0.0, ,32.4,17.2,83,24,6.25,24.25
KALGOORLIE-BOULDER AIRPORT,09/03/2020,6.9,0.0, ,30.6,16.6,78,29,5.28,23.53
KALGOORLIE-BOULDER AIRPORT,10/03/2020,6.5,0.0, ,31.8,16.6,74,22,3.69,22.71
KALGOORLIE-BOULDER AIRPORT,11/03/2020,7.3,0.0, ,34.1,17.0,66,21,4.03,23.30
KALGOORLIE-BOULDER AIRPORT,12/03/2020,9.9,0.0, ,37.8,21.3,59,14,5.93,23.52
KALGOORLIE-BOULDER AIRPORT,13/03/2020,3.4,0.0, ,22.6,16.9,78,52,6.11,5.17
KALGOORLIE-BOULDER AIRPORT,14/03/2020,3.7,0.0, ,23.9,17.4,84,58,6.46,10.76
KALGOORLIE-BOULDER AIRPORT,15/03/2020,6.7,0.0, ,34.1,17.8,81,26,4.71,18.01
KALGOORLIE-BOULDER AIRPORT,16/03/2020,4.2,0.8, ,31.4,20.7,93,37,2.49,14.57
KALGOORLIE-BOULDER AIRPORT,17/03/2020,5.8,0.4, ,31.8,21.3,68,33,3.85,18.01
KALGOORLIE-BOULDER AIRPORT,18/03/2020,6.0,0.0, ,26.5,16.9,74,24,4.79,21.32
KALGOORLIE-BOULDER AIRPORT,19/03/2020, ,0.0, , ,14.3,56,25,3.07,19.50
KALGOORLIE-BOULDER AIRPORT,20/03/2020, , , ,25.3, ,70,32,3.37,10.18
KALGOORLIE-BOULDER AIRPORT,21/03/2020,5.6,0.0, ,30.8,13.5,91,28,3.81,19.47
KALGOORLIE-BOULDER AIRPORT,22/03/2020,5.3,0.0, ,26.1,17.3,78,41,6.10,17.05
KALGOORLIE-BOULDER AIRPORT,23/03/2020,5.0,0.0, ,26.0,16.9,79,36,4.84,17.05
KALGOORLIE-BOULDER AIRPORT,24/03/2020,5.4,0.0, ,27.6,14.9,89,29,4.59,20.11
KALGOORLIE-BOULDER AIRPORT,25/03/2020,5.4,0.0, ,27.7,15.7,75,30,4.17,19.26
KALGOORLIE-BOULDER AIRPORT,26/03/2020,5.9,0.0, ,31.0,17.0,70,23,3.59,20.84
KALGOORLIE-BOULDER AIRPORT,27/03/2020,6.9,0.0, ,34.9,18.8,53,17,4.08,16.28
KALGOORLIE-BOULDER AIRPORT,28/03/2020,6.1,0.0, ,29.6,19.9,73,30,4.94,19.62
KALGOORLIE-BOULDER AIRPORT,29/03/2020,4.4,0.0, ,25.7,15.2,69,30,3.09,16.10
KALGOORLIE-BOULDER AIRPORT,30/03/2020,4.7,0.0, ,27.4,12.3,67,22,2.91,17.89
KALGOORLIE-BOULDER AIRPORT,31/03/2020,4.8,0.6, ,26.9,14.4,80,29,3.32,19.88
Totals:,,175.3,2.6, ,,,,,, 
