'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALGOORLIE-BOULDER AIRPORT Western Australia for June 2020,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 July 2020,,,,,,,,,,
© Copyright Commonwealth of Australia 2020 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALGOORLIE-BOULDER AIRPORT,01/06/2020,1.9, , ,19.2,8.8,94,48,2.26,12.62
KALGOORLIE-BOULDER AIRPORT,02/06/2020,2.3,0.0, ,19.9,5.7,94,42,3.08,11.81
KALGOORLIE-BOULDER AIRPORT,03/06/2020,2.9,0.0, ,22.3,8.8,77,30,3.06,12.29
KALGOORLIE-BOULDER AIRPORT,04/06/2020,2.5,0.0, ,24.9,8.8,71,24,1.82,12.66
KALGOORLIE-BOULDER AIRPORT,05/06/2020,2.4,0.0, ,24.6,7.3,69,23,1.69,12.60
KALGOORLIE-BOULDER AIRPORT,06/06/2020,3.2,0.0, ,22.3,7.3,61,29,3.39,11.88
KALGOORLIE-BOULDER AIRPORT,07/06/2020,3.0,0.0, ,19.7,11.2,65,36,3.79,12.42
KALGOORLIE-BOULDER AIRPORT,08/06/2020, ,0.0, , ,5.2,84,32,2.04,12.51
KALGOORLIE-BOULDER AIRPORT,09/06/2020, , , , , , , , ,12.37
KALGOORLIE-BOULDER AIRPORT,10/06/2020, , , , , , , , ,11.66
KALGOORLIE-BOULDER AIRPORT,11/06/2020, , , ,24.2, , , , ,7.56
KALGOORLIE-BOULDER AIRPORT,12/06/2020,2.1,0.0, ,18.5,15.1,96,55,5.24,6.52
KALGOORLIE-BOULDER AIRPORT,13/06/2020,2.0,4.2, ,16.1,4.1,92,48,3.61,12.38
KALGOORLIE-BOULDER AIRPORT,14/06/2020,2.2,0.0, ,19.0,5.9,89,44,3.25,11.57
KALGOORLIE-BOULDER AIRPORT,15/06/2020,1.8,0.0, ,19.4,6.3,89,45,2.04,10.37
KALGOORLIE-BOULDER AIRPORT,16/06/2020,2.0,0.0, ,19.9,3.5,98,35,2.28,12.37
KALGOORLIE-BOULDER AIRPORT,17/06/2020,5.4,0.0, ,25.6,9.0,43,23,6.01,10.70
KALGOORLIE-BOULDER AIRPORT,18/06/2020,2.6,2.4, ,16.0,12.7,95,38,5.76,10.59
KALGOORLIE-BOULDER AIRPORT,19/06/2020,1.9,0.6, ,16.5,3.6,97,38,2.86,12.37
KALGOORLIE-BOULDER AIRPORT,20/06/2020,1.8,0.2, ,16.0,3.0,99,36,2.34,12.37
KALGOORLIE-BOULDER AIRPORT,21/06/2020,2.5,0.0, ,17.1,4.8,74,28,3.18,12.37
KALGOORLIE-BOULDER AIRPORT,22/06/2020,2.9,0.0, ,17.3,3.5,72,27,4.13,12.37
KALGOORLIE-BOULDER AIRPORT,23/06/2020,3.5,0.0, ,20.6,8.9,68,29,4.66,11.69
KALGOORLIE-BOULDER AIRPORT,24/06/2020,2.5,0.0, ,18.7,8.1,95,24,3.26,12.20
KALGOORLIE-BOULDER AIRPORT,25/06/2020,2.2,0.0, ,19.9,1.5,84,30,2.35,12.38
KALGOORLIE-BOULDER AIRPORT,26/06/2020,3.6,0.0, ,21.9,9.5,53,29,4.05,10.49
KALGOORLIE-BOULDER AIRPORT,27/06/2020,2.5,0.0, ,23.3,5.4,74,25,2.19,12.45
KALGOORLIE-BOULDER AIRPORT,28/06/2020,3.3,0.0, ,23.3,11.1,77,38,4.52,10.99
KALGOORLIE-BOULDER AIRPORT,29/06/2020,3.1,0.0, ,19.7,14.4,84,45,6.75,8.31
KALGOORLIE-BOULDER AIRPORT,30/06/2020,2.4,0.0, ,18.3,7.5,97,44,4.70,11.37
Totals:,,68.5,7.4, ,,,,,, 
