'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for April 2012,,,,,,,,,,
Issued at 22:38 GMT on Tuesday 01 May 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/04/2012,4.1,0.0, ,33.9,22.6,84,59,1.17,18.02
KALUMBURU,02/04/2012,5.3,0.0, ,36.0,21.1,85,46,1.88,22.17
KALUMBURU,03/04/2012,5.3,0.2, ,36.3,20.3,85,46,1.45,24.30
KALUMBURU,04/04/2012,5.2,0.0, ,36.5,21.2,84,45,1.22,23.85
KALUMBURU,05/04/2012,5.6,0.0, ,36.6,23.3,85,37,1.57,24.00
KALUMBURU,06/04/2012,5.1,0.0, ,35.6,20.8,84,45,1.51,23.09
KALUMBURU,07/04/2012,4.9,0.0, ,36.2,22.1,84,50,1.88,19.58
KALUMBURU,08/04/2012,5.1,8.2, ,36.1,23.1,85,38,1.80,20.14
KALUMBURU,09/04/2012,5.3,0.6, ,35.8,22.4,83,50,1.72,23.18
KALUMBURU,10/04/2012,4.3,0.2, ,33.1,22.1,83,54,1.99,17.59
KALUMBURU,11/04/2012,5.8,2.2, ,33.4,21.0,80,32,2.56,23.64
KALUMBURU,12/04/2012,5.4,0.0, ,33.4,19.9,74,37,2.61,20.88
KALUMBURU,13/04/2012,5.4,0.0, ,32.6,20.2,70,41,2.65,21.83
KALUMBURU,14/04/2012,5.0,0.0, ,34.0,20.0,79,41,1.95,21.62
KALUMBURU,15/04/2012,5.2,0.0, ,35.1,21.4,80,40,2.23,20.15
KALUMBURU,16/04/2012,5.1,0.0, ,35.9,20.2,80,35,1.89,20.45
KALUMBURU,17/04/2012,5.6,0.0, ,35.2,19.9,77,30,2.16,22.91
KALUMBURU,18/04/2012,4.5,0.0, ,34.9,19.9,82,40,1.18,20.87
KALUMBURU,19/04/2012,5.2,0.0, ,36.0,19.9,83,34,1.66,22.64
KALUMBURU,20/04/2012,5.1,0.0, ,36.8,20.6,83,34,1.57,21.56
KALUMBURU,21/04/2012,4.0,0.0, ,34.5,22.5,83,60,1.70,16.68
KALUMBURU,22/04/2012,4.7,0.0, ,34.4,23.5,82,54,2.39,18.77
KALUMBURU,23/04/2012,4.5,0.0, ,33.5,23.1,84,59,2.09,19.44
KALUMBURU,24/04/2012,3.6,0.0, ,34.1,23.5,84,63,1.79,14.18
KALUMBURU,25/04/2012,4.5,0.8, ,30.6,24.7,82,56,3.64,16.35
KALUMBURU,26/04/2012,5.8,4.4, ,30.8,21.6,68,42,3.78,22.12
KALUMBURU,27/04/2012,5.3,0.0, ,30.7,18.7,70,29,2.61,22.40
KALUMBURU,28/04/2012,5.4,0.0, ,31.0,14.2,62,25,2.55,22.69
KALUMBURU,29/04/2012,4.8,0.0, ,31.4,11.4,79,26,1.95,22.80
KALUMBURU,30/04/2012,4.6,0.0, ,31.8,12.2,79,28,1.70,22.58
Totals:,,149.7,16.6, ,,,,,, 
