'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/11/2013,7.2,0.0, ,38.6,21.8,88,26,1.99,29.47
KALUMBURU,02/11/2013,8.2,0.0, ,38.3,23.5,87,30,2.39,33.11
KALUMBURU,03/11/2013,8.1,0.0, ,36.9,22.9,88,37,2.90,32.70
KALUMBURU,04/11/2013,7.5,0.0, ,35.6,23.4,90,42,2.72,31.50
KALUMBURU,05/11/2013,5.3,0.0, ,36.9,24.6,89,35,1.40,21.04
KALUMBURU,06/11/2013,7.7,16.2, ,36.6,23.1,91,34,2.40,32.05
KALUMBURU,07/11/2013,7.9,0.0, ,36.6,24.7,90,35,2.71,31.83
KALUMBURU,08/11/2013,7.6,4.6, ,35.9,23.8,89,41,2.34,32.47
KALUMBURU,09/11/2013,7.5,0.0, ,37.7,25.2,84,36,2.47,29.50
KALUMBURU,10/11/2013,5.9,2.4, ,37.1,23.6,90,41,1.93,23.42
KALUMBURU,11/11/2013,7.2,15.4, ,36.8,21.1,90,26,2.77,27.35
KALUMBURU,12/11/2013,7.0,27.0, ,35.1,22.1,85,45,1.85,31.75
KALUMBURU,13/11/2013,6.1,0.0, ,34.5,24.2,87,42,2.22,24.89
KALUMBURU,14/11/2013,7.0,4.0, ,36.3,23.6,88,34,1.83,30.46
KALUMBURU,15/11/2013,6.0,0.0, ,34.2,24.7,89,45,2.30,24.70
KALUMBURU,16/11/2013,7.5,2.8, ,36.2,23.6,90,32,2.25,31.41
KALUMBURU,17/11/2013,6.3,0.0, ,36.7,25.2,89,32,1.91,24.94
KALUMBURU,18/11/2013,5.9,0.0, ,36.0,23.8,79,43,2.40,21.59
KALUMBURU,19/11/2013,4.6,0.0, ,32.7,27.4,89,53,1.52,18.61
KALUMBURU,20/11/2013,4.9,13.4, ,32.9,23.9,90,51,1.97,20.37
KALUMBURU,21/11/2013,5.5,0.2, ,33.4,25.3,89,49,2.36,22.02
KALUMBURU,22/11/2013,4.9,0.0, ,34.1,25.1,88,45,1.80,19.29
KALUMBURU,23/11/2013,5.9,0.0, ,35.5,24.8,89,49,2.20,24.00
KALUMBURU,24/11/2013,4.1,2.4, ,34.3,24.8,90,50,2.37,12.91
KALUMBURU,25/11/2013,7.2,35.4, ,34.5,22.5,91,37,2.44,31.48
KALUMBURU,26/11/2013,7.5,0.0, ,35.5,22.7,87,39,2.34,32.08
KALUMBURU,27/11/2013,7.2,0.0, ,35.7,24.3,82,35,2.49,29.01
KALUMBURU,28/11/2013,7.9,0.0, ,36.9,24.1,76,28,2.69,30.86
KALUMBURU,29/11/2013,7.5,0.0, ,35.8,25.8,75,39,2.86,29.39
KALUMBURU,30/11/2013,6.6,0.6, ,35.5,24.5,79,43,2.34,26.89
Totals:,,199.7,124.4, ,,,,,, 
