'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for April 2019,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 May 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/04/2019,5.7,0.0, ,36.9,20.4,91,24,1.68,23.82
KALUMBURU,02/04/2019,5.2,0.0, ,36.5,18.2,92,21,1.24,24.20
KALUMBURU,03/04/2019,5.6,0.0, ,36.7,18.9,90,22,1.54,24.94
KALUMBURU,04/04/2019,5.4,0.0, ,36.6,20.0,90,29,1.73,22.59
KALUMBURU,05/04/2019,4.8,11.8, ,34.1,23.7,88,49,3.04,16.61
KALUMBURU,06/04/2019,4.4,14.2, ,32.1,25.5,87,58,3.14,16.11
KALUMBURU,07/04/2019,3.7,1.4, ,34.9,23.9,89,52,1.39,14.45
KALUMBURU,08/04/2019,4.2,21.4, ,34.9,23.7,90,46,1.37,17.52
KALUMBURU,09/04/2019,2.5,0.0, ,30.7,25.3,87,62,1.89,7.82
KALUMBURU,10/04/2019,4.2,6.0, ,32.4,25.0,89,59,2.67,16.11
KALUMBURU,11/04/2019,5.1,3.4, ,35.5,24.3,89,38,1.64,21.55
KALUMBURU,12/04/2019,5.1,0.2, ,35.1,21.8,90,45,1.71,22.61
KALUMBURU,13/04/2019,5.4,0.0, ,36.3,21.5,90,32,1.65,23.57
KALUMBURU,14/04/2019,5.4,0.0, ,36.9,22.1,90,29,1.55,23.32
KALUMBURU,15/04/2019,5.3,0.0, ,37.0,21.4,91,30,1.43,23.29
KALUMBURU,16/04/2019,5.2,0.0, ,36.2,22.4,90,36,1.49,22.75
KALUMBURU,17/04/2019,5.1,0.0, ,37.5,22.8,90,34,1.31,22.35
KALUMBURU,18/04/2019,5.0,0.0, ,37.2,22.1,90,34,1.32,22.14
KALUMBURU,19/04/2019,5.1,0.0, ,36.5,22.8,89,34,1.56,22.01
KALUMBURU,20/04/2019,5.2,0.0, ,36.5,20.9,91,30,1.50,23.09
KALUMBURU,21/04/2019,5.3,0.0, ,37.0,21.4,90,28,1.68,22.55
KALUMBURU,22/04/2019,5.1,0.0, ,37.0,20.9,89,29,1.42,22.52
KALUMBURU,23/04/2019,5.7,0.0, ,35.8,20.6,89,25,2.43,21.98
KALUMBURU,24/04/2019,5.8,0.0, ,36.0,18.3,86,25,2.43,22.38
KALUMBURU,25/04/2019,5.9,0.0, ,36.2,17.7,88,25,2.48,22.71
KALUMBURU,26/04/2019,5.7,0.0, ,35.4,18.6,90,21,2.34,22.65
KALUMBURU,27/04/2019,4.3,0.0, ,32.8,17.2,85,29,1.97,16.12
KALUMBURU,28/04/2019,1.8,1.8, ,26.3,21.3,89,64,1.02,6.79
KALUMBURU,29/04/2019,3.1,12.4, ,32.5,21.5,90,42,1.01,12.94
KALUMBURU,30/04/2019,4.5,0.0, ,35.7,20.7,91,38,1.36,20.54
Totals:,,144.8,72.6, ,,,,,, 
