'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KALUMBURU Western Australia for January 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KALUMBURU,01/01/2021,6.4,31.2, ,36.8,22.8,95,41,1.24,28.64
KALUMBURU,02/01/2021,6.3,0.0, ,37.2,24.3,94,46,1.71,26.19
KALUMBURU,03/01/2021,6.6,0.4, ,37.0,25.4,96,54,2.30,27.59
KALUMBURU,04/01/2021,6.2,33.8, ,35.1,23.4,94,55,2.68,26.00
KALUMBURU,05/01/2021,5.2,14.0, ,33.0,21.2,94,64,1.88,24.28
KALUMBURU,06/01/2021,5.3,4.6, ,35.0,24.0,93,54,1.64,22.79
KALUMBURU,07/01/2021,5.8,0.8, ,35.1,23.6,92,55,2.15,24.65
KALUMBURU,08/01/2021,6.4,0.0, ,36.3,25.7,94,48,1.89,27.14
KALUMBURU,09/01/2021,5.4,0.0, ,36.9,26.2,94,46,1.02,22.77
KALUMBURU,10/01/2021,5.1,0.0, ,35.8,26.1,94,57,1.28,21.79
KALUMBURU,11/01/2021,5.0,0.0, ,35.5,25.4,95,60,1.55,20.68
KALUMBURU,12/01/2021,6.3,0.6, ,37.2,24.7,95,43,1.57,26.57
KALUMBURU,13/01/2021,6.4,1.2, ,36.8,24.3,95,50,1.58,27.60
KALUMBURU,14/01/2021, ,0.4, , ,24.3,95,50,1.51,28.01
KALUMBURU,15/01/2021, , , ,35.3, ,94,57,2.21,25.02
KALUMBURU,16/01/2021,5.9,0.2, ,36.2,26.0,94,54,1.80,24.52
KALUMBURU,17/01/2021,4.8,3.0, ,35.9,23.5,94,55,1.25,20.03
KALUMBURU,18/01/2021,3.7,0.0, ,33.1,24.4,93,63,0.81,15.98
KALUMBURU,19/01/2021,3.6,0.0, ,32.4,26.0,93,56,2.15,12.32
KALUMBURU,20/01/2021, ,17.8, , ,24.4,95,72,2.08,3.58
KALUMBURU,21/01/2021, , , ,31.8, ,95,74,2.21,13.11
KALUMBURU,22/01/2021,3.3,8.2, ,32.1,24.9,96,73,1.12,14.16
KALUMBURU,23/01/2021,3.6,3.4, ,31.9,25.5,96,72,1.72,14.94
KALUMBURU,24/01/2021,2.4,32.6, ,32.1,24.2,97,74,1.18,9.22
KALUMBURU,25/01/2021,4.0,26.4, ,32.5,22.6,97,67,1.69,17.17
KALUMBURU,26/01/2021,5.0,3.2, ,34.8,23.9,96,56,1.80,20.62
KALUMBURU,27/01/2021,4.1,26.6, ,33.5,23.3,96,59,1.34,17.13
KALUMBURU,28/01/2021,3.9,6.8, ,30.7,24.3,96,70,2.60,16.64
KALUMBURU,29/01/2021,2.4,7.8, ,29.0,24.8,96,81,2.31,9.80
KALUMBURU,30/01/2021,1.9,8.2, ,29.2,24.1,100,83,1.72,7.49
KALUMBURU,31/01/2021,2.0,17.0, ,29.8,24.3,97,83,1.51,8.03
Totals:,,127,248.2, ,,,,,, 
