'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARIJINI NORTH Western Australia for October 2021,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 November 2021,,,,,,,,,,
© Copyright Commonwealth of Australia 2021 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARIJINI NORTH,01/10/2021,9.3,0.0, ,35.7,17.9,41,8,4.77,25.64
KARIJINI NORTH,02/10/2021,8.2,0.0, ,28.1,16.0,71,14,7.01,25.80
KARIJINI NORTH,03/10/2021,8.0,0.0, ,31.2,17.4,35,10,4.24,25.92
KARIJINI NORTH,04/10/2021,7.4,0.0, ,33.2,14.5,32,8,3.12,26.09
KARIJINI NORTH,05/10/2021,9.4,0.0, ,35.2,18.5,32,6,4.73,26.18
KARIJINI NORTH,06/10/2021,10.6,0.0, ,34.6,19.1,32,7,6.24,26.28
KARIJINI NORTH,07/10/2021,8.9,0.0, ,36.3,18.0,32,7,3.98,26.39
KARIJINI NORTH,08/10/2021,9.5,0.0, ,38.0,18.1,39,6,4.29,26.46
KARIJINI NORTH,09/10/2021,11.1,0.0, ,34.7,21.9,19,7,6.36,26.63
KARIJINI NORTH,10/10/2021,9.3,0.0, ,32.0,21.1,30,13,5.34,26.71
KARIJINI NORTH,11/10/2021,9.3,0.0, ,34.2,17.4,34,9,4.91,26.82
KARIJINI NORTH,12/10/2021,9.4,0.0, ,35.4,18.7,34,7,4.63,26.94
KARIJINI NORTH,13/10/2021,9.3,0.0, ,33.8,15.8,17,7,4.64,26.88
KARIJINI NORTH,14/10/2021,9.7,0.0, ,35.6,15.2,15,5,4.59,27.14
KARIJINI NORTH,15/10/2021,8.8,0.0, ,36.0,14.5,25,7,3.82,26.25
KARIJINI NORTH,16/10/2021,10.7,0.0, ,37.2,24.9,24,12,5.52,26.11
KARIJINI NORTH,17/10/2021,10.7,0.0, ,36.7,19.8,35,10,5.72,27.47
KARIJINI NORTH,18/10/2021,9.8,0.0, ,34.9,14.1,41,11,5.41,27.48
KARIJINI NORTH,19/10/2021,9.3,0.0, ,34.4,18.6,63,25,6.57,25.98
KARIJINI NORTH,20/10/2021,9.0,0.0, ,32.9,16.0,58,9,5.05,27.70
KARIJINI NORTH,21/10/2021,10.9,0.0, ,36.4,20.1,36,8,5.90,27.80
KARIJINI NORTH,22/10/2021,10.4,0.0, ,37.2,23.7,30,9,5.00,27.91
KARIJINI NORTH,23/10/2021,10.2,0.0, ,38.1,25.7,17,7,4.44,27.97
KARIJINI NORTH,24/10/2021,9.6,0.0, ,38.4,24.3,19,6,3.91,28.07
KARIJINI NORTH,25/10/2021,10.4,0.0, ,39.5,20.1,26,6,4.44,27.97
KARIJINI NORTH,26/10/2021,11.2,0.0, ,36.9,22.7,33,13,6.43,25.88
KARIJINI NORTH,27/10/2021,11.1,0.0, ,36.4,19.9,23,6,5.70,28.26
KARIJINI NORTH,28/10/2021,10.5,0.0, ,36.2,21.6,28,8,5.22,27.86
KARIJINI NORTH,29/10/2021,9.3,0.0, ,37.7,19.2,33,9,3.88,27.76
KARIJINI NORTH,30/10/2021,7.7,0.0, ,34.7,17.7,56,9,3.01,27.80
KARIJINI NORTH,31/10/2021,8.3,0.0, ,34.6,18.1,55,8,3.51,28.65
Totals:,,297.3,0, ,,,,,, 
