'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for June 2016,,,,,,,,,,
Issued at 22:30 GMT on Friday 01 July 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/06/2016,3.2,0.0, ,29.2,17.3,96,52,2.57,13.95
KARRATHA AERO,02/06/2016,5.2,0.0, ,31.6,22.7,63,18,3.28,15.45
KARRATHA AERO,03/06/2016,4.6,0.0, ,32.2,22.4,85,28,3.12,16.12
KARRATHA AERO,04/06/2016,2.6,0.4, ,29.2,24.1,99,78,2.91,13.10
KARRATHA AERO,05/06/2016,1.8,2.6, ,27.0,22.8,100,91,2.63,9.75
KARRATHA AERO,06/06/2016,4.7,5.0, ,29.7,23.5,100,20,4.80,10.52
KARRATHA AERO,07/06/2016,3.9,71.4, ,23.9,19.6,100,44,7.15,13.66
KARRATHA AERO,08/06/2016,4.1,0.0, ,23.2,12.3,89,26,4.27,17.08
KARRATHA AERO,09/06/2016,4.1,0.0, ,23.0,10.8,83,33,4.76,17.05
KARRATHA AERO,10/06/2016,4.5,0.0, ,25.2,11.5,86,29,4.74,17.02
KARRATHA AERO,11/06/2016,5.5,0.0, ,26.6,16.0,73,31,6.30,17.00
KARRATHA AERO,12/06/2016,4.2,0.0, ,25.5,16.7,94,37,5.61,14.42
KARRATHA AERO,13/06/2016,3.8,0.0, ,26.1,20.5,92,39,4.03,14.80
KARRATHA AERO,14/06/2016,3.2,0.0, ,27.9,17.8,97,56,2.60,16.64
KARRATHA AERO,15/06/2016,3.3,0.0, ,28.4,18.1,91,44,2.58,13.61
KARRATHA AERO,16/06/2016,3.7,0.0, ,28.2,21.5,84,47,3.04,15.66
KARRATHA AERO,17/06/2016,4.0,0.0, ,29.1,18.3,90,34,3.01,16.90
KARRATHA AERO,18/06/2016,3.9,0.0, ,26.5,15.5,94,48,4.84,16.90
KARRATHA AERO,19/06/2016,3.8,0.0, ,25.6,17.3,92,46,4.52,16.90
KARRATHA AERO,20/06/2016,3.1,0.0, ,26.7,17.9,92,65,3.32,16.89
KARRATHA AERO,21/06/2016,2.6,0.0, ,27.9,18.2,97,73,3.08,13.71
KARRATHA AERO,22/06/2016,3.7,0.0, ,27.0,23.4,100,23,4.04,8.72
KARRATHA AERO,23/06/2016,2.0,16.6, ,24.8,19.9,100,83,3.77,11.32
KARRATHA AERO,24/06/2016,4.0,1.8, ,23.2,18.8,100,25,5.43,11.45
KARRATHA AERO,25/06/2016,3.8,26.2, ,26.0,19.0,100,25,3.72,12.54
KARRATHA AERO,26/06/2016,4.5,0.2, ,24.5,16.1,89,34,5.66,16.96
KARRATHA AERO,27/06/2016,4.0,0.0, ,21.9,14.3,81,44,5.82,16.98
KARRATHA AERO,28/06/2016,3.8,0.0, ,25.8,14.6,93,35,3.48,16.93
KARRATHA AERO,29/06/2016,3.7,0.2, ,29.2,16.6,93,40,2.79,16.99
KARRATHA AERO,30/06/2016,2.2,0.0, ,24.5,19.0,96,70,3.70,9.47
Totals:,,111.5,124.4, ,,,,,, 
