'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for January 2018,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 February 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/01/2018,8.3,0.0, ,34.0,25.9,84,36,5.01,30.20
KARRATHA AERO,02/01/2018,9.2,0.0, ,38.1,26.9,86,38,5.62,30.03
KARRATHA AERO,03/01/2018,12.2,0.0, ,42.1,29.1,70,16,6.25,30.13
KARRATHA AERO,04/01/2018,9.3,0.0, ,39.6,28.6,88,29,4.29,30.36
KARRATHA AERO,05/01/2018,9.2,0.0, ,37.7,26.8,84,35,5.33,30.12
KARRATHA AERO,06/01/2018,7.5,0.0, ,34.3,28.6,86,59,4.82,29.82
KARRATHA AERO,07/01/2018,8.3,0.0, ,36.1,28.8,85,51,5.13,30.33
KARRATHA AERO,08/01/2018,8.4,0.0, ,34.9,28.2,85,52,7.26,29.89
KARRATHA AERO,09/01/2018,9.7,0.0, ,36.8,26.9,77,39,6.97,30.20
KARRATHA AERO,10/01/2018,9.5,0.0, ,36.5,27.4,76,40,6.74,29.59
KARRATHA AERO,11/01/2018,8.4,0.0, ,36.2,28.4,83,42,5.12,28.75
KARRATHA AERO,12/01/2018,7.5,0.0, ,37.5,27.4,79,41,4.13,23.49
KARRATHA AERO,13/01/2018,4.5,16.6, ,30.6,23.6,98,59,6.37,14.19
KARRATHA AERO,14/01/2018,7.2,1.4, ,32.9,26.1,89,58,6.01,29.19
KARRATHA AERO,15/01/2018,7.7,0.0, ,36.3,27.3,98,43,3.84,29.74
KARRATHA AERO,16/01/2018,8.1,0.0, ,36.1,28.4,84,48,4.71,29.16
KARRATHA AERO,17/01/2018,7.0,0.2, ,36.3,27.8,81,50,4.42,23.17
KARRATHA AERO,18/01/2018,8.4,0.0, ,37.5,28.8,84,45,5.86,25.98
KARRATHA AERO,19/01/2018,8.1,0.0, ,36.0,29.2,77,48,4.31,29.35
KARRATHA AERO,20/01/2018,8.8,0.0, ,37.3,27.4,85,44,5.84,29.30
KARRATHA AERO,21/01/2018,7.8,0.0, ,38.1,27.0,86,37,5.31,21.12
KARRATHA AERO,22/01/2018,9.3,0.0, ,39.8,27.3,86,43,5.89,29.15
KARRATHA AERO,23/01/2018,8.8,0.0, ,37.6,30.0,87,51,7.06,29.09
KARRATHA AERO,24/01/2018,8.2,0.0, ,37.8,29.2,90,56,5.87,29.03
KARRATHA AERO,25/01/2018,8.7,0.0, ,36.6,29.7,88,37,5.09,29.32
KARRATHA AERO,26/01/2018,10.1,0.0, ,40.1,30.3,78,32,5.60,29.35
KARRATHA AERO,27/01/2018,8.9,0.0, ,36.6,29.1,86,51,8.46,28.91
KARRATHA AERO,28/01/2018,10.2,0.0, ,37.3,28.0,76,45,9.42,28.88
KARRATHA AERO,29/01/2018,8.4,0.0, ,37.8,28.4,80,41,5.15,25.89
KARRATHA AERO,30/01/2018,6.2,3.2, ,35.0,25.7,98,40,5.26,17.44
KARRATHA AERO,31/01/2018,5.9,6.4, ,30.3,22.8,82,48,5.02,20.01
Totals:,,259.8,27.8, ,,,,,, 
