'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for February 2018,,,,,,,,,,
Issued at 22:30 GMT on Thursday 01 March 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/02/2018,8.3,0.0, ,32.5,24.3,75,41,6.09,29.45
KARRATHA AERO,02/02/2018,9.8,0.0, ,34.4,26.2,71,42,9.22,29.19
KARRATHA AERO,03/02/2018,8.7,0.0, ,32.8,25.3,72,43,7.36,29.02
KARRATHA AERO,04/02/2018,8.2,0.0, ,34.0,26.4,78,43,5.61,28.65
KARRATHA AERO,05/02/2018,7.0,0.0, ,33.1,26.6,82,50,4.15,27.34
KARRATHA AERO,06/02/2018,7.7,0.0, ,33.9,25.5,79,43,4.75,28.10
KARRATHA AERO,07/02/2018,7.8,0.0, ,33.6,25.5,79,48,5.67,28.68
KARRATHA AERO,08/02/2018,8.1,0.0, ,34.3,27.6,79,54,7.42,27.68
KARRATHA AERO,09/02/2018,8.4,2.0, ,36.0,25.5,86,42,6.01,27.87
KARRATHA AERO,10/02/2018,7.5,0.0, ,35.7,28.1,86,55,4.63,28.26
KARRATHA AERO,11/02/2018,6.8,0.0, ,34.9,28.1,86,55,4.00,25.53
KARRATHA AERO,12/02/2018,7.9,0.0, ,35.2,27.0,83,49,5.54,28.39
KARRATHA AERO,13/02/2018,8.5,0.0, ,35.5,28.2,81,48,6.90,28.25
KARRATHA AERO,14/02/2018,8.5,0.0, ,37.4,28.8,87,49,6.18,28.36
KARRATHA AERO,15/02/2018,8.1,0.0, ,37.5,30.0,97,51,6.70,27.98
KARRATHA AERO,16/02/2018,7.6,7.4, ,36.9,23.6,98,47,5.20,27.96
KARRATHA AERO,17/02/2018,6.9,27.6, ,35.5,23.4,98,48,5.08,25.26
KARRATHA AERO,18/02/2018,7.8,1.8, ,36.1,26.3,94,47,6.27,27.03
KARRATHA AERO,19/02/2018,8.2,0.0, ,31.9,24.1,77,50,9.39,28.11
KARRATHA AERO,20/02/2018,7.2,0.0, ,32.0,26.1,84,59,7.91,27.67
KARRATHA AERO,21/02/2018,6.0,0.0, ,32.5,27.2,85,60,6.78,19.81
KARRATHA AERO,22/02/2018,7.9,0.0, ,33.5,27.2,80,46,7.37,25.01
KARRATHA AERO,23/02/2018,8.4,0.0, ,34.3,26.6,78,45,7.30,26.48
KARRATHA AERO,24/02/2018,7.9,0.0, ,33.5,26.9,78,49,6.39,27.84
KARRATHA AERO,25/02/2018,7.9,0.0, ,34.3,25.9,83,48,6.48,27.80
KARRATHA AERO,26/02/2018,8.4,0.0, ,33.8,25.8,79,47,8.10,27.68
KARRATHA AERO,27/02/2018,9.6,0.0, ,36.8,25.0,75,36,7.28,27.59
KARRATHA AERO,28/02/2018,8.0,0.0, ,35.9,25.3,79,41,5.23,26.65
Totals:,,223.1,38.8, ,,,,,, 
