'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for June 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 July 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/06/2018,4.1,0.0, ,31.0,20.0,91,35,2.79,16.89
KARRATHA AERO,02/06/2018,3.8,0.0, ,29.6,19.1,98,42,3.00,16.15
KARRATHA AERO,03/06/2018,5.1,0.0, ,29.5,20.1,78,27,4.07,17.08
KARRATHA AERO,04/06/2018,5.6,0.0, ,27.8,18.3,80,29,6.09,17.14
KARRATHA AERO,05/06/2018,3.8,0.0, ,29.3,21.5,90,56,5.01,12.45
KARRATHA AERO,06/06/2018,2.0,62.4, ,24.3,22.0,98,76,4.15,8.77
KARRATHA AERO,07/06/2018,1.7,4.8, ,24.6,22.0,98,85,3.71,8.52
KARRATHA AERO,08/06/2018,1.8,0.0, ,22.0,16.9,98,75,2.95,9.13
KARRATHA AERO,09/06/2018,3.7,0.0, ,27.4,17.7,96,36,2.99,16.90
KARRATHA AERO,10/06/2018,4.4,0.0, ,26.8,18.9,79,34,4.35,14.58
KARRATHA AERO,11/06/2018,3.7,0.0, ,27.7,17.7,83,47,3.56,14.98
KARRATHA AERO,12/06/2018,3.7,0.0, ,27.3,18.4,92,41,3.24,16.92
KARRATHA AERO,13/06/2018,4.9,0.0, ,26.6,15.5,81,31,5.12,16.97
KARRATHA AERO,14/06/2018,5.1,0.0, ,25.4,16.4,69,29,5.40,16.86
KARRATHA AERO,15/06/2018,5.4,0.0, ,26.7,13.2,71,26,5.36,16.95
KARRATHA AERO,16/06/2018,4.6,0.0, ,26.3,14.1,77,31,4.54,16.93
KARRATHA AERO,17/06/2018,4.9,0.0, ,26.0,16.9,80,32,5.33,16.93
KARRATHA AERO,18/06/2018, ,0.0, , ,16.2,84,40,4.95,16.18
KARRATHA AERO,19/06/2018, , , , , ,75,35,3.99,13.26
KARRATHA AERO,20/06/2018, , , ,28.2, ,85,32,4.43,16.13
KARRATHA AERO,21/06/2018,5.1,0.0, ,26.4,16.1,72,23,4.71,16.91
KARRATHA AERO,22/06/2018,5.4,0.0, ,25.9,12.8,64,23,5.29,16.92
KARRATHA AERO,23/06/2018,5.7,0.0, ,25.5,15.8,75,23,6.41,16.92
KARRATHA AERO,24/06/2018,5.6,0.0, ,24.3,13.3,60,22,6.07,16.94
KARRATHA AERO,25/06/2018,5.2,0.0, ,24.2,13.4,69,24,5.80,16.94
KARRATHA AERO,26/06/2018,4.8,0.0, ,24.6,11.7,76,27,5.16,16.93
KARRATHA AERO,27/06/2018,4.4,0.0, ,24.9,9.7,70,25,3.87,16.97
KARRATHA AERO,28/06/2018,4.2,0.0, ,26.4,10.0,68,25,3.15,16.98
KARRATHA AERO,29/06/2018,4.2,0.0, ,26.3,11.3,65,24,3.08,16.96
KARRATHA AERO,30/06/2018,5.1,0.0, ,26.8,11.3,75,20,4.58,17.03
Totals:,,118,67.2, ,,,,,, 
