'IDCKWCDE11,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for KARRATHA AERO Western Australia for March 2019,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
KARRATHA AERO,01/03/2019,6.8,0.0, ,34.1,27.2,86,60,5.49,26.31
KARRATHA AERO,02/03/2019,7.5,0.0, ,35.7,26.9,87,46,4.72,27.00
KARRATHA AERO,03/03/2019,6.9,0.0, ,35.1,26.6,79,41,4.29,22.09
KARRATHA AERO,04/03/2019,8.7,0.0, ,38.3,26.4,71,32,4.93,25.20
KARRATHA AERO,05/03/2019,8.8,0.0, ,41.2,29.3,66,24,3.77,25.32
KARRATHA AERO,06/03/2019,9.3,0.0, ,39.5,30.1,82,33,5.60,26.89
KARRATHA AERO,07/03/2019,10.0,0.0, ,39.4,28.1,78,30,6.69,26.21
KARRATHA AERO,08/03/2019,9.2,0.0, ,38.0,29.3,73,36,6.56,24.05
KARRATHA AERO,09/03/2019,10.5,0.0, ,42.0,29.0,65,18,5.53,23.88
KARRATHA AERO,10/03/2019,11.7,0.0, ,45.5,30.5,62,13,5.35,26.39
KARRATHA AERO,11/03/2019,7.0,0.0, ,35.5,27.1,89,54,4.96,26.23
KARRATHA AERO,12/03/2019,8.2,0.0, ,37.9,30.1,87,32,5.31,23.17
KARRATHA AERO,13/03/2019,8.3,0.0, ,37.6,29.8,78,46,5.72,26.00
KARRATHA AERO,14/03/2019,8.7,0.0, ,39.3,28.1,73,33,4.70,25.82
KARRATHA AERO,15/03/2019,9.3,0.0, ,39.7,29.8,73,32,5.42,25.79
KARRATHA AERO,16/03/2019,9.7,0.0, ,41.5,30.0,76,23,5.02,25.63
KARRATHA AERO,17/03/2019,7.3,0.0, ,35.9,28.8,98,43,5.33,25.28
KARRATHA AERO,18/03/2019,6.4,18.0, ,34.8,22.9,90,53,4.18,25.52
KARRATHA AERO,19/03/2019,7.8,0.0, ,38.1,28.0,84,41,4.79,25.00
KARRATHA AERO,20/03/2019,7.1,0.0, ,38.8,28.0,69,34,2.92,24.14
KARRATHA AERO,21/03/2019,5.6,0.0, ,35.7,28.8,85,47,5.13,13.33
KARRATHA AERO,22/03/2019,4.2,0.0, ,32.5,28.8,98,60,8.92,7.95
KARRATHA AERO,23/03/2019,3.0,17.2, ,28.1,24.5,95,72,14.02,1.94
KARRATHA AERO,24/03/2019,4.1,16.2, ,27.7,22.0,90,68,20.18,2.10
KARRATHA AERO,25/03/2019,4.0,0.0, ,28.9,24.0,98,69,13.80,12.54
KARRATHA AERO,26/03/2019,2.8,13.2, ,29.8,24.3,98,85,8.85,12.72
KARRATHA AERO,27/03/2019,4.7,6.4, ,31.2,25.6,98,70,3.64,21.91
KARRATHA AERO,28/03/2019,6.2,0.0, ,34.4,25.3,98,52,4.92,23.83
KARRATHA AERO,29/03/2019,7.4,0.0, ,35.6,27.3,91,48,6.84,24.12
KARRATHA AERO,30/03/2019,7.6,0.0, ,37.0,28.0,84,29,4.89,21.70
KARRATHA AERO,31/03/2019,8.5,0.0, ,37.5,26.3,66,22,4.67,23.84
Totals:,,227.3,71, ,,,,,, 
